File Name,admin_2015-07-16 19-03-05_CC009827_BMP2.pcrd
Created By User,admin
Notes,
ID,
Run Started,07/17/2015 02:03:25 UTC
Run Ended,07/17/2015 05:29:13 UTC
Sample Vol,20
Lid Temp,105
Protocol File Name,Jake_CFX_3StepAmp+Melt.prcl
Plate Setup File Name,platesetup.pltd
Base Serial Number,CC009827
Optical Head Serial Number,785BR3659
CFX Manager Version,3.1.1517.0823. 
