File Name,admin_2015-07-01 15-59-52_CC009827_TLR.pcrd
Created By User,admin
Notes,
ID,
Run Started,07/01/2015 23:00:18 UTC
Run Ended,07/02/2015 02:26:39 UTC
Sample Vol,20
Lid Temp,105
Protocol File Name,Jake_CFX_3StepAmp+Melt.prcl
Plate Setup File Name,platesetup.pltd
Base Serial Number,CC009827
Optical Head Serial Number,785BR3659
CFX Manager Version,3.1.1517.0823. 
