,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,FAM,TLR2.1,Unkn,HC1,NaN,NaN
,A02,FAM,TLR2.1,Unkn,NC1,31.6539105204526,NaN
,A03,FAM,TLR2.1,Unkn,SC1,31.2376750713946,NaN
,A04,FAM,TLR2.1,Unkn,HT1,NaN,NaN
,A05,FAM,TLR2.1,Unkn,NT1,33.0438891455387,NaN
,A06,FAM,TLR2.1,Unkn,ST1,33.0294866816454,NaN
,A07,FAM,TLR2.1,NTC,NTC,NaN,NaN
,B01,FAM,TLR2.1,Unkn,HC2,NaN,NaN
,B02,FAM,TLR2.1,Unkn,NC2,31.3778508827229,NaN
,B03,FAM,TLR2.1,Unkn,SC2,30.9644621328508,NaN
,B04,FAM,TLR2.1,Unkn,HT2,NaN,NaN
,B05,FAM,TLR2.1,Unkn,NT2,33.2638676523527,NaN
,B06,FAM,TLR2.1,Unkn,ST2,28.7547860103125,NaN
,B07,FAM,TLR2.1,NTC,NTC,38.4199253107993,NaN
,C01,FAM,TLR2.1,Unkn,HC3,NaN,NaN
,C02,FAM,TLR2.1,Unkn,NC3,31.7758701928041,NaN
,C03,FAM,TLR2.1,Unkn,SC3,30.1073120004144,NaN
,C04,FAM,TLR2.1,Unkn,HT3,33.4634586131215,NaN
,C05,FAM,TLR2.1,Unkn,NT3,29.242947276501,NaN
,C06,FAM,TLR2.1,Unkn,ST3,33.4793903152309,NaN
,C07,FAM,TLR2.1,NTC,NTC,35.1268574088615,NaN
,D01,FAM,TLR2.1,Unkn,HC4,31.2639082895584,NaN
,D02,FAM,TLR2.1,Unkn,NC4,31.2546528777417,NaN
,D03,FAM,TLR2.1,Unkn,SC4,32.7625341272083,NaN
,D04,FAM,TLR2.1,Unkn,HT4,33.1424667240717,NaN
,D05,FAM,TLR2.1,Unkn,NT4,33.5190197585728,NaN
,D06,FAM,TLR2.1,Unkn,ST4,30.0863229755849,NaN
,D07,FAM,TLR2.1,NTC,NTC,NaN,NaN
,E01,FAM,TLR2.1,Unkn,HC5,31.477629479021,NaN
,E02,FAM,TLR2.1,Unkn,NC5,30.8440503021241,NaN
,E03,FAM,TLR2.1,Unkn,SC5,31.7038966916571,NaN
,E04,FAM,TLR2.1,Unkn,HT5,32.7664178195296,NaN
,E05,FAM,TLR2.1,Unkn,NT5,32.3319173877924,NaN
,E06,FAM,TLR2.1,Unkn,ST5,34.0243527271027,NaN
,F01,FAM,TLR2.1,Unkn,HC6,NaN,NaN
,F02,FAM,TLR2.1,Unkn,NC6,31.3595334764015,NaN
,F03,FAM,TLR2.1,Unkn,SC6,30.9947132426638,NaN
,F04,FAM,TLR2.1,Unkn,HT6,NaN,NaN
,F05,FAM,TLR2.1,Unkn,NT6,31.182401205005,NaN
,F06,FAM,TLR2.1,Unkn,ST6,33.7669473712288,NaN
,G01,FAM,TLR2.1,Unkn,HC7,NaN,NaN
,G02,FAM,TLR2.1,Unkn,NC7,30.4930166504638,NaN
,G03,FAM,TLR2.1,Unkn,SC7,31.2602584004176,NaN
,G04,FAM,TLR2.1,Unkn,HT7,NaN,NaN
,G05,FAM,TLR2.1,Unkn,NT7,33.5967577081093,NaN
,G06,FAM,TLR2.1,Unkn,ST7,33.5399918741213,NaN
,H01,FAM,TLR2.1,Unkn,HC8,31.39476345212,NaN
,H02,FAM,TLR2.1,Unkn,NC8,32.5030204339401,NaN
,H03,FAM,TLR2.1,Unkn,SC8,31.6917728333765,NaN
,H04,FAM,TLR2.1,Unkn,HT8,38.2567357799584,NaN
,H05,FAM,TLR2.1,Unkn,NT8,33.4119478715071,NaN
,H06,FAM,TLR2.1,Unkn,ST8,32.2354062615658,NaN
