Label,Start Time,Rev,Len,Q20,Q20/len,
PGEEP4_NC1-PGEEP4_REV,2015-06-17 16:35:53-07,1,64,4,0.06,
PGEEP4_NC1-PGEEP4_REV,2015-06-17 16:35:53-07,1,52,22,0.42,
PGEEP4_NT1-PGEEP4_FWD,2015-06-17 16:35:53-07,1,41,8,0.2,
PGEEP4_NT1-PGEEP4_FWD,2015-06-17 16:35:53-07,1,44,10,0.23,
PGEEP4_NT1-PGEEP4_REV,2015-06-17 16:35:53-07,1,76,11,0.14,
PGEEP4_NT1-PGEEP4_REV,2015-06-17 16:35:53-07,1,74,1,0.01,
PGEEP4_SC1-PGEEP4_FWD,2015-06-17 16:35:53-07,1,40,10,0.25,
PGEEP4_SC1-PGEEP4_FWD,2015-06-17 16:35:53-07,1,40,11,0.28,
PGEEP4_SC1-PGEEP4_REV,2015-06-17 16:35:53-07,1,57,23,0.4,
PGEEP4_SC1-PGEEP4_REV,2015-06-17 16:35:53-07,1,83,2,0.02,
