File Name,admin_2015-06-25 15-27-59_CC009827_CARM.pcrd
Created By User,admin
Notes,
ID,
Run Started,06/25/2015 22:28:27 UTC
Run Ended,06/26/2015 01:54:55 UTC
Sample Vol,20
Lid Temp,105
Protocol File Name,Jake_CFX_3StepAmp+Melt.prcl
Plate Setup File Name,QuickPlate_96 wells_All Channels_White.pltd
Base Serial Number,CC009827
Optical Head Serial Number,785BR3659
CFX Manager Version,3.1.1517.0823. 
