,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC
Cycle,Actin_NTC_01,Actin_NT1_01,Actin_HT1_01,Actin_ST1_01,Actin_NC1_01,Actin_HC1_01,Actin_SC1_01,Actin_NTC_02,Actin_NTC_03,Actin_NT1_02,Actin_HT1_02,Actin_ST1_02,Actin_NC1_02,Actin_HC1_02,Actin_SC1_02,Actin_NTC_04,HSP70_NTC_01,HSP70_NT1_01,HSP70_HT1_01,HSP70_ST1_01,HSP70_NC1_01,HSP70_HC1_01,HSP70_SC1_01,HSP70_NTC_02,HSP70_NTC_03,HSP70_NT1_02,HSP70_HT1_02,HSP70_ST1_02,HSP70_NC1_02,HSP70_HC1_02,HSP70_SC1_02,HSP70_NTC_04
33,0.0042,0.5363,0.4428,0.4142,0.7507,0.8584,0.7323,0.0028,0.0042,0.821,0.5751,0.473,0.9515,0.8539,0.8962,0.006,0.0044,0.2421,0.3766,1.8215,0.2026,0.7711,1.2676,0.0056,0.0037,0.2346,0.4557,1.7913,0.243,1.038,0.8341,0.0075
34,0.005,0.6163,0.5619,0.5581,0.882,0.9271,0.7774,0.0031,0.0049,0.9344,0.7229,0.6146,1.0558,0.9429,0.9414,0.0061,0.0061,0.3862,0.5871,1.917,0.3384,1.0562,1.4916,0.0081,0.0056,0.3753,0.655,1.8643,0.3846,1.3443,1.0452,0.0117
35,0.0061,0.6789,0.6769,0.7036,0.9869,0.9736,0.8043,0.0035,0.0054,1.0224,0.8623,0.7503,1.132,1.0079,0.9656,0.0073,0.0085,0.5632,0.8417,1.9838,0.5208,1.3465,1.6754,0.0125,0.0077,0.5475,0.8687,1.9117,0.5605,1.6283,1.2342,0.0178
36,0.007,0.7215,0.7724,0.8413,1.0638,1.0005,0.8194,0.0042,0.0062,1.084,0.9802,0.8659,1.1798,1.0498,0.9781,0.0079,0.0114,0.7575,1.1107,2.0295,0.7375,1.6104,1.8163,0.0199,0.0106,0.7402,1.0763,1.9426,0.7548,1.865,1.3866,0.0289
37,0.0078,0.749,0.8457,0.9511,1.1141,1.0124,0.8236,0.0058,0.0072,1.1214,1.0692,0.9507,1.2069,1.072,0.9803,0.0085,0.0167,0.9487,1.3729,2.0548,0.9696,1.8272,1.9181,0.033,0.0161,0.9301,1.2594,1.958,0.9569,2.0517,1.5018,0.0484
38,0.0098,0.7638,0.8957,1.0331,1.1418,1.0163,0.8241,0.0077,0.008,1.14,1.1284,1.0046,1.2164,1.0807,0.9816,0.0086,0.0254,1.1199,1.601,2.0714,1.1918,1.9948,1.9893,0.0567,0.0248,1.0987,1.4078,1.9658,1.1442,2.1909,1.5875,0.0801
39,0.0112,0.7668,0.926,1.0851,1.1538,1.0197,0.8237,0.0097,0.0093,1.1483,1.1651,1.0332,1.2205,1.0832,0.9808,0.0091,0.0333,1.2438,1.7651,2.0784,1.362,2.1068,2.0332,0.08,0.0326,1.2207,1.5097,1.9689,1.2854,2.2807,1.6456,0.1098
40,0.0125,0.767,0.9388,1.1136,1.1575,1.0211,0.8239,0.0116,0.0102,1.1513,1.1814,1.0434,1.2215,1.0835,0.9822,0.0088,0.0403,1.3255,1.871,2.0807,1.4781,2.1744,2.0574,0.1008,0.0396,1.3026,1.5748,1.9705,1.3823,2.336,1.6814,0.1371
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
