Filename: "C:\Users\Jake H\Documents\GitHub\Resilience-Project\qPCR data\5272015\rawfluoro.csv"

Wellset: "Default"

Step,Cycle,Dye,Temp.,A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4,
4, 17, SBGnew, 60.0, 0.0032,0.0002,0.0014,0.0014,0.0017,0.0003,0.0003,0.0017,0.0021,0.0011,0.0029,0.0037,0.0000,0.0000,0.0007,0.0027,0.0007,0.0014,0.0025,0.0019,0.0023,0.0017,0.0008,0.0033,0.0026,0.0010,0.0033,0.0009,0.0028,0.0002,0.0007,0.0033,
4, 18, SBGnew, 60.0, 0.0026,0.0000,0.0016,0.0011,0.0012,0.0000,0.0010,0.0017,0.0015,0.0006,0.0013,0.0024,0.0001,0.0005,0.0017,0.0028,0.0001,0.0019,0.0030,0.0035,0.0024,0.0009,0.0004,0.0029,0.0021,0.0006,0.0021,0.0026,0.0020,0.0000,0.0006,0.0038,
4, 19, SBGnew, 60.0, 0.0024,0.0001,0.0004,0.0008,0.0005,0.0007,0.0019,0.0017,0.0010,0.0000,0.0012,0.0019,0.0004,0.0007,0.0032,0.0032,0.0003,0.0013,0.0034,0.0077,0.0025,0.0007,0.0001,0.0027,0.0022,0.0004,0.0019,0.0077,0.0009,0.0004,0.0000,0.0036,
4, 20, SBGnew, 60.0, 0.0020,0.0011,0.0007,0.0005,0.0001,0.0016,0.0037,0.0021,0.0009,0.0003,0.0005,0.0012,0.0005,0.0017,0.0063,0.0028,0.0000,0.0016,0.0025,0.0150,0.0019,0.0005,0.0000,0.0025,0.0017,0.0006,0.0012,0.0182,0.0005,0.0003,0.0001,0.0033,
4, 21, SBGnew, 60.0, 0.0016,0.0021,0.0006,0.0000,0.0000,0.0045,0.0081,0.0022,0.0008,0.0014,0.0001,0.0004,0.0026,0.0034,0.0130,0.0020,0.0000,0.0015,0.0013,0.0288,0.0013,0.0000,0.0002,0.0015,0.0008,0.0001,0.0000,0.0361,0.0001,0.0010,0.0004,0.0024,
4, 22, SBGnew, 60.0, 0.0008,0.0036,0.0000,0.0004,0.0018,0.0115,0.0161,0.0017,0.0005,0.0047,0.0000,0.0000,0.0065,0.0078,0.0255,0.0009,0.0004,0.0009,0.0003,0.0542,0.0008,0.0002,0.0027,0.0008,0.0006,0.0001,0.0003,0.0722,0.0000,0.0013,0.0010,0.0015,
4, 23, SBGnew, 60.0, 0.0006,0.0071,0.0004,0.0004,0.0055,0.0248,0.0323,0.0012,0.0002,0.0107,0.0013,0.0010,0.0159,0.0170,0.0494,0.0003,0.0005,0.0003,0.0000,0.1061,0.0005,0.0006,0.0079,0.0007,0.0006,0.0000,0.0004,0.1407,0.0000,0.0020,0.0019,0.0009,
4, 24, SBGnew, 60.0, 0.0001,0.0146,0.0031,0.0020,0.0132,0.0509,0.0619,0.0007,0.0001,0.0228,0.0041,0.0027,0.0335,0.0351,0.0934,0.0000,0.0004,0.0000,0.0001,0.1995,0.0000,0.0033,0.0180,0.0002,0.0000,0.0000,0.0011,0.2595,0.0008,0.0056,0.0062,0.0003,
4, 25, SBGnew, 60.0, 0.0000,0.0292,0.0079,0.0050,0.0293,0.0994,0.1136,0.0004,0.0000,0.0474,0.0111,0.0078,0.0703,0.0685,0.1671,0.0001,0.0002,0.0008,0.0016,0.3551,0.0004,0.0076,0.0383,0.0000,0.0002,0.0009,0.0040,0.4480,0.0016,0.0137,0.0144,0.0000,
4, 26, SBGnew, 60.0, 0.0000,0.0567,0.0184,0.0116,0.0599,0.1775,0.1932,0.0003,0.0007,0.0913,0.0249,0.0174,0.1336,0.1289,0.2762,0.0002,0.0004,0.0030,0.0056,0.5857,0.0031,0.0179,0.0796,0.0005,0.0009,0.0036,0.0102,0.7060,0.0035,0.0309,0.0319,0.0006,
