Cycles,TLR2.1_HC_1,TLR2.1_NC_1,TLR2.1_SC_1,TLR2.1_HT_1,TLR2.1_NT_1,TLR2.1_ST_1,TLR2.1_NTC_1,TLR2.1_HC_2,TLR2.1_NC_2,TLR2.1_SC_2,TLR2.1_HT_2,TLR2.1_NT_2,TLR2.1_ST_2,TLR2.1_NTC_2,TLR2.1_HC_3,TLR2.1_NC_3,TLR2.1_SC_3,TLR2.1_HT_3,TLR2.1_NT_3,TLR2.1_ST_3,TLR2.1_NTC_3,TLR2.1_HC_4,TLR2.1_NC_4,TLR2.1_SC_4,TLR2.1_HT_4,TLR2.1_NT_4,TLR2.1_ST_4,TLR2.1_NTC_4,TLR2.1_HC_5,TLR2.1_NC_5,TLR2.1_SC_5,TLR2.1_HT_5,TLR2.1_NT_5,TLR2.1_ST_5,TLR2.1_HC_6,TLR2.1_NC_6,TLR2.1_SC_6,TLR2.1_HT_6,TLR2.1_NT_6,TLR2.1_ST_6,TLR2.1_HC_7,TLR2.1_NC_7,TLR2.1_SC_7,TLR2.1_HT_7,TLR2.1_NT_7,TLR2.1_ST_7,TLR2.1_HC_8,TLR2.1_NC_8,TLR2.1_SC_8,TLR2.1_HT_8,TLR2.1_NT_8,TLR2.1_ST_8
19,3604.431461,3368.847265,3285.614757,3289.294699,3208.083826,3302.012867,3305.630748,3586.730308,3676.113726,3514.547644,3423.276733,3314.428792,3307.902582,3202.777585,3508.385739,3843.945799,3647.007466,3366.158105,3361.591468,3196.116258,3124.590124,3691.814257,3683.661748,3442.604185,3481.875547,3451.767511,3668.482629,3414.321581,3438.090569,3534.552639,3508.229609,3423.683063,3291.712646,3395.525559,3579.172269,3654.575523,3452.299919,3451.840567,3348.738183,3267.225066,3523.950175,3454.14441,3346.736584,3276.877797,3211.70073,3201.849842,3345.203376,3300.553694,3255.590772,3269.831152,3195.918102,3162.193162
20,3606.609552,3375.16469,3290.283909,3288.12618,3213.910899,3305.661181,3310.247852,3585.958048,3681.617458,3516.943943,3419.439065,3311.978238,3306.307693,3205.26801,3504.539016,3840.265163,3651.33326,3365.031597,3365.05261,3200.441157,3128.342557,3693.366832,3678.11466,3443.760493,3479.706194,3456.68781,3674.309619,3416.759924,3440.696033,3533.885453,3512.555428,3427.706655,3286.572937,3396.775945,3578.326953,3653.355872,3451.997051,3452.601538,3352.698749,3272.686847,3520.551805,3457.042096,3348.789621,3272.70786,3208.750772,3200.243978,3341.470787,3296.507874,3259.916638,3266.358795,3200.483183,3162.766047
21,3608.007316,3371.881671,3288.70023,3289.691012,3210.429695,3305.525683,3306.110134,3586.834396,3679.804662,3520.958772,3422.035751,3313.9604,3307.006847,3202.996755,3509.511639,3841.516857,3651.364951,3367.074853,3362.446155,3194.166703,3127.561492,3694.732604,3683.838891,3446.83657,3479.289497,3458.043521,3670.870523,3418.929266,3438.350787,3535.282226,3509.84589,3424.152432,3289.774086,3395.02516,3577.973313,3657.650978,3455.343365,3454.478661,3354.231585,3269.611983,3520.072077,3456.98066,3351.875699,3276.721667,3213.744354,3203.11086,3345.422546,3300.209424,3260.000301,3264.420824,3201.088248,3162.391318
22,3612.000496,3376.301217,3292.276085,3289.951229,3214.860236,3313.063687,3312.229036,3589.825799,3685.829495,3517.52903,3421.504321,3315.013243,3305.421596,3203.39209,3509.418547,3845.749242,3651.176812,3367.825452,3368.023609,3199.556018,3131.043277,3702.749995,3681.086692,3448.963269,3480.843717,3456.490278,3678.959994,3424.079376,3444.834971,3538.503794,3510.929764,3425.892836,3289.596943,3401.790574,3581.424068,3656.515061,3457.365977,3454.582748,3358.255796,3275.199455,3526.536225,3458.711046,3349.968169,3279.150609,3213.932493,3207.656483,3347.372101,3300.740855,3260.6258,3268.15281,3196.793801,3165.967173
23,3607.161995,3375.497964,3293.213251,3289.877579,3215.370073,3309.35114,3311.529882,3586.874796,3686.777585,3524.064621,3427.247304,3320.725214,3305.609137,3207.937134,3512.034016,3842.77718,3653.585059,3367.991969,3366.678909,3197.908128,3129.905817,3701.435288,3683.222744,3450.47484,3480.133537,3456.71884,3676.269192,3420.408834,3445.595943,3534.656088,3514.358871,3428.217072,3289.825535,3400.747134,3582.79952,3656.316244,3455.322706,3452.497451,3355.513009,3277.357569,3526.545606,3458.887565,3352.385511,3276.220675,3214.984755,3209.886689,3349.571251,3298.051099,3264.012927,3266.994312,3202.808037,3165.966601
24,3613.792944,3380.148285,3293.245854,3295.111358,3216.371453,3309.028481,3312.813488,3587.313782,3689.770632,3523.085471,3424.506719,3318.484033,3309.727037,3207.364257,3512.25382,3846.676985,3651.385964,3370.827851,3367.648309,3198.857462,3134.733237,3700.122896,3687.977207,3450.839768,3483.095516,3457.502072,3677.489825,3426.987705,3443.438836,3542.454948,3514.140336,3429.041348,3290.711847,3401.113031,3580.704499,3656.931409,3457.01169,3452.758293,3356.671522,3280.870978,3526.942556,3460.691632,3350.15533,3281.152208,3217.976739,3208.062814,3348.487983,3299.177594,3258.936463,3269.34077,3199.263792,3168.22899
25,3614.897177,3380.679104,3295.402988,3294.579332,3217.820027,3309.111935,3314.220019,3585.040323,3693.971319,3530.684898,3425.548926,3320.64214,3310.457003,3207.374673,3514.995365,3841.11985,3658.42193,3372.860848,3366.646901,3201.431938,3135.379183,3705.022137,3689.092422,3452.892786,3485.878116,3460.816107,3678.406886,3423.453258,3447.649585,3546.447488,3516.277395,3428.248103,3293.161207,3405.104619,3584.050519,3660.058246,3462.744649,3453.977637,3360.058631,3277.1384,3530.257555,3461.764863,3354.992573,3279.515299,3215.943529,3208.781803,3352.177337,3304.0449,3264.420235,3267.484694,3202.390712,3167.352718
26,3615.888612,3380.804815,3296.581526,3295.22644,3219.217721,3315.388543,3316.857734,3587.668069,3700.247996,3533.478783,3425.174245,3322.571283,3311.551493,3209.178695,3516.225987,3850.190778,3659.715616,3372.82945,3374.091444,3199.723143,3135.03548,3708.004192,3698.912945,3456.167021,3485.107133,3460.712645,3680.700398,3428.864204,3451.538324,3546.197929,3519.936959,3433.722089,3293.338946,3402.760343,3582.299767,3662.791071,3468.603959,3459.190433,3356.712571,3279.35976,3528.151529,3470.074128,3360.049221,3278.609161,3216.486535,3210.460725,3352.43816,3306.485434,3269.069558,3269.528909,3200.598843,3170.115507
27,3612.968635,3381.388656,3299.155985,3297.571712,3219.863652,3318.733633,3320.297871,3586.302317,3706.908654,3538.13885,3423.213076,3324.426168,3321.17357,3211.680114,3515.547808,3848.448701,3670.19134,3373.350253,3379.104849,3201.421921,3137.234669,3714.133418,3705.928867,3458.157978,3485.96119,3461.222437,3682.722344,3425.871205,3453.956624,3558.790354,3520.217554,3432.439439,3295.517093,3403.426276,3588.91842,3666.105068,3476.880939,3459.951402,3360.840261,3281.819141,3529.183699,3479.935381,3367.210339,3281.620984,3224.638461,3213.233356,3359.600257,3309.872552,3272.623808,3268.402419,3202.640912,3171.167777
28,3618.140411,3391.93871,3302.398185,3296.63357,3225.451705,3327.147937,3318.672172,3589.305364,3728.666695,3556.476159,3429.541748,3329.48281,3334.413751,3213.400085,3517.706173,3855.52805,3677.959194,3376.030005,3385.392465,3203.934516,3138.778461,3720.649304,3723.162297,3468.458823,3492.154755,3465.872773,3688.384515,3427.426044,3459.471663,3578.410674,3526.838469,3436.599388,3300.542698,3406.888641,3583.737928,3667.023456,3498.847113,3462.808313,3364.697954,3283.226863,3528.006394,3492.884342,3375.884869,3284.613958,3229.799172,3211.305394,3365.282405,3317.400159,3282.976664,3270.518713,3203.632272,3173.201957
