"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","exp.eff","LRE.eff","exp.point","exp.AIC","exp.resVar","exp.RMSE","exp.init","sli.rsq","sli.init","sli.base","Names"
"N_C_7","1.494052","265.3535","343.686","342.5432","0.5990023","0.5655859","19.39","18.83",NA,NA,NA,NA,NA,NA,"21.14436","13.37711","0.01101257",NA,"-45.95301","13.37711","52.19101","19.40641","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_C_7"
"S_C_7","1.6811","425.2226","362.548","361.4052","0.6220533","0.5905577","16.58","15.96",NA,NA,NA,NA,NA,NA,"22.61635","12.13849","0.005674804",NA,"-35.08646","12.13849","65.23987","16.61119","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_C_7"
"H_T_7","1.454884","399.4194","360.044","358.9011","0.5616597","0.5251313","18.31","17.66",NA,NA,NA,NA,NA,NA,"24.22381","15.44816","0.03226227",NA,"-37.39689","15.44816","60.04726","18.3369","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_T_7"
"N_T_7","1.486099","367.4398","356.7059","355.563","0.6018579","0.5686794","19.73","19.17",NA,NA,NA,NA,NA,NA,"25.34914","16.11598","0.01275883",NA,"-46.42153","16.11598","61.99635","19.74781","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_T_7"
"S_T_7","1.622178","347.3474","354.4565","353.3137","0.6448148","0.6152161","18.52","17.92",NA,NA,NA,NA,NA,NA,"22.62755","12.81227","0.003887527",NA,"-41.00417","12.81227","62.13087","18.53899","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_T_7"
"H_C_8","1.718082","242.1128","340.0197","338.8768","0.6066187","0.5738369","17.71","17.23",NA,NA,NA,NA,NA,NA,"17.16154","9.465137","0.001530211",NA,"-48.49922","9.465137","47.51874","17.72448","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_C_8"
"N_C_8","1.429995","196.1581","331.6004","330.4575","0.588815","0.5545496","20.24","19.6",NA,NA,NA,NA,NA,NA,"18.6811","12.17416","0.01685966",NA,"-41.71221","12.17416","44.84036","20.26479","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_C_8"
"S_C_8","1.512723","333.2031","352.7936","351.6508","0.5675179","0.5314777","17.64","17.02",NA,NA,NA,NA,NA,NA,"21.31877","13.04954","0.01858903",NA,"-37.44076","13.04954","54.49264","17.66338","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_C_8"
"H_T_8","1.671667","350.9238","354.8663","353.7234","0.5827851","0.5480172","18.38","17.66",NA,NA,NA,NA,NA,NA,"17.91258","9.246674","0.002052734",NA,"-33.65114","9.246674","53.00077","18.40937","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_T_8"
"N_T_8","1.466477","262.0804","343.1896","342.0467","0.598522","0.5650655","20.83","20.41",NA,NA,NA,NA,NA,NA,"23.4309","15.59497","0.00946479",NA,"-64.47413","15.59497","53.75532","20.84291","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_T_8"
"S_T_8","1.450052","313.5886","350.3668","349.2239","0.5071427","0.4660713","22.21","21.77",NA,NA,NA,NA,NA,NA,"21.42468","14.39089","0.006570441",NA,"-66.40672","14.39089","49.08836","22.22359","l4",NA,"0.999978",NA,"21","164.4102","117.2581","10.02531","299.0291",NA,NA,NA,"S_T_8"
