"Vars","CRAF_HC_1","CRAF_NC_1","CRAF_SC_1","CRAF_HT_1","CRAF_NT_1","CRAF_ST_1","CRAF_NTC_1","CRAF_HC_2","CRAF_NC_2","CRAF_SC_2","CRAF_HT_2","CRAF_NT_2","CRAF_ST_2","CRAF_NTC_2","CRAF_HC_3","CRAF_NC_3","CRAF_SC_3","CRAF_HT_3","CRAF_NT_3","CRAF_ST_3","CRAF_NTC_3","CRAF_HC_4","CRAF_NC_4","CRAF_SC_4","CRAF_HT_4","CRAF_NT_4","CRAF_ST_4","CRAF_NTC_4","CRAF_HC_5","CRAF_NC_5","CRAF_SC_5","CRAF_HT_5","CRAF_NT_5","CRAF_ST_5","CRAF_HC_6","CRAF_NC_6","CRAF_SC_6","CRAF_HT_6","CRAF_NT_6","CRAF_ST_6","CRAF_HC_7","CRAF_NC_7","CRAF_SC_7","CRAF_HT_7","CRAF_NT_7","CRAF_ST_7","CRAF_HC_8","CRAF_NC_8","CRAF_SC_8","CRAF_HT_8","CRAF_NT_8","CRAF_ST_8"
"sig.Cy0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.cpCQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.cpMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.fluo","5662.561","6363.033","6304.118","5667.541","5825.409","5048.904","5233.94","6637.803","6480.324","6222.224","6112.794","6150.821","5862.205","3209.777","6553.476","6509.382","5839.441","4651.592","5655.086","5351.511","3149.617","6546.972","6439.319","6298.053","6067.883","6415.96","6455.546","4335.376","5815.691","5825.236","5657.748","5810.497","5712.551","5766.565","6245.66","6390.758","5744.204","6097.919","5830.952","5483.377","6017.955","5811.291","5721.084","5655.718","5596.398","5409.971","5724.438","5794.296","5845.098","5825.237","5739.574","5556.539"
"sig.init1","3203.459","3304.22","3325.958","3179.494","3250.176","3198.494","3174.379","3415.753","3378.357","3430.471","3301.776","3266.28","3172.601","3108.453","3396.472","3593.08","3295.337","3250.428","3225.688","3154.918","3059.189","3346.441","3374.697","3362.237","3311.741","3355.07","3381.537","3255.047","3231.956","3246.497","3268.139","3266.131","3198.171","3299.258","3340.477","3468.144","3262.457","3262.655","3200.098","3176.809","3377.435","3248.375","3296.542","3245.131","3292.332","3153.443","3183.028","3224.029","3212.507","3186.503","3219.24","3165.291"
"sig.init2","8.457865","3.180383","4.058052","5.249912","11.30774","19.51268","32.43842","3.831083","4.394418","5.608114","5.809508","3.518925","3.692546","3148.82","3.800344","8.195373","8.705599","53.64572","9.382861","7.68486","3100.753","3.949966","3.70589","4.752295","3.95945","2.738464","3.041829","40.76127","7.477663","7.624948","10.79236","8.257043","6.150361","5.257571","1.762223","6.336655","10.52591","4.034377","4.057909","5.69188","11.1435","8.080482","10.5945","7.576228","14.50751","8.010899","10.36764","7.000898","6.813675","5.388998","7.241875","6.548994"
"sig.cf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.b","-20.53221","-21.3044","-21.06174","-21.72308","-19.38109","-21.14328","-17.04842","-20.74349","-20.56016","-21.42372","-20.4932","-21.47256","-21.7806","-0.6042456","-20.93413","-20.2595","-20.43363","-20.94133","-20.34191","-21.89008","-0.6824147","-20.42785","-21.24315","-20.93964","-22.09294","-21.93366","-21.73715","-23.03748","-20.39935","-20.44028","-20.38601","-20.39655","-21.10606","-22.33856","-23.86377","-20.52438","-20.00617","-21.28761","-21.87372","-22.46176","-19.55279","-20.3258","-20.3111","-21.33067","-19.85108","-21.46595","-19.37321","-20.60976","-20.38892","-20.93395","-20.63818","-21.42693"
"sig.c","3203.459","3304.22","3325.958","3179.494","3250.176","3198.494","3174.379","3415.753","3378.357","3430.471","3301.776","3266.28","3172.601","3108.453","3396.472","3593.08","3295.337","3250.428","3225.688","3154.918","3059.189","3346.441","3374.697","3362.237","3311.741","3355.07","3381.537","3255.047","3231.956","3246.497","3268.139","3266.131","3198.171","3299.258","3340.477","3468.144","3262.457","3262.655","3200.098","3176.809","3377.435","3248.375","3296.542","3245.131","3292.332","3153.443","3183.028","3224.029","3212.507","3186.503","3219.24","3165.291"
"sig.d","16295.13","19573.54","19201.87","16354.22","17107.56","13061.33","14474.16","20559.96","19947.06","18216.22","18348.82","18613.21","17401.59","2150787","20209.81","19155.73","16871.88","10694.15","16204.34","14803.88","3493.662","20400.16","19652.77","19004.28","17905.81","19523.81","19663.1","116594538","17064.51","17021.43","16041.61","16883.19","16608.15","16330.92","18601.18","19074.52","16529.35","18346.75","17125.1","15387.72","17563.52","16914.32","16259.77","16038.48","15616.03","15103.73","16817.9","16948.18","17254.95","17228.03","16631.09","15843.36"
