"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"N_C_5","1.194827","1722.772","418.5111","417.3683","0.9991929","0.9991256","38.88","37.19",NA,NA,NA,NA,NA,NA,"6022.38","4093.698","8.031373",NA,"-30.38683","4093.698","13961.2","38.96266","l4","1.202129","0.9784571","6.749388","0","37","1.915501","222.8659","21.19713","4.413439","1.141026e-07",NA,NA,NA,"N_C_5"
"*S_C_5*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*S_C_5*"
"*H_T_5*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*H_T_5*"
"N_T_5","1.23179","70.50181","290.6691","289.5262","0.9999201","0.9999135","40","39.01",NA,NA,NA,NA,NA,NA,"6688.56","3746.386","1.965638",NA,"-25.22157","3746.386","19079.75","41.2985","l4","1.163737","0.9460183","18.20419","0","39","1.823593","289.2527","85.9506","8.907245","3.602403e-07",NA,NA,NA,"N_T_5"
"S_T_5","1.000177","4.420862","179.8969","178.754","0.9584804","0.9550205","6.03","1",NA,NA,NA,NA,NA,NA,"3750.229","3749.567","3749.567",NA,"-1.309418","3749.567","3802.144","27.98077","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_T_5"
"H_C_6","1.186732","2995.809","440.6423","439.4994","0.9987186","0.9986118","38.95","37.24",NA,NA,NA,NA,NA,NA,"6621.38","4564.531","11.27331",NA,"-30.18403","4564.531","15146.87","39.03625","l4","1.194428","0.9763669","9.345479","0","37","1.901883","372.6847","1215.637","33.42263","1.518423e-07",NA,NA,NA,"H_C_6"
"N_C_6","0.9998882","5.460205","188.343","187.2001","0.5445127","0.5065554","1","31.17",NA,NA,NA,NA,NA,NA,"4443.607","4448.307","4459.116",NA,"11.68201","4442","4448.307","28.43531","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_C_6"
"*S_C_6*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*S_C_6*"
"H_T_6","1.206765","16280.6","508.3527","507.2098","0.9981188","0.997962","37.55","35.21",NA,NA,NA,NA,NA,NA,"6685.548","3875.559","8.937095",NA,"-21.3071","3875.559","18814.5","37.71151","l4","1.221157","0.9886564","6.020367","0","35","1.890213","224.2262","30.86513","5.312208","9.576307e-07","1.099515","0.1411285","0","H_T_6"
"N_T_6","1.181294","7754.886","478.6867","477.5438","0.9990029","0.9989198","37.24","34.63",NA,NA,NA,NA,NA,NA,"6223.5","3683.747","19.42113",NA,"-18.89945","3683.747","17390.28","37.45259","l4","1.197533","0.9942919","12.25719","0","34","1.865109","205.0796","21.1355","4.389829","2.101659e-06","1.0371","0.3580508","0","N_T_6"
"S_T_6","1.185082","6748.905","473.1289","471.9861","0.9989349","0.9988461","37.51","35.02",NA,NA,NA,NA,NA,NA,"5986.039","3581.08","15.64837",NA,"-19.94514","3581.08","16445.58","37.69851","l4","1.200926","0.9938859","10.01503","0","35","1.828438","251.4324","67.15119","7.83552","2.916676e-06","1.106245","0.131381","0","S_T_6"
"H_C_7","1.001811","57.50056","282.5153","281.3725","0.9383627","0.9332262","2.41","1.14",NA,NA,NA,NA,NA,NA,"4023.481","4016.187","4015.189",NA,"-2.848153","4016.187","4151.516","3.11758","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_C_7"
"N_C_7","1.189009","20920.98","518.3838","517.241","0.9989977","0.9989142","35.41","32.53",NA,NA,NA,NA,NA,NA,"7101.86","3897.935","25.44483",NA,"-16.32307","3897.935","21549.17","35.67438","l4","1.156217","0.9920499","69.61177","0","32","1.873951","227.6723","61.88767","7.489039","8.452741e-06","1.378957","0.6769322","0","N_C_7"
"S_C_7","1.195594","13747.74","501.5887","500.4459","0.9989711","0.9988854","36.58","33.89",NA,NA,NA,NA,NA,NA,"6735.336","3748.935","15.8141",NA,"-18.03974","3748.935","19978.47","36.8068","l4","1.214102","0.9933594","9.499121","0","33","1.901396","209.0473","28.49633","5.089769","2.114132e-06","1.370819","0.7873603","0","S_C_7"
"*H_T_7*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*H_T_7*"
"N_T_7","1.164349","196.3791","331.6454","330.5025","0.9998812","0.9998713","38.66","36.69",NA,NA,NA,NA,NA,NA,"5162.722","3577.54","19.42146",NA,"-26.02774","3577.54","11839.14","38.77394","l4","1.184525","0.9932061","10.64523","0","36","1.86495","204.5086","14.99484","3.707462","3.479832e-07","1.048637","0.3390957","0","N_T_7"
"S_T_7","1.179168","10323.56","490.1309","488.988","0.998653","0.9985407","37.03","34.37",NA,NA,NA,NA,NA,NA,"5941.92","3516.485","20.60005",NA,"-18.50452","3516.485","16672.71","37.24615","l4","1.19638","0.9910411","12.79527","0","34","1.862489","206.1996","21.84336","4.462735","2.408811e-06","1.299465","0.4813223","0","S_T_7"
"H_C_8","1.184286","20045.43","516.6738","515.5309","0.999024","0.9989427","35.06","32.18",NA,NA,NA,NA,NA,NA,"6907.639","3865.897","29.88837",NA,"-16.19018","3865.897","20689.77","35.32778","l4","1.208469","0.9919724","15.7631","0","32","1.850987","322.5836","1201.471","32.99747","1.41133e-05","1.35135","0.6664533","0","H_C_8"
"N_C_8","1.001332","14.21975","226.6288","225.4859","0.9580618","0.9545669","2.81","1.46",NA,NA,NA,NA,NA,NA,"3572.477","3567.575","3565.543",NA,"-3.067016","3567.575","3644.242","3.502379","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_C_8"
"S_C_8","1.196635","17824.21","511.976","510.8332","0.9986379","0.9985244","36.46","33.78",NA,NA,NA,NA,NA,NA,"6533.005","3637.312","15.19043",NA,"-18.08552","3637.312","19375.76","36.67996","l4","1.216377","0.989776","8.803297","0","33","1.912888","250.5572","100.2485","9.546464","1.759627e-06","1.391282","0.688297","0","S_C_8"
"H_T_8","1.181353","712.3821","383.1881","382.0452","0.9996369","0.9996067","38.56","36.76",NA,NA,NA,NA,NA,NA,"5334.534","3656.865","11.65252",NA,"-28.30163","3656.865","12317.94","38.65982","l4","1.198806","0.990062","7.044678","0","36","1.910929","255.6669","62.10151","7.544958","1.472219e-07","1.052634","0.2943231","0","H_T_8"
"N_T_8","1.16052","1512.566","413.306","412.1632","0.9996892","0.9996633","36.9","34.44",NA,NA,NA,NA,NA,NA,"5353.092","3465.798","31.76636",NA,"-19.8332","3465.798","13568.47","37.09122","l4","1.179808","0.9970002","18.26454","0","34","1.809315","251.2303","82.13218","8.653625","4.728448e-06","1.235016","0.3461337","0","N_T_8"
"S_T_8","1.170272","1072.122","399.5393","398.3965","0.9991863","0.9991185","38.72","36.94",NA,NA,NA,NA,NA,NA,"4871.69","3432.323","14.62749",NA,"-28.79627","3432.323","10845.64","38.81156","l4","1.186142","0.9842104","9.271312","0","36","1.832942","271.5518","96.5459","9.407465","4.796058e-07","1.008418","0.3872853","0","S_T_8"
