"Vars","H_C_1","N_C_1","S_C_1","H_T_1","N_T_1","S_T_1","NT_C_1","H_C_2","N_C_2","S_C_2","H_T_2","N_T_2","S_T_2","NT_C_2","H_C_3","N_C_3","S_C_3","H_T_3","N_T_3","S_T_3","NT_C_3","H_C_4","N_C_4","S_C_4","H_T_4","N_T_4","S_T_4","NT_C_4","H_C_5","N_C_5","S_C_5","H_T_5","N_T_5","S_T_5","H_C_6","N_C_6","S_C_6","H_T_6","N_T_6","S_T_6","H_C_7","N_C_7","S_C_7","H_T_7","N_T_7","S_T_7","H_C_8","N_C_8","S_C_8","H_T_8","N_T_8","S_T_8"
"sig.cpT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.Cy0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.cpCQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.cpMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.fluo","6104.932","6370.175","6408.188","6137.622","6408.486","6037.603","3388.904","6787.606","6772.804","6628.77","6348.252","6234.83","6356.607","4843.326","6782.343","7498.576","6376.832","6594.112","6684.749","6290.058","5131.369","6737.255","7066.584","6406.346","6220.385","6582.164","6842.073","5543.29","6542.774","6672.791","6471.689","6246.394","6440.004","6217.61","6998.33","7117.137","6402.661","6449.867","6356.806","6129.445","6196.284","6252.87","5988.71","6135.533","6297.011","5731.08","5783.24","5823.042","6025.593","5847.346","5730.623","5689.118"
"sig.init1","3402.826","3481.166","3499.849","3402.315","3450.01","3404.103","3328.157","3626.84","3660.619","3589.269","3452.306","3507.014","3463.051","3343.041","3653.717","3949.18","3530.802","3536.168","3598.654","3447.424","3412.029","3606.115","3725.887","3531.669","3422.506","3542.879","3626.667","3461.618","3570.741","3623.872","3532.379","3462.789","3526.242","3481.615","3705.549","3825.017","3550.803","3469.269","3516.571","3470.524","3493.346","3430.1","3426.774","3500.934","3565.321","3338.449","3253.465","3343.888","3363.492","3298.409","3355.031","3310.646"
"sig.init2","19.99864","11.73846","18.41284","11.16717","12.59408","15.93503","3361.922","18.37368","17.92027","13.17235","11.48129","23.82888","14.10516","16.47082","15.16436","14.39561","20.68362","10.32789","14.66757","11.2827","11.38681","17.24417","15.48302","15.4583","15.82125","10.70931","10.3907","3.839923","18.04941","18.08019","16.40953","14.82081","13.42226","12.3318","6.443156","20.10557","21.82372","11.62743","14.92828","23.79073","28.10201","13.65531","34.16177","25.69516","24.89824","21.70438","19.24097","34.37296","25.07895","16.8522","23.40922","18.86833"
"sig.cf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.b","-17.48869","-18.81953","-17.38573","-19.22808","-18.15118","-18.51142","-0.5694702","-17.08037","-17.38649","-18.36035","-18.68336","-17.12711","-18.14522","-26.30796","-17.80942","-17.76932","-17.35811","-18.78908","-17.83314","-18.87615","-25.725","-17.27551","-17.40082","-18.21738","-17.93812","-18.70574","-18.55115","-27.25285","-17.50463","-17.44465","-17.77307","-18.34315","-18.42699","-19.1333","-19.94908","-17.07765","-17.2179","-18.41907","-18.31134","-17.34247","-16.71483","-18.35777","-16.38568","-17.27204","-17.26293","-18.17907","-17.6813","-16.36742","-16.79402","-18.19696","-18.04655","-18.66824"
"sig.c","3402.826","3481.166","3499.849","3402.315","3450.01","3404.103","3328.157","3626.84","3660.619","3589.269","3452.306","3507.014","3463.051","3343.041","3653.717","3949.18","3530.802","3536.168","3598.654","3447.424","3412.029","3606.115","3725.887","3531.669","3422.506","3542.879","3626.667","3461.618","3570.741","3623.872","3532.379","3462.789","3526.242","3481.615","3705.549","3825.017","3550.803","3469.269","3516.571","3470.524","3493.346","3430.1","3426.774","3500.934","3565.321","3338.449","3253.465","3343.888","3363.492","3298.409","3355.031","3310.646"
"sig.d","18175.89","19082.99","19431.29","18163.51","19511.11","17659.79","3599.675","20949.62","20666.5","20070.9","19102.46","18454.57","19137.02","11122.93","20725.31","23231.18","19107.93","20014.66","20400.77","18793.97","12366.73","20737.46","21987.64","19119.18","18653.16","19952.37","21026.62","14252.62","19795.06","20243.32","19542.71","18537.46","19273.51","18197.09","21312.53","21879.32","19150.9","19658.61","18879.64","18016.77","18361.23","18691.82","17587.08","17880.53","18517.42","16339.65","17011.76","17043.94","17972.93","17147.38","16258.77","16176.55"
"sig.e","28.42125","29.92575","28.29783","30.6628","30.07755","29.66631","355.4761","27.52366","28.37998","29.10374","30.57219","29.24132","29.25989","38.81587","29.05882","28.62049","28.14743","30.45547","29.37731","31.33501","40.15142","27.97293","28.04092","28.95944","29.29743","31.11945","30.55971","40.62861","28.40515","28.32339","28.734","30.06851","30.20507","31.96418","33.56354","27.60175","28.29698","30.01019","30.17878","28.32313","27.573","29.74887","26.50337","28.63373","28.44451","29.93454","28.78696","26.43991","27.09739","29.69314","30.06038","29.85065"
"sig.model","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4","l4"
"sli.eff","1.242384","1.254099","1.250798","1.247434","1.252778","1.242789",NA,"1.255546","1.253296","1.257389","1.247584","1.237622","1.251618","1.186279","1.254788","1.259636","1.248137","1.252703","1.252476","1.246404","1.207595","1.257424","1.263297","1.251762","1.248024","1.252038","1.254392","1.193251","1.248741","1.252216","1.251024","1.245646","1.248499","1.240407","1.251951","1.254482","1.244644","1.255565","1.245209","1.239428","1.237313","1.248696","1.236638","1.233649","1.236331","1.230848","1.241081","1.234761","1.246738","1.240464","1.227757","1.234632"
"sli.rsq","0.9954278","0.997026","0.9966695","0.9962756","0.99726","0.9963258",NA,"0.9949343","0.9963219","0.996985","0.9950784","0.997274","0.996742","0.9936566","0.9972843","0.9953024","0.9970809","0.995484","0.9965847","0.9966828","0.9981765","0.9972017","0.9972505","0.9971936","0.9965634","0.9972897","0.9951741","0.9762557","0.9957526","0.9964711","0.9963976","0.9972313","0.9969422","0.9971389","0.9953057","0.9953031","0.9966882","0.9971794","0.9970021","0.9961236","0.9954693","0.9964886","0.9952223","0.995998","0.995619","0.9972719","0.9968897","0.9949133","0.9970794","0.996302","0.9972873","0.997071"
"sli.init","22.05828","12.48893","19.9021","11.82344","12.75244","16.10178",NA,"22.81684","19.61522","14.65369","12.5492","21.16441","15.50178","9.365728","16.21605","17.64791","21.53995","12.04726","15.76988","10.97084","4.029801","19.4703","17.79324","16.47854","16.36932","10.52972","11.85495","6.319955","20.7264","19.9497","17.87125","14.5293","13.66296","10.81793","6.529123","23.64383","22.67953","12.16519","14.62456","24.0408","29.6645","14.44477","36.24739","25.29842","25.86544","19.12945","19.5661","37.64233","26.36748","16.45782","20.09816","17.521"
"sli.base","0","0","0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"exp.point","26","27","25","28","27","27",NA,"25","26","26","28","26","26","36","26","26","25","28","27","28","37","25","25","26","26","28","28","38","26","26","26","27","27","29","31","25","25","27","27","25","25","27","24","26","26","27","26","24","24","27","27","27"
"exp.eff","1.808858","1.870591","1.863762","1.839261","1.846348","1.851293",NA,"1.825223","1.833185","1.885568","1.833248","1.866759","1.889374","1.929809","1.841241","1.85729","1.879605","1.83431","1.831566","1.886902","1.880832","1.838013","1.877795","1.890798","1.878699","1.867327","1.844129","1.962948","1.798234","1.829553","1.860958","1.871343","1.876328","1.865449","1.823706","1.845006","1.859386","1.876254","1.858078","1.876968","1.812366","1.84494","1.83805","1.829882","1.820524","1.867821","1.798597","1.811034","1.862025","1.845746","1.865404","1.866448"
"exp.AIC","244.5864","195.481","181.366","209.0798","200.0925","187.6875",NA,"233.5886","210.2941","155.5452","211.3221","160.838","151.7988","280.5252","247.1936","201.0848","158.3851","216.2754","220.4321","170.8699","313.1678","237.1871","160.7963","169.631","157.6273","198.1997","214.3411","277.6549","253.7725","211.2753","186.1348","166.9593","179.4035","191.8043","305.4392","188.1806","176.7939","170.1739","196.555","162.0946","241.6715","196.961","176.3695","192.9157","201.6261","170.4952","272.9889","216.6981","191.7729","198.6043","175.5514","169.2505"
"exp.resVar","592.411","68.28195","68.34704","86.2174","80.99945","51.16204",NA,"551.9738","158.423","19.28914","93.406","23.64404","16.70066","123.8757","654.8988","111.1704","27.25839","111.4813","172.0457","22.0262","243.3395","637.4286","30.01838","33.1586","20.89735","58.45739","104.0402","76.74921","843.4595","164.5155","62.55612","23.74303","37.64436","36.94393","952.1472","89.76365","56.92369","26.74501","71.05294","31.61843","762.6626","72.12942","74.51862","81.19607","113.5091","27.06516","1766.237","399.9783","141.5793","76.6557","32.63923","25.84573"
"exp.RMSE","22.89227","7.790704","7.755346","8.773814","8.485252","6.743691",NA,"22.03944","11.83822","4.130795","9.132262","4.573389","3.843652","10.65611","24.06935","9.916806","4.897691","9.976818","12.36647","4.434665","14.95357","23.68411","5.139667","5.415959","4.299548","7.224548","9.638102","8.407738","27.31551","12.0637","7.438959","4.594009","5.784605","5.755184","29.32582","8.887745","7.07763","4.875791","7.947211","5.274866","25.90643","8.007187","8.074887","8.475098","10.02058","4.904887","39.52771","18.70778","11.13023","8.254599","5.386339","4.793118"
"exp.init","0.000973711","0.0001723611","0.0005580261","0.0001614894","0.000240409","0.0002426713",NA,"0.001554775","0.0008224562","0.0002503924","0.0002026513","0.0002964406","0.0002118503","9.50742e-08","0.0005033889","0.0005809728","0.0004852537","0.0002225795","0.0004605842","5.935526e-05","1.273154e-07","0.001013686","0.0006151804","0.0002425206","0.0002346296","9.604297e-05","0.0001948852","2.181793e-08","0.001248417","0.0008687149","0.0004327223","0.0001579244","0.0001418596","5.196216e-05","4.440591e-05","0.001202672","0.0005875365","0.0001627854","0.0001822531","0.000424898","0.001587754","0.0002748664","0.002015473","0.0006465179","0.0008434485","0.0001560623","0.0008522312","0.002833363","0.001087743","0.0002564757","0.0001508083","0.0001590673"
"LRE.eff","1.105487","1.035425","1.133923","1.066176","1.032562","1.060604",NA,"1.108049","1.127888","1.014523","1.095527","1.005347","1.136131","1.047681","1.032206","1.102196","1.009318","1.11608","1.133499","1.129297","1.012779","1.046079","1.042846","1.029864","1.130084","1.02903","1.113018",NA,"1.115122","1.132551","1.072239","1.019627","1.005568","1.033489","1.112191","1.097712","1.129597","1.040467","1.005301","1.114355","1.085584","1.064114","1.086045","1.072439","1.100639","1.01974","1.046724","1.090559","1.011158","1.063082","1.003101","1.020258"
"LRE.rsq","0.380505","0.6343263","0.2803933","0.5295094","0.6448221","0.5333539",NA,"0.4029939","0.317193","0.6886705","0.4346831","0.685955","0.2726925","0.3760509","0.6424797","0.4439523","0.691697","0.3693243","0.2950911","0.2868418","0.7347073","0.6103399","0.6305805","0.6429287","0.2878457","0.6471768","0.3843092",NA,"0.3610975","0.2921295","0.5213653","0.6626507","0.7005679","0.6182735","0.3810624","0.4460786","0.2857179","0.6252813","0.699848","0.3275264","0.4452327","0.5417564","0.4418497","0.4895638","0.3826423","0.6421739","0.5756422","0.4175736","0.6879756","0.5276153","0.6790301","0.6410149"
"LRE.base","0","0","0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
