"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.eff","LRE.eff","LRE.rsq","LRE.base","exp.point","exp.AIC","exp.resVar","exp.RMSE","exp.init","Names"
"N_T_3","1.152238","700.8771","382.5368","381.394","0.3340122","0.2785132","18.13","16.11",NA,NA,NA,NA,NA,NA,"24.7291","18.05974","2.522096",NA,"-11.9982","18.05974","57.2481","18.38408","l4","1.041831","0.3307541","17.69602","0","0.9374245",NA,NA,NA,"16","115.7992","60.77692","7.027179","8.089516","N_T_3"
"S_T_3","1.128435","578.9676","374.8934","373.7505","0.3264071","0.2702744","19.06","16.56",NA,NA,NA,NA,NA,NA,"21.80437","15.98152","2.948018",NA,"-10.20558","15.98152","51.52652","19.42803","l4","1.099782","0.9858076","5.321439","0",NA,"1.188516","0.07512495","0",NA,NA,NA,NA,NA,"S_T_3"
"NT_C_3","1.000079","112.1806","309.2479","308.1051","0.1437949","0.07244446","2","82",NA,NA,NA,NA,NA,NA,"22.48276","-3.232859","22.33808",NA,"-1.842576","-3.232859","22.56041","3.516719","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT_C_3"
"H_C_4","1.109706","579.429","374.9252","373.7824","0.2732604","0.2126987","20.58","18.23",NA,NA,NA,NA,NA,NA,"23.1727","17.92036","3.474067",NA,"-11.67017","17.92036","48.86647","20.88655","l4","1.147921","0.9680413","6.019382","0","0.9489363","1.492459","0.152367","0","18","128.9839","58.30996","6.97077","7.065422","H_C_4"
"N_C_4","1.271072","570.9762","374.3374","373.1946","0.4463228","0.4001831","18.96","16.62",NA,NA,NA,NA,NA,NA,"15.65211","8.118125","0.2905802",NA,"-10.79912","8.118125","53.35233","19.29248","l4","1.201811","0.9743883","0.8774922","0",NA,"1.205826","0.001355914","0",NA,NA,NA,NA,NA,"N_C_4"
"S_C_4","1.32039","577.4067","374.7854","373.6425","0.5039876","0.4626532","18.98","16.69",NA,NA,NA,NA,NA,NA,"15.81778","7.300794","0.1529772",NA,"-11.09739","7.300794","58.22049","19.2874","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_C_4"
"H_T_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_T_4"
"N_T_4","1.239565","708.5371","382.9716","381.8288","0.3846976","0.3334223","17.77","15.53",NA,NA,NA,NA,NA,NA,"17.61299","10.22695","0.6271359",NA,"-10.59752","10.22695","54.81191","18.08941","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_T_4"
"S_T_4","1.11849","687.5383","381.7682","380.6254","0.31866","0.2618817","19.59","17.06",NA,NA,NA,NA,NA,NA,"24.82031","18.56737","3.674061",NA,"-10.34907","18.56737","56.58233","19.96093","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_T_4"
"*NT_C_4*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*NT_C_4*"
