"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","sli.rsq","sli.init","sli.base","LRE.rsq","LRE.base","Names"
"S_T_4","1.126874","642.7931","379.0764","377.9336","0.2786785","0.2185684","22.55","20.43",NA,NA,NA,NA,NA,NA,"23.67539","17.88867","2.062941",NA,"-14.17951","17.88867","50.6471","22.77258","l4",NA,"20","0.9841414","135.0537","39.54052","5.797365","8.710292",NA,NA,NA,NA,NA,NA,"S_T_4"
"NT_C_4","1.075007","59.59974","283.9496","282.8067","0.2409758","0.1777238","16.26","13.63",NA,NA,NA,NA,NA,NA,"8.972948","7.509555","3.3481",NA,"-8.305624","7.509555","17.06016","16.74502","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT_C_4"
"H_C_5","1.179067","674.0968","380.9785","379.8356","0.3690491","0.3164699","19.57","17.22",NA,NA,NA,NA,NA,NA,"20.27787","13.29969","1.188856",NA,"-11.15048","13.29969","55.0299","19.88671","l4","1.195073","17","1.119808","115.3705","39.33793","5.691743","0.00112131","1.980518","0.8368663","1.85955","0","0.6217425","0","H_C_5"
"N_C_5","1.170895","678.9534","381.2656","380.1228","0.3128383","0.2555748","20.23","18.01",NA,NA,NA,NA,NA,NA,"19.51823","13.24399","1.138765",NA,"-12.16332","13.24399","49.89579","20.50359","l4","1.116471","18","0.9414513","103.4374","14.10494","3.428427","9.24485",NA,"0.97442","3.196722","0",NA,NA,"N_C_5"
"S_C_5","1.140144","811.1404","388.3812","387.2383","0.3095682","0.2520322","19","16.79",NA,NA,NA,NA,NA,NA,"25.25879","18.50648","2.792928",NA,"-11.48471","18.50648","58.45418","19.28733","l4","1.052886","16","0.9368703","110.88","44.6906","6.02587","7.37991","1.304875","0.8985701","13.87429","0","0.3603027","0","S_C_5"
"H_T_5","1.146145","712.2684","383.1817","382.0389","0.3032232","0.2451584","20.26","17.92",NA,NA,NA,NA,NA,NA,"21.47073","15.21544","1.863269",NA,"-11.51429","15.21544","52.14054","20.57329","l4","1.124443","17","0.9676739","113.8776","36.03073","5.447235","6.685966","1.005091","0.9799475","6.976992","0","0.008959492","0","H_T_5"
"N_T_5","1.120867","710.3433","383.0735","381.9306","0.2732643","0.212703","19.76","17.15",NA,NA,NA,NA,NA,NA,"21.6842","16.00217","3.064039",NA,"-10.11275","16.00217","50.76326","20.15493","l4","1.094845",NA,NA,NA,NA,NA,NA,"1.166818","0.9863755","8.221777","0","0.03987121","0","N_T_5"
"*S_T_5*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*S_T_5*"
"H_C_6","1.000086","146.1912","319.8401","318.6973","0.1009413","0.0260197","2","82",NA,NA,NA,NA,NA,NA,"25.05874","-16814.73","24.88209",NA,"-1.379097","-16814.73","25.18541","0.01579786","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_C_6"
"N_C_6","1.173794","609.7577","376.966","375.8231","0.3643778","0.3114093","22.36","20.31",NA,NA,NA,NA,NA,NA,"21.88187","14.9977","0.844646",NA,"-14.51761","14.9977","53.70959","22.56904","l4",NA,"20","1.052826","134.5023","38.46525","5.717994","0.07497629",NA,NA,NA,NA,NA,NA,"N_C_6"
"S_C_6","1.192373","720.5423","383.6437","382.5008","0.3529835","0.2990655","17.92","15.44",NA,NA,NA,NA,NA,NA,"18.36617","11.53403","1.213988",NA,"-9.687679","11.53403","53.92411","18.30606","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_C_6"
"H_T_6","1.113313","708.662","382.9787","381.8358","0.267751","0.2067302","20.45","17.91",NA,NA,NA,NA,NA,NA,"23.16083","17.50294","3.387182",NA,"-10.76871","17.50294","51.55549","20.80429","l4","1.044763","17","0.9500602","113.3911","35.01424","5.369847","7.399343","1.052266","0.832761","13.22835","0","0.006628202","0","H_T_6"
"*N_T_6*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*N_T_6*"
"S_T_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_T_6"
"H_C_7","1.145436","621.7019","377.7419","376.5991","0.3372028","0.2819697","20.16","17.93",NA,NA,NA,NA,NA,NA,"22.57378","16.22949","1.97813",NA,"-12.02575","16.22949","53.34352","20.44575","l4","1.110541",NA,NA,NA,NA,NA,NA,NA,"0.9499068","4.091928","0",NA,NA,"H_C_7"
"N_C_7","1.230462","487.9091","368.0487","366.9058","0.4135394","0.3646676","21.27","19.01",NA,NA,NA,NA,NA,NA,"15.87475","9.202148","0.3079714",NA,"-12.55851","9.202148","47.90351","21.53911","l4","1.176369","19","1.025369","104.095","10.931","3.033982","0.935066","1.234627","0.9845358","0.9184892","0","0.04332167","0","N_C_7"
"S_C_7","1.148213","692.1486","382.0355","380.8927","0.3051642","0.2472612","20.48","18.23",NA,NA,NA,NA,NA,NA,"21.65306","15.41996","1.743039",NA,"-12.11695","15.41996","51.80962","20.76311","l4","1.076389",NA,NA,NA,NA,NA,NA,"1.018423","0.6438406","7.261125","0","0.003352264","0","S_C_7"
"H_T_7","1.120823","770.6797","386.3344","385.1916","0.2887086","0.2294344","19.76","17.2",NA,NA,NA,NA,NA,NA,"23.84505","17.67062","3.352441",NA,"-10.3037","17.67062","55.20024","20.13815","l4",NA,"17","0.9453828","114.0368","36.36967","5.472795","6.327159",NA,NA,NA,NA,NA,NA,"H_T_7"
"N_T_7","1.222731","646.4334","379.3023","378.1595","0.2618684","0.2003574","25.87","25.03",NA,NA,NA,NA,NA,NA,"25.742","19.70009","0.1677821",NA,"-41.00849","19.70009","50.19415","25.898","l4","1.063761","25","0.9964221","176.5296","56.32521","7.040326","44.36547","1.743724","0.9126483","8.312901","0","0.7106143","0","N_T_7"
"S_T_7","1.150407","607.7426","376.8336","375.6907","0.3201646","0.2635117","20.77","18.54",NA,NA,NA,NA,NA,NA,"20.9178","14.86403","1.557146",NA,"-12.45515","14.86403","50.10867","21.03605","l4","1.079186","18","0.9651179","115.8592","28.12398","4.841141","4.239965","1.449964","0.9488532","8.557903","0","0.3889749","0","S_T_7"
"H_C_8","1.106874","402.8311","360.3842","359.2414","0.442172","0.3956863","21.1","18.36",NA,NA,NA,NA,NA,NA,"25.6485","19.37482","3.975777",NA,"-10.30065","19.37482","57.53533","21.49912","l4",NA,"18","1.000185","124.7573","46.10672","6.19857","918.6359",NA,NA,NA,NA,NA,NA,"H_C_8"
"*N_C_8*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*N_C_8*"
"S_C_8","1.181538","606.6983","376.7648","375.6219","0.3665926","0.3138086","19.19","16.98",NA,NA,NA,NA,NA,NA,"19.80684","13.17232","1.165884",NA,"-11.58313","13.17232","52.38625","19.48072","l4","1.025428","16","1.032068","99.51564","21.96587","4.224602","0.10066","1.07871","0.09281148","13.90895","0","0.0001278368","0","S_C_8"
"H_T_8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_T_8"
"N_T_8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_T_8"
"*S_T_8*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*S_T_8*"
