"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"H_C_1","1.218333","13837.5","501.849","500.7062","0.9992483","0.9991857","36.19","33.75",NA,NA,NA,NA,NA,NA,"7237.352","3958.381","9.225321",NA,"-19.62318","3958.381","21542.29","36.38107","l4","1.236337","0.9939786","5.670185","0","33","1.879188","312.1469","648.0749","24.2726","3.541304e-06","1.020379","0.5943285","0","H_C_1"
"*N_C_1*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*N_C_1*"
"*S_C_1*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*S_C_1*"
"H_T_1","1.200212","17050.15","510.2001","509.0572","0.9991772","0.9991086","35.08","32.42",NA,NA,NA,NA,NA,NA,"6802.302","3766.97","18.32802",NA,"-17.50631","3766.97","20365.66","35.31439","l4","1.222262","0.9916953","10.33988","0","32","1.869299","218.824","46.9373","6.522034","8.791412e-06","1.343747","0.5686879","0","H_T_1"
"N_T_1","1.19208","19869.78","516.3217","515.1789","0.9991699","0.9991007","33.91","31.08",NA,NA,NA,NA,NA,NA,"6489.854","3574.152","27.58412",NA,"-15.90446","3574.152","19739.9","34.18377","l4","1.221723","0.9946436","12.91336","0","31","1.825429","239.9568","115.1671","10.19911","3.856687e-05","1.375833","0.7569561","0","N_T_1"
"S_T_1","1.201109","17816.22","511.9581","510.8152","0.9991643","0.9990947","34.82","32.1",NA,NA,NA,NA,NA,NA,"6603.581","3597.436","18.41533",NA,"-16.98461","3597.436","20058.75","35.0612","l4","1.226908","0.9940037","9.383941","0","32","1.841503","245.6885","108.6713","9.923877","1.661021e-05","1.385818","0.7578884","0","S_T_1"
"NT_C_1","1.000129","17.42948","234.77","233.6272","0.9197847","0.9131","1","40",NA,NA,NA,NA,NA,NA,"3938.339","3830.903","3918.029",NA,"-0.1924055","3830.903","8111.675","7284471858","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT_C_1"
"H_C_2","1.212181","16767.8","509.5322","508.3893","0.999196","0.9991291","35.53","33.01",NA,NA,NA,NA,NA,NA,"7093.047","3894.735","12.36723",NA,"-18.71896","3894.735","21175.33","35.73024","l4","1.234636","0.9942686","6.821254","0","33","1.842716","300.4817","455.0984","20.34025","9.850288e-06","1.402342","0.7612565","0","H_C_2"
"N_C_2","1.216709","30970.3","534.0749","532.932","0.9991569","0.9990866","34.43","31.72",NA,NA,NA,NA,NA,NA,"7853.051","4066.128","15.59258",NA,"-16.86525","4066.128","24813.78","34.66911","l4","1.242168","0.9936677","8.056795","0","31","1.917233","264.6935","255.7858","15.19975","8.017792e-06","1.452133","0.9049686","0","N_C_2"
"S_C_2","1.213082","21705.6","519.8565","518.7137","0.9991911","0.9991237","35.15","32.53",NA,NA,NA,NA,NA,NA,"7490.41","4006.878","13.9818",NA,"-17.80711","4006.878","22951.52","35.36961","l4","1.234288","0.9923588","7.95115","0","32","1.890559","247.2264","114.0218","10.16525","6.668546e-06","1.349177","0.5334078","0","S_C_2"
"H_T_2","1.2015","29664.34","532.3516","531.2087","0.9991311","0.9990586","33.62","30.77",NA,NA,NA,NA,NA,NA,"7229.545","3835.929","25.46878",NA,"-15.6623","3835.929","22704.27","33.90006","l4","1.231987","0.9941863","11.71884","0","30","1.897337","217.8711","71.03599","7.995773","1.795272e-05","1.428467","0.8906751","0","H_T_2"
"N_T_2","1.217907","15414.58","506.1663","505.0234","0.9992322","0.9991682","35.72","33.2",NA,NA,NA,NA,NA,NA,"6961.172","3749.872","10.00687",NA,"-18.80159","3749.872","21130.78","35.92746","l4","1.238122","0.9940441","5.883393","0","33","1.859271","252.2826","105.6293","9.799317","6.724499e-06","1.385357","0.6963597","0","N_T_2"
"S_T_2","1.200412","23297","522.6867","521.5439","0.9991524","0.9990818","33.88","31.09",NA,NA,NA,NA,NA,NA,"6760.272","3642.574","23.0986",NA,"-16.1036","3642.574","20852.49","34.14317","l4","1.23021","0.9942901","10.81168","0","31","1.841324","241.7704","122.1054","10.50185","3.1547e-05","1.391964","0.7596634","0","S_T_2"
"NT_C_2","1.000315","74.60099","292.9297","291.7868","0.8229032","0.8081451","1","40",NA,NA,NA,NA,NA,NA,"3835.09","3768.297","3787.14",NA,"-0.7197941","3768.297","1123005","29555593","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT_C_2"
"H_C_3","1.229399","13009.47","499.3808","498.238","0.9993765","0.9993245","36.27","33.9",NA,NA,NA,NA,NA,NA,"7618.752","4103.758","6.9389",NA,"-20.28212","4103.758","22885.6","36.44579","l4","1.24523","0.9948264","4.554887","0","33","1.889494","317.0664","752.2603","26.15097","2.914927e-06","1.296047","0.2019291","0","H_C_3"
"N_C_3","1.211154","29728.29","532.4377","531.2948","0.9991649","0.9990953","34.43","31.71",NA,NA,NA,NA,NA,NA,"7867.726","4150.625","18.09664",NA,"-16.82932","4150.625","24597.75","34.67488","l4","1.237218","0.9937931","9.191227","0","31","1.910015","262.4176","237.6802","14.65192","8.853904e-06","1.444488","0.9060508","0","N_C_3"
"S_C_3","1.209223","26338.93","527.5957","526.4528","0.9991726","0.9991036","34.62","31.89",NA,NA,NA,NA,NA,NA,"7624.23","4038.566","17.82652",NA,"-16.86504","4038.566","23753.88","34.86398","l4","1.235855","0.9948792","8.912318","0","31","1.908875","225.5637","72.39161","8.086159","7.86275e-06","1.420216","0.8623996","0","S_C_3"
"H_T_3","1.212044","35321.19","539.3331","538.1902","0.9991319","0.9990596","33.76","30.95",NA,NA,NA,NA,NA,NA,"7737.922","3986.45","20.12488",NA,"-15.96274","3986.45","24729.72","34.02191","l4","1.242369","0.9945104","9.335339","0","30","1.926117","236.3362","131.4582","10.87715","1.149452e-05","1.427962","0.8432379","0","H_T_3"
"N_T_3","1.201767","19308.73","515.176","514.0332","0.9991872","0.9991195","34.59","31.86",NA,NA,NA,NA,NA,NA,"6774.225","3674.748","19.39906",NA,"-16.80394","3674.748","20667.14","34.83507","l4","1.228184","0.9946474","9.727254","0","31","1.892437","202.4207","34.31354","5.567125","8.971603e-06","1.411971","0.8626725","0","N_T_3"
"S_T_3","1.210046","21715.18","519.8742","518.7313","0.9991413","0.9990698","34.82","32.16",NA,NA,NA,NA,NA,NA,"7025.376","3766.929","15.26723",NA,"-17.38729","3766.929","21588.74","35.05211","l4","1.23564","0.9937616","7.858591","0","32","1.860189","255.7042","148.6089","11.60503","1.265227e-05","1.393394","0.7216987","0","S_T_3"
