,sig.eff,sig.resVar,sig.AICc,sig.AIC,sig.Rsq,sig.Rsq.ad,sig.cpD1,sig.cpD2,sig.cpE,sig.cpR,sig.cpT,sig.Cy0,sig.cpCQ,sig.cpMR,sig.fluo,sig.init1,sig.init2,sig.cf,sig.b,sig.c,sig.d,sig.e,sig.model,sli.eff,sli.rsq,sli.init,sli.base,exp.point,exp.eff,exp.AIC,exp.resVar,exp.RMSE,exp.init,LRE.eff,LRE.rsq,LRE.base,Names
N_T_5,1.231896,171.0563,326.1232,324.9804,0.9999632,0.9999601,38.82,36.77,NA,NA,NA,NA,NA,NA,6610.261,3814.534,3.088906,NA,-24.99834,3814.534,18400.86,38.94906,l4,1.240493,0.9963092,2.453363,0,36,1.88083,232.9284,33.02104,5.501753,4.43E-07,1.1302,0.2324851,0,N_T_5
S_T_5,1.114498,6.999407,198.2765,197.1337,0.9998642,0.9998529,40,40,NA,NA,NA,NA,NA,NA,5289.286,4094.421,69.21872,NA,-23.95926,4094.421,14195997,59.1735,l4,1.02704,0.8553403,1629.612,0,40,1.855506,201.0237,7.890629,2.701635,4.06E-08,NA,NA,NA,S_T_5
H_C_6,1.02603,797.8567,387.7207,386.5778,0.8049008,0.7886426,40,40,NA,NA,NA,NA,NA,NA,4558.515,4268.189,1630.894,NA,-20.06768,4268.189,6737212,66.00684,l4,NA,NA,NA,NA,40,1.67121,384.2102,769.1917,26.674,5.83E-07,NA,NA,NA,H_C_6
*N_C_6*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*N_C_6*
*S_C_6*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*S_C_6*
H_T_6,1.284007,112.096,309.2177,308.0749,0.9999013,0.9998931,40,39.58,NA,NA,NA,NA,NA,NA,8229.034,3809.784,0.4151921,NA,-24.36553,3809.784,26967.65,41.99763,l4,1.177074,0.9449856,12.43768,0,39,1.818277,303.9714,125.3582,10.7571,4.49E-07,NA,NA,NA,H_T_6
N_T_6,1.242592,189.6152,330.2434,329.1005,0.9999765,0.9999745,38.16,36.09,NA,NA,NA,NA,NA,NA,6996.686,3910.904,2.757898,NA,-24.34418,3910.904,20056.83,38.29353,l4,1.245512,0.9944211,2.616515,0,36,1.845951,269.8952,92.20364,9.193476,1.41E-06,1.099161,0.3937452,0,N_T_6
*S_T_6*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*S_T_6*
H_C_7,1.291201,1138.963,401.9585,400.8156,0.9987535,0.9986496,40,40,NA,NA,NA,NA,NA,NA,8801.55,3917.82,0.3197458,NA,-23.97169,3917.82,31099.93,42.61598,l4,1.1068,0.8971919,120.0846,0,40,1.747475,412.5764,1563.206,38.02586,1.73E-06,NA,NA,NA,H_C_7
N_C_7,1.248833,154.0141,321.9253,320.7824,0.9999856,0.9999844,37.51,35.43,NA,NA,NA,NA,NA,NA,6827.131,3754.643,2.600669,NA,-23.89318,3754.643,19850.77,37.6377,l4,1.252895,0.9959722,2.357128,0,35,1.876056,222.2492,29.17004,5.164276,1.23E-06,1.058085,0.5526976,0,N_C_7
S_C_7,1.267844,41.45411,269.427,268.2841,0.9999395,0.9999345,40,39.71,NA,NA,NA,NA,NA,NA,7320.995,3648.448,0.5913218,NA,-25.16417,3648.448,22817.66,42.04821,l4,1.154036,0.931904,23.44763,0,39,1.859836,273.2108,56.96532,7.251439,1.46E-07,NA,NA,NA,S_C_7
H_T_7,1.190408,19.85382,239.9794,238.8365,0.9999318,0.9999261,40,39.73,NA,NA,NA,NA,NA,NA,5971.786,3571.499,5.871009,NA,-23.41499,3571.499,16176.32,42.26313,l4,1.109799,0.9329838,91.38826,0,39,1.781386,262.1487,42.89688,6.292625,4.98E-07,NA,NA,NA,H_T_7
N_T_7,1.218413,401.4283,360.2447,359.1018,0.9997774,0.9997589,40,37.96,NA,NA,NA,NA,NA,NA,6401.163,3725.137,3.544079,NA,-24.59002,3725.137,17732.24,40.25459,l4,1.247485,0.9991922,1.462641,0,37,1.834588,314.2897,250.8313,15.18202,5.02E-07,1.01363,0.7139403,0,N_T_7
*S_T_7*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*S_T_7*
H_C_8,1.004167,17.82486,235.6673,234.5244,0.9800345,0.9783707,1.68,1,NA,NA,NA,NA,NA,NA,3344.112,3330.234,3330.234,NA,-1.743336,3330.234,3470.504,3.550767,l4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H_C_8
N_C_8,1.215428,307.3042,349.557,348.4142,0.9998519,0.9998396,39.52,37.42,NA,NA,NA,NA,NA,NA,5741.657,3416.397,3.876719,NA,-24.8975,3416.397,15546.62,39.64658,l4,1.236237,0.9975472,2.093642,0,37,1.850522,313.0187,242.361,14.92348,4.36E-07,1.023661,0.6056639,0,N_C_8
S_C_8,1.15905,183.2225,328.8716,327.7287,0.999647,0.9996175,40,38.33,NA,NA,NA,NA,NA,NA,5233.69,3580.556,18.27138,NA,-25.27403,3580.556,12194.61,40.57349,l4,1.158687,0.9787351,19.06875,0,38,1.833548,295.0756,121.3867,10.57372,2.47E-07,NA,NA,NA,S_C_8
H_T_8,1.229936,181.4444,328.4815,327.3386,0.9999269,0.9999208,39.49,37.42,NA,NA,NA,NA,NA,NA,5965.047,3449.446,2.583541,NA,-25.30555,3449.446,16598.29,39.61342,l4,1.249846,0.9975771,1.443854,0,37,1.863375,275.0739,86.91185,8.936719,3.66E-07,1.036816,0.5783532,0,H_T_8
