"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.eff","LRE.eff","LRE.rsq","LRE.base","exp.point","exp.AIC","exp.resVar","exp.RMSE","exp.init","Names"
"N_C_5","1.307518","689.0236","381.8545","380.7117","0.4054104","0.3558612","18.59","16.76",NA,NA,NA,NA,NA,NA,"17.22249","9.377212","0.1925004",NA,"-13.49768","9.377212","54.15565","18.79837","l4",NA,NA,NA,NA,"0.9901372",NA,NA,NA,"16","93.87353","15.4384","3.541709","10.41873","N_C_5"
"S_C_5","1.216491","818.3406","388.7347","387.5918","0.336761","0.2814911","18.19","16.01",NA,NA,NA,NA,NA,NA,"18.86081","11.65653","0.8184057",NA,"-11.11746","11.65653","54.56298","18.48907","l4","1.084242","0.9965045","6.750584","0","0.9383235","1.282426","0.5214559","0","16","90.58983","12.57394","3.196299","5.488742","S_C_5"
"H_T_5","1.236545","582.7754","375.1556","374.0127","0.3885118","0.3375544","21.57","19.46",NA,NA,NA,NA,NA,NA,"16.94467","9.955873","0.2720366",NA,"-13.59543","9.955873","49.84409","21.80866","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_T_5"
"N_T_5","1.136171","648.1419","379.4079","378.265","0.3195554","0.2628517","20.09","17.7",NA,NA,NA,NA,NA,NA,"22.30104","16.12911","2.327929",NA,"-11.20203","16.12911","52.81519","20.41425","l4",NA,NA,NA,NA,"0.933664",NA,NA,NA,"17","109.5147","27.87509","4.791238","4.249517","N_T_5"
"S_T_5","1.121614","714.6164","383.3134","382.1705","0.2941358","0.2353138","20.98","18.7",NA,NA,NA,NA,NA,NA,"25.2777","19.09678","2.955712",NA,"-12.25947","19.09678","55.14294","21.26397","l4","1.044799","0.8063994","13.72055","0","0.9453433","1.083976","0.0001080808","0","18","124.4143","45.23655","6.139799","6.916784","S_T_5"
"*H_C_6*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*H_C_6*"
"N_C_6","1.266753","578.9756","374.8939","373.7511","0.4513487","0.4056277","19.79","17.49",NA,NA,NA,NA,NA,NA,"16.35832","8.632873","0.2616125",NA,"-11.50191","8.632873","54.35738","20.08818","l4","1.198726","0.9523879","0.8090756","0",NA,"1.0641","0.08387336","0",NA,NA,NA,NA,NA,"N_C_6"
"S_C_6","1.152612","700.1966","382.498","381.3551","0.3303109","0.2745035","19.09","16.54",NA,NA,NA,NA,NA,NA,"20.47134","14.02153","1.953931",NA,"-10.0041","14.02153","53.55448","19.47657","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_C_6"
"H_T_6","1.236652","603.5353","376.5557","375.4128","0.4526276","0.4070133","19.55","16.84",NA,NA,NA,NA,NA,NA,"16.23763","8.528348","0.4540173",NA,"-9.647842","8.528348","56.30878","19.9773","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_T_6"
"N_T_6","1.219538","850.2305","390.2638","389.121","0.3503957","0.296262","16.06","14.32",NA,NA,NA,NA,NA,NA,"23.50905","15.72329","1.370624",NA,"-12.30885","15.72329","61.07733","16.27323","l4","1.036553","0.4939519","13.4097","0","0.9165551","1.221026","0.04406516","0","14","90.88089","27.75313","4.669693","3.985997","N_T_6"
"S_T_6","1.125952","654.8594","379.8203","378.6775","0.3008119","0.2425462","19.81","17.32",NA,NA,NA,NA,NA,NA,"22.30381","16.42817","2.85797",NA,"-10.65505","16.42817","51.9037","20.15831","l4","1.051975","0.784608","11.78602","0","0.9496833",NA,NA,NA,"17","109.7739","28.30327","4.827896","4.772191","S_T_6"
"*H_C_7*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*H_C_7*"
"N_C_7","1.256755","610.3737","377.0064","375.8635","0.4105639","0.3614443","19.15","17",NA,NA,NA,NA,NA,NA,"16.73951","9.415654","0.3439412",NA,"-11.88602","9.415654","52.45395","19.4241","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_C_7"
"S_C_7","1.186396","651.7757","379.6315","378.4887","0.3217141","0.2651903","23.29","21.61",NA,NA,NA,NA,NA,NA,"22.47141","15.8387","0.5591522",NA,"-18.4399","15.8387","51.76907","23.42291","l4","1.080127","0.8337335","5.067473","0","0.9632303","1.574881","0.1195526","0","21","134.8164","28.64991","4.955509","8.930137","S_C_7"
"H_T_7","1.214818","624.3049","377.9091","376.7662","0.376879","0.3249523","19.65","17.46",NA,NA,NA,NA,NA,NA,"17.98181","11.06863","0.6015486",NA,"-11.9783","11.06863","51.60071","19.92462","l4",NA,NA,NA,NA,"1.100015",NA,NA,NA,"17","112.2595","32.75939","5.194066","0.002499124","H_T_7"
"N_T_7","1.156648","637.0025","378.7145","377.5716","0.3389991","0.2839157","19.26","16.74",NA,NA,NA,NA,NA,NA,"19.64032","13.3496","1.718545",NA,"-10.21689","13.3496","51.70688","19.63311","l4","1.071006","0.7114753","8.628189","0","1.068618","1.16659","0.01080182","0","16","93.90058","15.46453","3.544704","0.01651261","N_T_7"
"S_T_7","1.129419","582.6317","375.1457","374.0029","0.3374328","0.2822189","20.91","18.5",NA,NA,NA,NA,NA,NA,"22.93898","16.80506","2.414088",NA,"-11.57729","16.80506","53.00735","21.22283","l4",NA,NA,NA,NA,"1.076772",NA,NA,NA,"18","119.1965","33.85309","5.311394","0.01463346","S_T_7"
"H_C_8","1.214832","535.5063","371.772","370.6292","0.4108634","0.3617687","19.64","17.29",NA,NA,NA,NA,NA,NA,"16.96925","10.16852","0.5866477",NA,"-11.19778","10.16852","50.76655","19.95167","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_C_8"
"N_C_8","1.169392","497.5007","368.8274","367.6845","0.3753827","0.3233313","22.69","20.68",NA,NA,NA,NA,NA,NA,"20.99069","14.60166","0.8252982",NA,"-15.02153","14.60166","50.38389","22.89152","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_C_8"
"*S_C_8*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*S_C_8*"
"H_T_8","1.148125","611.3054","377.0674","375.9245","0.3261248","0.2699685","19.35","16.71",NA,NA,NA,NA,NA,NA,"18.92955","12.98516","1.882451",NA,"-9.811868","12.98516","49.67555","19.75664","l4",NA,NA,NA,NA,"1.087294",NA,NA,NA,"16","105.4554","31.84005","5.08626","0.004972219","H_T_8"
"N_T_8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_T_8"
"S_T_8","1.186936","632.9949","378.462","377.3192","0.3727393","0.3204676","21.14","18.85",NA,NA,NA,NA,NA,NA,"19.49393","12.54198","0.7708012",NA,"-12.2955","12.54198","53.07494","21.42597","l4","1.147885","0.9470616","1.808014","0",NA,"1.200789","1.626976e-05","0",NA,NA,NA,NA,NA,"S_T_8"
