"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"H_T_3","1.200973","49486.19","552.8215","551.6786","0.9989731","0.9988875","30.21","27.24",NA,NA,NA,NA,NA,NA,"6748.755","3543.309","45.99831",NA,"-13.54064","3543.309","21858.9","30.54481","l4","1.240986","0.9933112","18.62388","0","27","1.876074","209.5207","114.8511","10.10395","0.000195909","1.500555","0.948525","0","H_T_3"
"N_T_3","1.215782","54828.58","556.9222","555.7793","0.9989797","0.9988947","31.05","28.17",NA,NA,NA,NA,NA,NA,"7159.9","3614.44","29.14237",NA,"-14.3368","3614.44","23619.77","31.35403","l4","1.255123","0.994365","11.73629","0","28","1.871862","222.9325","141.4028","11.23621","0.0001292416","1.417465","0.7007705","0","N_T_3"
"S_T_3","1.196415","35891.21","539.9734","538.8306","0.9989691","0.9988832","31.44","28.56",NA,NA,NA,NA,NA,NA,"6359.634","3444.958","37.9425",NA,"-14.52847","3444.958","19890.51","31.74314","l4","1.234979","0.9940724","15.04186","0","28","1.885831","185.5466","37.20347","5.763453","6.954154e-05","1.458248","0.8798344","0","S_T_3"
"NT_C_3","1.000292","7.205486","199.4372","198.2944","0.6357331","0.6053775","23.26","22.27",NA,NA,NA,NA,NA,NA,"3410.597","3409.214","3388.5",NA,"-31.19182","3409.214","3416.287","23.30311","l4",NA,NA,NA,NA,"22","0.8038731","106.6286","6.00051","2.276458","6.919964",NA,NA,NA,"NT_C_3"
"H_C_4","1.228298","50137.73","553.3447","552.2018","0.9991128","0.9990389","30.96","28.24",NA,NA,NA,NA,NA,NA,"7246.763","3640.134","21.78722",NA,"-15.13942","3640.134","23788.35","31.22892","l4","1.2623","0.9928096","10.00768","0","28","1.852647","272.4145","827.8453","27.18727","0.0001658424","1.414322","0.6134204","0","H_C_4"
"N_C_4","1.214546","68031.27","565.5524","564.4096","0.9990315","0.9989508","29.52","26.6",NA,NA,NA,NA,NA,NA,"7567.096","3828.503","43.00488",NA,"-13.45168","3828.503","25218.23","29.85326","l4","1.256609","0.9947343","16.85657","0","26","1.913413","205.1328","129.8987","10.71963","0.0002097383","1.483891","0.8797509","0","N_C_4"
"S_C_4","1.18238","47037.55","550.7916","549.6487","0.9992235","0.9991588","29.4","25.94",NA,NA,NA,NA,NA,NA,"7161.989","3695.951","92.83565",NA,"-11.3527","3695.951","24286.06","29.85939","l4","1.221758","0.993397","38.96163","0","25","1.899921","166.6541","37.94439","5.7785","0.0003862381","1.414105","0.8638868","0","S_C_4"
"H_T_4","1.212528","45024.83","549.0423","547.8994","0.9990003","0.998917","31.32","28.48",NA,NA,NA,NA,NA,NA,"6801.815","3504.781","28.12431",NA,"-14.66586","3504.781","22019.87","31.61049","l4","1.248967","0.993278","11.81715","0","28","1.889172","197.3235","56.65632","7.112383","7.85988e-05","1.493011","0.9081346","0","H_T_4"
"N_T_4","1.223099","51595.18","554.4909","553.348","0.9990367","0.9989565","31.91","29.13",NA,NA,NA,NA,NA,NA,"7478.687","3755.565","21.18718",NA,"-15.26598","3755.565","24536.31","32.18401","l4","1.258926","0.9948188","9.056938","0","29","1.8608","228.2086","129.635","10.78074","8.875729e-05","1.427816","0.723148","0","N_T_4"
"S_T_4","1.195602","58113.73","559.2498","558.1069","0.9990022","0.9989191","30.43","27.3",NA,NA,NA,NA,NA,NA,"7410.948","3836.825","56.46272",NA,"-12.94562","3836.825","24445.42","30.7998","l4","1.236786","0.9929658","22.14448","0","27","1.860794","195.9417","69.45718","7.857463","0.0002643764","1.481076","0.9350987","0","S_T_4"
