"sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names","Pop","Treat","Sample","Gene"
1.199198,"7435.092","477.0022","475.8593","0.9997161","0.9996924","26.51",24.42,NA,NA,NA,NA,NA,NA,"5626.671","3574.894","66.64009",NA,"-16.84551","3574.894","14861.62","26.70101","l4","1.207355","0.9973298","58.3621","0","24","1.877663","173.356","65.72547","7.583521","0.000871998","1.008158","0.6254453","0","S_C_3","S","C","3","Actin"
1.195138,"4092.416","453.1191","451.9763","0.9997972","0.9997804","29.5",27.37,NA,NA,NA,NA,NA,NA,"5424.8","3432.545","41.25275",NA,"-18.3702","3432.545","14244.92","29.67888","l4","1.206084","0.9971304","33.01305","0","27","1.82077","205.3664","98.47198","9.355781","0.0002861195","1.008706","0.6199433","0","H_T_3","H","T","3","Actin"
1.206007,"5525.317","465.1274","463.9845","0.9997269","0.9997041","29.83",27.76,NA,NA,NA,NA,NA,NA,"5367.484","3339.09","29.61409",NA,"-19.07154","3339.09","14254.06","29.99579","l4","1.212707","0.9965905","26.32148","0","27","1.84944","192.0893","60.22151","7.316436","0.0001555779","1.100054","0.2946064","0","N_T_3","N","T","3","Actin"
1.187062,"4256.801","454.6944","453.5516","0.9997131","0.9996892","30.35",28.28,NA,NA,NA,NA,NA,NA,"5099.969","3320.92","39.94451",NA,"-19.43094","3320.92","12862.14","30.50746","l4","1.198059","0.9970859","31.64238","0","28","1.836175","182.7444","33.66042","5.482148","0.0001185697","1.009514","0.605041","0","S_T_3","S","T","3","Actin"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*NT_C_3*","*NT","C","3*","Actin"
1.246166,"12867.26","498.9412","497.7983","0.9996943","0.9996688","28.54",26.44,NA,NA,NA,NA,NA,NA,"6332.845","3551.388","18.81786",NA,"-18.00602","3551.388","18636.87","28.71613","l4","1.242383","0.9968527","21.01374","0","26","1.819472","257.4869","972.9923","29.3381","0.0007218451","1.056957","0.5530707","0","H_C_4","H","C","4","Actin"
1.237906,"11699.93","495.137","493.9942","0.9997148","0.999691","27.45",25.38,NA,NA,NA,NA,NA,NA,"6293.822","3644.045","27.95787",NA,"-17.60145","3644.045","18059.24","27.62311","l4","1.235572","0.996634","30.27724","0","25","1.858938","179.5687","63.60578","7.481516","0.0007777816","1.055455","0.5449593","0","N_C_4","N","C","4","Actin"
1.199854,"10371.99","490.3181","489.1752","0.9996857","0.9996595","26.5",24.41,NA,NA,NA,NA,NA,NA,"6300.203","3994.099","73.7622",NA,"-16.81898","3994.099","16661.91","26.69109","l4","1.207498","0.9973536","65.29793","0","24","1.928107","219.6585","452.487","19.89789","0.0005387051","1.01707","0.6092413","0","S_C_4","S","C","4","Actin"
1.219122,"8174.872","480.7963","479.6535","0.9997392","0.9997175","27.73",25.64,NA,NA,NA,NA,NA,NA,"5878.059","3544.092","36.55805",NA,"-17.58636","3544.092","16257.8","27.91065","l4","1.223391","0.9972293","34.59078","0","25","1.859261","167.6512","39.48836","5.894892","0.0005823551","1.134524","0.1811006","0","H_T_4","H","T","4","Actin"
1.233559,"6242.381","470.0082","468.8653","0.999779","0.9997605","31.89",29.77,NA,NA,NA,NA,NA,NA,"6226.858","3560.919","12.0348",NA,"-19.92321","3560.919","17812.01","32.04825","l4","1.236445","0.997093","11.57161","0","29","1.866245","193.9325","39.75712","5.970286","4.565563e-05","1.000958","0.690484","0","N_T_4","N","T","4","Actin"
