"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"S_T_3","1.178656","27579.33","529.4364","528.2935","0.9987831","0.9986817","33.99","30.97",NA,NA,NA,NA,NA,NA,"6502.832","3622.178","40.01711",NA,"-14.94882","3622.178","19735.66","34.29544","l4","1.133461","0.9918736","155.6692","0","30","1.886858","187.0882","25.4595","4.78681","1.572856e-05","1.422503","0.7570752","0","S_T_3"
"*NT_C_3*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*NT_C_3*"
"H_C_4","1.209839","75916.08","569.9389","568.796","0.9987681","0.9986655","32.34","29.27",NA,NA,NA,NA,NA,NA,"8142.24","4004.406","30.85345",NA,"-14.03666","4004.406","27486.87","32.66929","l4","1.252933","0.9901009","10.97265","0","29","1.854134","276.9814","696.8315","24.99491","0.0001007752","1.513473","0.7741809","0","H_C_4"
"N_C_4","1.19445","62698.74","562.2874","561.1445","0.9989874","0.998903","30.67","27.47",NA,NA,NA,NA,NA,NA,"7670.498","3934.765","58.21269",NA,"-12.79374","3934.765","25535.32","31.04418","l4","1.236642","0.9880407","22.33495","0","27","1.86687","195.2006","67.57653","7.750357","0.0002304328","1.476188","0.7411557","0","N_C_4"
"S_C_4","1.2053","66604.37","564.7045","563.5617","0.9987527","0.9986487","32.37","29.31",NA,NA,NA,NA,NA,NA,"7749.513","3880.527","32.53657",NA,"-14.05552","3880.527","25786.62","32.70259","l4","1.247727","0.9891175","11.73306","0","29","1.864353","206.4339","61.18316","7.406339","7.933571e-05","1.499541","0.7240901","0","S_C_4"
"H_T_4","1.21221","36623.76","540.7816","539.6388","0.9983225","0.9981827","35.59","32.91",NA,NA,NA,NA,NA,NA,"7037.919","3724.552","12.49962",NA,"-17.66602","3724.552","21801.43","35.81464","l4","1.241179","0.9891192","5.742985","0","32","1.886396","228.0445","62.61174","7.532721","5.177229e-06","1.442418","0.6964154","0","H_T_4"
"N_T_4","1.208972","34195.15","538.0371","536.8942","0.9983714","0.9982357","36.01","33.32",NA,NA,NA,NA,NA,NA,"7359.179","3924.398","13.20448",NA,"-17.80141","3924.398","22660.02","36.23702","l4","1.235083","0.9898311","6.561209","0","33","1.846598","244.2277","82.75201","8.673471","8.198468e-06","1.37999","0.5167339","0","N_T_4"
"S_T_4","1.20466","50267.66","553.4482","552.3053","0.998654","0.9985418","34.46","31.52",NA,NA,NA,NA,NA,NA,"7912.999","4048.54","22.36129",NA,"-15.54336","4048.54","25513.64","34.74943","l4","1.237471","0.9893317","9.670094","0","31","1.861574","223.0728","66.80231","7.767726","2.19256e-05","1.467162","0.7615227","0","S_T_4"
"NT_C_4","1.2718","277.6285","345.4949","344.352","0.9998936","0.9998847","40","38.28",NA,NA,NA,NA,NA,NA,"7427.051","3831.942","0.7476018",NA,"-25.77547","3831.942","22553.48","40.47454","l4","1.262963","0.989294","1.00637","0","38","1.86133","274.3864","70.42362","8.053811","3.174902e-07","1.015767","0.7335467","0","NT_C_4"
"H_C_5","1.199376","72492.82","568.0932","566.9504","0.9989388","0.9988504","30.73","27.57",NA,NA,NA,NA,NA,NA,"7974.776","4029.963","53.07893",NA,"-12.93262","4029.963","26744.01","31.10409","l4","1.241641","0.9877473","20.35061","0","27","1.867388","255.667","634.4491","23.74773","0.0002252884","1.484971","0.7914841","0","H_C_5"
