"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"H_C_1","1.219952","3709.746","449.1923","448.0494","0.9998787","0.9998686","29.98","27.73",NA,NA,NA,NA,NA,NA,"5951.66","3442.146","24.00784",NA,"-17.68904","3442.146","17115.17","30.17134","l4","1.235182","0.9965562","17.33672","0","27","1.892916","249.6157","507.0627","21.23022","0.0001007802","1.281196","0.203871","0","H_C_1"
"N_C_1","1.23592","3986.254","452.0678","450.9249","0.9998838","0.9998742","31.55","29.29",NA,NA,NA,NA,NA,NA,"6404.951","3530.058","12.94558",NA,"-18.58772","3530.058","19116.13","31.72854","l4","1.247151","0.9944152","10.00876","0","29","1.888741","220.12","98.08221","9.377408","4.41554e-05","1.075711","0.4799708","0","N_C_1"
"S_C_1","1.238775","4328.674","455.3642","454.2213","0.9998835","0.9998738","30.71","28.49",NA,NA,NA,NA,NA,NA,"6391.917","3527.311","14.33092",NA,"-18.33651","3527.311","19048.16","30.89451","l4","1.251033","0.9958421","10.94468","0","28","1.908845","200.6104","63.71338","7.542344","5.55469e-05","1.046265","0.580037","0","S_C_1"
"H_T_1","1.212081","3149.449","442.6428","441.5","0.9998795","0.9998695","29.86","27.61",NA,NA,NA,NA,NA,NA,"5639.149","3336.026","27.8551",NA,"-17.64814","3336.026","15912.08","30.05122","l4","1.229513","0.9965379","19.09364","0","27","1.921915","196.1869","70.09067","7.893213","6.674911e-05","1.000589","0.6692979","0","H_T_1"
"N_T_1","1.230175","3611.857","448.1226","446.9798","0.9998506","0.9998382","33.29","31.03",NA,NA,NA,NA,NA,NA,"6139.026","3413.833","9.918058",NA,"-19.52026","3413.833","18041.69","33.46423","l4","1.244575","0.9949685","7.05207","0","31","1.865237","241.3006","120.269","10.42257","1.969977e-05","1.10986","0.3283729","0","N_T_1"
"S_T_1","1.207369","3759.382","449.7239","448.5811","0.9998296","0.9998154","31.22","28.94",NA,NA,NA,NA,NA,NA,"5564.789","3297.507","23.82337",NA,"-18.14877","3297.507","15619.07","31.4152","l4","1.226493","0.994864","15.42994","0","28","1.928134","158.9207","14.37478","3.582545","2.513856e-05","1.092126","0.3373648","0","S_T_1"
"NT_C_1","1.00047","7.625541","201.7037","200.5608","0.5732883","0.537729","3.39","2.62",NA,NA,NA,NA,NA,NA,"3271.371","3269.732","3267.347",NA,"-6.033166","3269.732","3282.219","3.583604","l4",NA,NA,NA,NA,"2","1.028786","-101.3867","-2.067952e-25","3.215549e-13","163.383",NA,NA,NA,"NT_C_1"
"H_C_2","1.241159","5229.405","462.9256","461.7828","0.9998906","0.9998815","31.02","28.74",NA,NA,NA,NA,NA,NA,"7178.439","3870.416","14.43546",NA,"-18.03046","3870.416","21820.99","31.21172","l4","1.25293","0.9966859","11.15962","0","28","1.861139","263.7869","608.3183","23.30539","0.0001099414","1.01962","0.6655595","0","H_C_2"
"N_C_2","1.245075","5298","463.4469","462.304","0.9998906","0.9998815","30.72","28.47",NA,NA,NA,NA,NA,NA,"7077.813","3810.122","13.79369",NA,"-18.10741","3810.122","21580.02","30.91216","l4","1.255133","0.9958464","11.07928","0","28","1.871635","232.7273","200.6226","13.38385","0.0001094743","1.710001","0.7144047","0","N_C_2"
"S_C_2","1.234793","4094.079","453.1354","451.9925","0.9998968","0.9998882","30.19","27.97",NA,NA,NA,NA,NA,NA,"6531.846","3653.036","17.91209",NA,"-18.05291","3653.036","19329.99","30.37969","l4","1.246292","0.9955545","14.15031","0","27","1.936649","183.5653","43.91797","6.248056","5.472636e-05","1.117679","0.3038973","0","S_C_2"
"H_T_2","1.226799","3975.111","451.9558","450.813","0.9998868","0.9998774","30.41","28.12",NA,NA,NA,NA,NA,NA,"6265.284","3525.764","19.98184",NA,"-17.67909","3525.764","18480.87","30.60123","l4","1.238198","0.9945045","15.80337","0","28","1.864332","213.3068","100.2671","9.461723","0.0001254299","1.093785","0.3941698","0","H_T_2"
"N_T_2","1.237457","4395.632","455.9782","454.8353","0.9998551","0.999843","33.23","30.94",NA,NA,NA,NA,NA,NA,"6615.965","3580.876","9.072104",NA,"-19.26171","3580.876","19934.15","33.40911","l4","1.252002","0.9960997","6.420059","0","30","1.914689","167.344","13.18328","3.444554","1.117844e-05","1.133665","0.2552328","0","N_T_2"
"S_T_2","1.233408","4344.329","455.5086","454.3657","0.9998738","0.9998633","30.88","28.62",NA,NA,NA,NA,NA,NA,"6246.817","3463.919","15.42352",NA,"-18.12509","3463.919","18567.84","31.06841","l4","1.248038","0.9964586","11.13883","0","28","1.907162","191.7919","46.49973","6.443416","5.099366e-05","1.02534","0.6290325","0","S_T_2"
"NT_C_2","1.000592","9.298359","209.637","208.4942","0.9895055","0.988631","1","40",NA,NA,NA,NA,NA,NA,"3453.388","3350.158","3372.659",NA,"-0.7889954","3350.158","7528798","58242550","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT_C_2"
"H_C_3","1.245355","4181.529","453.9808","452.838","0.9998958","0.9998872","31.51","29.31",NA,NA,NA,NA,NA,NA,"6810.675","3705.794","10.9686",NA,"-19.00385","3705.794","20459.21","31.68496","l4","1.253521","0.9944389","9.138513","0","29","1.865828","274.1739","632.5333","23.81384","6.635646e-05","1.076133","0.4908321","0","H_C_3"
"N_C_3","1.255443","6616.592","472.3369","471.1941","0.9998954","0.9998867","32.06","29.8",NA,NA,NA,NA,NA,NA,"8404.417","4357.668","9.557845",NA,"-18.78174","4357.668","26167.93","32.24192","l4","1.265952","0.9966342","7.543845","0","29","1.910718","196.1454","42.90961","6.202474","3.314677e-05","1.027486","0.6641715","0","N_C_3"
"S_C_3","1.251259","4743.955","459.0286","457.8857","0.9999026","0.9998944","30.93","28.71",NA,NA,NA,NA,NA,NA,"7108.399","3785.348","11.40087",NA,"-18.45949","3785.348","21736.42","31.1101","l4","1.260996","0.9965231","9.254119","0","28","1.924906","210.2392","89.86237","8.957358","4.519116e-05","1.031378","0.6441855","0","S_C_3"
"H_T_3","1.232108","4443.123","456.408","455.2652","0.9998871","0.9998777","29.91","27.66",NA,NA,NA,NA,NA,NA,"6436.777","3593.805","20.01339",NA,"-17.58794","3593.805","19075.82","30.10872","l4","1.245294","0.996634","15.13832","0","27","1.918822","195.1789","67.52234","7.747248","8.372429e-05","1.020397","0.643912","0","H_T_3"
"N_T_3","1.237699","4065.393","452.8541","451.7113","0.9998914","0.9998823","30.76","28.52",NA,NA,NA,NA,NA,NA,"6425.232","3536.969","14.67258",NA,"-18.20142","3536.969","19175.25","30.94421","l4","1.249691","0.9960877","11.2729","0","28","1.901264","204.536","73.3024","8.090029","6.141995e-05","1.044315","0.5830907","0","N_T_3"
"S_T_3","1.228598","3546.024","447.3868","446.244","0.9998876","0.9998782","31.17","28.92",NA,NA,NA,NA,NA,NA,"6194.387","3484.983","16.07914",NA,"-18.36314","3484.983","18136.16","31.35301","l4","1.242593","0.9958776","11.82214","0","28","1.939834","206.6948","79.17771","8.407995","2.620582e-05","1.121828","0.275137","0","S_T_3"
"NT_C_3","1","5.948691","191.7704","190.6275","0.5888296","0.5545654","3.68","1.94",NA,NA,NA,NA,NA,NA,"3325.698","3325.698","3325.698",NA,"-198.2106","3325.698","3331.908","12.00526","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT_C_3"
"H_C_4","1.238621","2956.403","440.1127","438.9698","0.9999143","0.9999072","31.59","29.37",NA,NA,NA,NA,NA,NA,"6439.187","3549.152","12.00125",NA,"-18.87085","3549.152","19177.29","31.77176","l4","1.248611","0.9953848","9.578129","0","29","1.845096","260.2671","391.5794","18.73689","8.176303e-05","1.061474","0.5324722","0","H_C_4"
"N_C_4","1.252823","5019.906","461.2902","460.1473","0.9999063","0.9998985","30.81","28.57",NA,NA,NA,NA,NA,NA,"7328.017","3863.223","11.70243",NA,"-18.21019","3863.223","22627","30.99768","l4","1.26128","0.9961891","9.760811","0","28","1.90445","206.1327","77.60404","8.324021","6.864016e-05","1.057089","0.572969","0","N_C_4"
