"Vars","CARM_HC_1","CARM_NC_1","CARM_SC_1","CARM_HT_1","CARM_NT_1","CARM_ST_1","CARM_NTC_1","CARM_HC_2","CARM_NC_2","CARM_SC_2","CARM_HT_2","CARM_NT_2","CARM_ST_2","CARM_NTC_2","CARM_HC_3","CARM_NC_3","CARM_SC_3","CARM_HT_3","CARM_NT_3","CARM_ST_3","CARM_NTC_3","CARM_HC_4","CARM_NC_4","CARM_SC_4","CARM_HT_4","CARM_NT_4","CARM_ST_4","CARM_NTC_4","CARM_HC_5","CARM_NC_5","CARM_SC_5","CARM_HT_5","CARM_NT_5","CARM_ST_5","CARM_HC_6","CARM_NC_6","CARM_SC_6","CARM_HT_6","CARM_NT_6","CARM_ST_6","CARM_HC_7","CARM_NC_7","CARM_SC_7","CARM_HT_7","CARM_NT_7","CARM_ST_7","CARM_HC_8","CARM_NC_8","CARM_SC_8","CARM_HT_8","CARM_NT_8","CARM_ST_8"
"sig.eff","1.230419","1.225934","1.216733","1.220553","1.215916","1.221322","1.124953","1.229654","1.228355","1.227668","1.222717","1.238488","1.226787","1.116652","1.214314","1.222823","1.223468","1.205663","1.229806","1.215225","1.118269","1.244565","1.234839","1.236188","1.231795","1.228071","1.232954","1.088241","1.208361","1.214941","1.209627","1.205924","1.207606","1.206446","1.236369","1.225122","1.219381","1.209995","1.228104","1.220163","1.220205","1.147845","1.216157","1.204931","1.211727","1.211906","1.21997","1.221365","1.226411","1.225686","1.228395","1.212341"
"sig.resVar","34223.45","35304.06","30683.91","28171.53","32166.8","33281.13","1132.16","37033.71","39353.81","39261.31","35015.78","38222.88","36518.05","1382.523","31630.18","39926.74","39290.49","23683.3","45726.47","22695.74","1152.524","43754.03","41396.17","46941.37","36316.48","41545.65","43923.91","229.6482","26668.55","28770.16","29105.43","22613.1","27471.16","16152.01","17631.47","41563.24","32748.98","24749.48","28958.07","24442.66","29737.44","6290.879","29284.59","27838.05","28355.3","28260.97","28148.13","28999.59","31882.35","29101.1","23784.38","26018.38"
"sig.AICc","538.0702","539.3136","533.7033","530.2862","535.5911","536.9534","401.7188","541.2269","543.6574","543.5633","538.9857","542.4911","540.666","409.7101","534.9182","544.2356","543.593","523.3445","549.6608","521.6408","402.4319","547.8971","545.6813","550.7097","540.4446","545.8254","548.0521","337.9055","528.0931","531.1273","531.5907","521.4949","529.2792","508.0355","511.5411","545.8424","536.3086","525.1059","531.3877","524.6069","532.45","470.3178","531.8362","529.8099","530.5463","530.413","530.253","531.445","535.2358","531.5848","523.5149","527.1059"
"sig.AIC","536.9273","538.1708","532.5604","529.1433","534.4483","535.8105","400.576","540.084","542.5146","542.4205","537.8428","541.3482","539.5231","408.5673","533.7753","543.0927","542.4502","522.2017","548.518","520.498","401.289","546.7542","544.5384","549.5668","539.3017","544.6826","546.9092","336.7626","526.9503","529.9844","530.4479","520.3521","528.1363","506.8926","510.3983","544.6995","535.1657","523.9631","530.2448","523.4641","531.3071","469.1749","530.6933","528.667","529.4034","529.2701","529.1101","530.3021","534.093","530.4419","522.372","525.963"
"sig.Rsq","0.9990749","0.9990797","0.9990541","0.9989128","0.9990408","0.999034","0.9993162","0.9990576","0.9991682","0.9991222","0.9990546","0.9988524","0.9990665","0.9991376","0.9991512","0.9991242","0.9991143","0.9990698","0.9991871","0.9988957","0.9992993","0.9991368","0.9991505","0.9991123","0.9990173","0.9990359","0.9989999","0.9994737","0.9991538","0.9991362","0.9991343","0.99908","0.9990545","0.9988517","0.9990705","0.9991205","0.99916","0.9989913","0.9990096","0.9990054","0.9991261","0.9996242","0.9990958","0.9991256","0.999057","0.9990497","0.9991768","0.9991055","0.9990767","0.9990737","0.9989796","0.9990302"
"sig.Rsq.ad","0.9989978","0.999003","0.9989753","0.9988222","0.9989609","0.9989535","0.9992593","0.998979","0.9990989","0.9990491","0.9989759","0.9987567","0.9989887","0.9990657","0.9990805","0.9990512","0.9990405","0.9989923","0.9991194","0.9988037","0.9992409","0.9990649","0.9990797","0.9990384","0.9989354","0.9989556","0.9989166","0.9994298","0.9990833","0.9990642","0.9990621","0.9990033","0.9989757","0.998756","0.998993","0.9990472","0.99909","0.9989072","0.998927","0.9989225","0.9990533","0.9995929","0.9990205","0.9990527","0.9989784","0.9989705","0.9991082","0.999031","0.9989997","0.9989965","0.9988946","0.9989493"
"sig.cpD1","32.9","32.67","32.83","34.51","32.89","33.51","38.43","32.96","32.04","31.91","32.6","34.66","33.3","38.27","31.92","32.39","31.95","33.09","31.48","34.75","38.43","32.18","31.79","31.79","33.38","33.25","33.51","39.29","31.6","32.18","31.86","32.86","33.17","35.58","35.75","32.11","31.47","33.41","34.03","34.14","31.89","32.41","32.24","32.08","33.18","32.9","31.34","32.13","32.19","32.8","34.63","33.18"
"sig.cpD2","30.18","29.92","30.07","31.8","30.1","30.7","35.62","30.26","29.27","29.14","29.83","31.99","30.5","35.36","29.17","29.67","29.14","30.35","28.64","32.13","35.42","29.51","29.07","29.01","30.66","30.46","30.73","36.66","28.86","29.47","29.07","30.16","30.38","33.03","33.39","29.37","28.75","30.72","31.4","31.52","29.19","29.03","29.51","29.3","30.43","30.16","28.67","29.45","29.52","30.14","32.08","30.46"
"sig.cpE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sig.cpR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
