,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,3242.83958463293,3154.4032496972,3233.87037546506,3112.36484222783,3203.16993850915,3169.73847542678,3108.3262676659,3322.85051220041,3416.64255114504,3385.54806081151,3225.97470686401,3437.87776793664,3192.51471842695,3111.12687310855,3298.88293453274,3731.86706697567,3373.54011026716,3219.64578249617,3386.97146802037,3244.96483893477,3096.90244356768,3236.79728548952,3460.40576374136,3640.26840590767,3228.2582269943,3382.94229747422,3429.63870563437,3208.07722005024,3174.01740097678,3321.53850722237,3244.55136613091,3183.84297809616,3190.58400229238,3292.37740855416,3286.31432307843,3538.69638799449,3181.35154914873,3311.86716463742,3228.14504658547,3191.28259579311,3170.80616354808,3222.69520551455,3146.38916106781,3146.9141808134,3195.82785825528,3135.60776067644,3054.10138570888,3149.81715428159,3130.59846331583,3138.2698996242,3118.35482563796,3226.1841887344
,2,3278.04996772906,3165.05081519196,3239.69345823131,3125.80290882894,3211.52814650073,3180.22376671702,3118.625121201,3355.43004829251,3419.36648221159,3392.40334895119,3232.22624880874,3436.32330502267,3200.97545977637,3116.49516971141,3315.65487190169,3730.2126610557,3368.57737216431,3227.57350094151,3389.10467813276,3249.21336353434,3100.30779865322,3256.34849597326,3462.99989690867,3640.67078664651,3236.01460828016,3388.76433856667,3432.51805717302,3207.42831133736,3191.40813474787,3322.92009074165,3241.09819899326,3192.70804608152,3193.91106067992,3293.02461093103,3300.44573444823,3541.34448817572,3182.92553000981,3314.81636937799,3235.69947013942,3195.47187804855,3183.29351292148,3230.67331679474,3150.38448487455,3149.01303699211,3205.54072735296,3138.43714474762,3063.75340952091,3160.99444064663,3152.13176453763,3151.19521505146,3122.95824092335,3228.00248551317
,3,3298.28737405281,3169.67835279646,3245.22332394525,3127.86160140825,3215.87356259492,3185.25614829176,3115.76730958921,3374.97838766303,3423.2052786071,3396.4544351517,3235.47405910881,3436.19078543219,3206.60058686168,3118.38179609254,3330.71674116112,3733.77587025118,3366.6165416862,3228.79522398721,3391.55318327147,3248.55361794939,3106.09223667156,3271.29967813196,3466.38342198286,3637.75814772675,3229.85167432451,3391.05154245959,3438.04389014062,3214.62461772599,3200.77510993928,3329.39528827707,3247.14058513573,3196.01108552322,3197.11574771115,3298.86919991159,3309.68943131207,3541.51577086571,3185.68368798966,3319.34069263672,3239.19126741908,3199.32552455897,3194.57028348694,3234.35790427186,3154.98181111185,3151.09955490722,3205.84020141273,3143.01414578615,3066.83606906752,3172.24412433675,3161.32424311809,3150.30502713046,3126.65948797686,3225.31179762561
,4,3310.53712432537,3174.84291975357,3248.44815244934,3132.63608742408,3217.27538362755,3192.95600033006,3119.46483125657,3383.08997427227,3426.75078198978,3394.9649957506,3241.79250869456,3436.84344854808,3206.98591556669,3120.53347258275,3341.6849648118,3732.69072817546,3368.28927146871,3233.64733473385,3394.33856239051,3247.47630925117,3112.69003662777,3279.00788371657,3471.71698056259,3638.18061370901,3234.30527176186,3389.99842102715,3438.70202196233,3215.85721176669,3213.31375403152,3328.03479945214,3253.00894784915,3194.64992968147,3200.46097190686,3299.15912015423,3320.42080116119,3544.76292393453,3188.62356410554,3318.2763451566,3241.97930920265,3199.75524734146,3206.03761430013,3238.00487723291,3158.485343086,3159.53541078199,3208.06379122435,3142.57293534621,3090.09036832144,3182.99082706719,3166.03253649703,3161.84869228971,3132.30739635739,3222.79761048969
,5,3316.51001962869,3181.51106055493,3252.88179313541,3132.08742745422,3224.77331017249,3193.76382283333,3127.8543886222,3387.62334009119,3427.34723063881,3398.64718802114,3244.58431025402,3437.77331689914,3209.6964497332,3126.23805418563,3350.99629433097,3737.64210222618,3367.23715363479,3238.01800149721,3392.08552530238,3251.94111961133,3117.88995620631,3288.26635933952,3468.355932699,3632.87720031192,3235.48182715476,3392.47793798013,3445.50875378642,3217.73295217082,3217.37606600203,3331.59515342819,3251.60520962525,3198.25722250926,3204.21322678086,3302.06155407693,3332.50317515976,3545.68584154307,3190.45401773237,3317.4967363648,3242.21052890945,3207.5406556272,3213.54944732168,3237.9340938989,3159.97438250536,3163.19720843867,3213.02794989762,3147.35035376967,3101.94047144754,3195.2026026294,3170.19392319296,3164.05242348915,3128.76339897762,3223.59937187695
,6,3323.85478206868,3178.65832051956,3251.81396874738,3138.11492187576,3231.38451926095,3199.85076556076,3128.69071428524,3395.70074693878,3434.57621241579,3401.83216057293,3246.34776392365,3438.47254170947,3209.58308401704,3127.06026196896,3356.53277815281,3740.23298232455,3363.3102610603,3239.82569155496,3396.90043692473,3252.46574922828,3121.65218503528,3291.88172476391,3470.96551360616,3636.53259136108,3235.89755302109,3392.96447114669,3442.03202303365,3220.61548575073,3226.45635126816,3333.00595251683,3255.67147694185,3207.27708676026,3207.55514988771,3304.77807090302,3339.18009423188,3549.78123923716,3197.3465840456,3323.89463044155,3249.57843943264,3205.92440272035,3217.20684985144,3239.84708905932,3158.7910325063,3168.04905600002,3217.23000141915,3147.09389255812,3103.50386232485,3194.32666252994,3169.71292983184,3171.73141716654,3136.35203394208,3221.34461815931
,7,3330.89386188754,3186.26890356149,3252.70942529373,3140.25252834837,3226.88619613865,3203.91434106735,3126.76574910681,3403.04258299321,3431.67123986199,3399.41342393504,3254.91478796887,3442.03530727425,3212.82065288583,3130.44335573027,3360.39507003696,3744.18870260811,3367.58526119793,3244.74069552267,3397.847446432,3251.27356155533,3124.21534477564,3298.75055678982,3471.96463163705,3631.08517366615,3241.92496181879,3396.09148026683,3449.97591629156,3223.47845375076,3233.24350915969,3335.56017488597,3257.96413060809,3207.45054141974,3206.62570404351,3305.3391395834,3344.9085907467,3551.61245468669,3197.5460649563,3324.18000710911,3251.95116095521,3207.85882133139,3228.28334208043,3242.45180190519,3163.05456630741,3171.28750150348,3218.40551147473,3148.93420201554,3108.55595901004,3198.95043415805,3174.13133725352,3178.40896814834,3137.13137733349,3225.15977152361
,8,3336.00755026086,3184.19331494787,3258.28339085491,3141.71602334891,3231.81150092247,3206.67970020953,3133.71536894556,3399.96250880973,3435.87306107767,3407.48462484304,3250.6098994674,3436.88243576678,3216.44313655769,3129.8897403144,3366.56357795133,3747.41492396891,3364.22417701189,3246.21099580286,3396.49294056786,3251.5623455169,3126.24218849252,3303.14647505001,3474.3682808996,3637.10336064279,3242.09970910933,3393.66414657919,3452.11346582782,3223.89298071416,3236.72825121563,3339.14197467347,3257.85108079104,3205.47541801941,3210.97596450921,3310.6489355183,3351.05642277856,3553.21967760404,3199.81470840695,3322.52047358261,3256.94043647761,3211.18182252423,3232.83389945322,3242.5901408482,3164.20023600205,3173.78998612328,3218.98611557113,3148.85817359602,3123.67349616243,3197.29007472766,3176.78895113891,3182.54864817901,3138.73283327899,3222.97478061606
,9,3342.88140320854,3186.94082998175,3258.8729607535,3146.04854841714,3236.87470359714,3211.94098487551,3135.36764425462,3405.61520088638,3437.3624385214,3404.4146695151,3253.85793943989,3437.11383345231,3217.31983053623,3135.10519675938,3367.66348882608,3745.10414850097,3362.09628955595,3248.23554867365,3395.01164484852,3254.62871193744,3131.84229718111,3304.35492373079,3475.95608850731,3629.34086681999,3241.65174016611,3393.02767947997,3449.78685276659,3232.58793738714,3234.80475991464,3339.44790473423,3260.66597994765,3208.09774379661,3217.08260021177,3308.2438105675,3356.88558475004,3552.66561120653,3201.47753935993,3324.09265028997,3255.15491698364,3213.05595083566,3235.43721833799,3250.44407780065,3163.7643456464,3180.65600678521,3215.42289728229,3151.15990549075,3127.44615628376,3208.96880661351,3180.14258942518,3184.04178808379,3142.78938284672,3224.55601653477
,10,3340.86056646693,3187.5862532161,3257.03956883501,3145.40101159591,3240.74868684343,3214.49955565729,3139.68998550468,3408.34663150058,3437.4621989374,3405.89969353158,3262.96726465882,3440.96473893084,3218.08862918776,3135.06793587171,3375.83280352652,3749.78161663273,3360.79538371784,3250.43296042679,3396.07848034359,3254.10100201007,3133.30035881823,3310.53573706341,3474.56264390033,3631.60389121639,3246.35775870308,3395.58726910042,3452.13391300038,3232.40831203769,3237.11577997988,3338.07790621154,3263.38241280608,3211.85083875188,3218.5920909016,3311.97060987029,3364.50648055524,3556.91721125451,3202.87555601524,3326.85854811695,3263.77619240676,3214.80108802798,3238.5079397415,3253.66275179375,3169.49664224812,3183.22716069996,3219.21625399946,3152.971112364,3129.98726039645,3207.09302623135,3178.01097881447,3186.84283104027,3146.51051753295,3222.19313289296
