"sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names","Pop","Treat","Sample","Gene"
"1.245188","7182.573","475.62","474.4772","0.9998243","0.9998097","28.24","26.09",NA,NA,NA,NA,NA,NA,"6104.932","3402.826","19.99864",NA,"-17.48869","3402.826","18175.89","28.42125","l4","1.242384","0.9954278","22.05828","0","26","1.808858","244.5864","592.411","22.89227","0.000973711","1.105487","0.380505","0","H_C_1","H","C",1,"Actin"
"1.255633","6111.616","469.1614","468.0185","0.9998525","0.9998402","29.76","27.66",NA,NA,NA,NA,NA,NA,"6370.175","3481.166","11.73846",NA,"-18.81953","3481.166","19082.99","29.92575","l4","1.254099","0.997026","12.48893","0","27","1.870591","195.481","68.28195","7.790704","0.0001723611","1.035425","0.6343263","0","N_C_1","N","C",1,"Actin"
"1.252867","7589.158","477.8226","476.6797","0.9998415","0.9998283","28.11","25.96",NA,NA,NA,NA,NA,NA,"6408.188","3499.849","18.41284",NA,"-17.38573","3499.849","19431.29","28.29783","l4","1.250798","0.9966695","19.9021","0","25","1.863762","181.366","68.34704","7.755346","0.0005580261","1.133923","0.2803933","0","S_C_1","S","C",1,"Actin"
"1.248863","6355.093","470.724","469.5811","0.9998178","0.9998026","30.5","28.39",NA,NA,NA,NA,NA,NA,"6137.622","3402.315","11.16717",NA,"-19.22808","3402.315","18163.51","30.6628","l4","1.247434","0.9962756","11.82344","0","28","1.839261","209.0798","86.2174","8.773814","0.0001614894","1.066176","0.5295094","0","H_T_1","H","T",1,"Actin"
"1.252205","5332.283","463.7049","462.5621","0.9998757","0.9998653","29.9","27.71",NA,NA,NA,NA,NA,NA,"6408.486","3450.01","12.59408",NA,"-18.15118","3450.01","19511.11","30.07755","l4","1.252778","0.99726","12.75244","0","27","1.846348","200.0925","80.99945","8.485252","0.000240409","1.032562","0.6448221","0","N_T_1","N","T",1,"Actin"
"1.242153","5516.385","465.0626","463.9198","0.9998433","0.9998302","29.49","27.38",NA,NA,NA,NA,NA,NA,"6037.603","3404.103","15.93503",NA,"-18.51142","3404.103","17659.79","29.66631","l4","1.242789","0.9963258","16.10178","0","27","1.851293","187.6875","51.16204","6.743691","0.0002426713","1.060604","0.5333539","0","S_T_1","S","T",1,"Actin"
"1.0002","7.443954","200.7396","199.5967","0.9665768","0.9637915","1","40",NA,NA,NA,NA,NA,NA,"3388.904","3328.157","3361.922",NA,"-0.5694702","3328.157","3599.675","355.4761","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT_C_1","NT","C",1,"Actin"
"1.264286","9755.41","487.8666","486.7238","0.9998351","0.9998213","27.34","25.21",NA,NA,NA,NA,NA,NA,"6787.606","3626.84","18.37368",NA,"-17.08037","3626.84","20949.62","27.52366","l4","1.255546","0.9949343","22.81684","0","25","1.825223","233.5886","551.9738","22.03944","0.001554775","1.108049","0.4029939","0","H_C_2","H","C",2,"Actin"
"1.25597","6286.129","470.2875","469.1447","0.9998841","0.9998745","28.19","26.04",NA,NA,NA,NA,NA,NA,"6772.804","3660.619","17.92027",NA,"-17.38649","3660.619","20666.5","28.37998","l4","1.253296","0.9963219","19.61522","0","26","1.833185","210.2941","158.423","11.83822","0.0008224562","1.127888","0.317193","0","N_C_2","N","C",2,"Actin"
"1.260846","8035.141","480.1067","478.9639","0.9998363","0.9998226","28.93","26.84",NA,NA,NA,NA,NA,NA,"6628.77","3589.269","13.17235",NA,"-18.36035","3589.269","20070.9","29.10374","l4","1.257389","0.996985","14.65369","0","26","1.885568","155.5452","19.28914","4.130795","0.0002503924","1.014523","0.6886705","0","S_C_2","S","C",2,"Actin"
"1.250604","5528.035","465.147","464.0042","0.9998591","0.9998473","30.4","28.24",NA,NA,NA,NA,NA,NA,"6348.252","3452.306","11.48129",NA,"-18.68336","3452.306","19102.46","30.57219","l4","1.247584","0.9950784","12.5492","0","28","1.833248","211.3221","93.406","9.132262","0.0002026513","1.095527","0.4346831","0","H_T_2","H","T",2,"Actin"
"1.230969","5022.368","461.3098","460.1669","0.9998718","0.9998612","29.04","26.79",NA,NA,NA,NA,NA,NA,"6234.83","3507.014","23.82888",NA,"-17.12711","3507.014","18454.57","29.24132","l4","1.237622","0.997274","21.16441","0","26","1.866759","160.838","23.64404","4.573389","0.0002964406","1.005347","0.685955","0","N_T_2","N","T",2,"Actin"
"1.254401","7326.954","476.4161","475.2733","0.9998324","0.9998184","29.08","26.96",NA,NA,NA,NA,NA,NA,"6356.607","3463.051","14.10516",NA,"-18.14522","3463.051","19137.02","29.25989","l4","1.251618","0.996742","15.50178","0","26","1.889374","151.7988","16.70066","3.843652","0.0002118503","1.136131","0.2726925","0","S_T_2","S","T",2,"Actin"
"1.167212","171.3686","326.1962","325.0533","0.9998804","0.9998704","38.7","36.76",NA,NA,NA,NA,NA,NA,"4843.326","3343.041","16.47082",NA,"-26.30796","3343.041","11122.93","38.81587","l4","1.186279","0.9936566","9.365728","0","36","1.929809","280.5252","123.8757","10.65611","9.50742e-08","1.047681","0.3760509","0","NT_C_2","NT","C",2,"Actin"
"1.256601","8984.887","484.5755","483.4326","0.9998286","0.9998143","28.88","26.72",NA,NA,NA,NA,NA,NA,"6782.343","3653.717","15.16436",NA,"-17.80942","3653.717","20725.31","29.05882","l4","1.254788","0.9972843","16.21605","0","26","1.841241","247.1936","654.8988","24.06935","0.0005033889","1.032206","0.6424797","0","H_C_3","H","C",3,"Actin"
"1.268294","10523.53","490.8983","489.7554","0.9998474","0.9998347","28.44","26.32",NA,NA,NA,NA,NA,NA,"7498.576","3949.18","14.39561",NA,"-17.76932","3949.18","23231.18","28.62049","l4","1.259636","0.9953024","17.64791","0","26","1.85729","201.0848","111.1704","9.916806","0.0005809728","1.102196","0.4439523","0","N_C_3","N","C",3,"Actin"
"1.248525","7421.312","476.928","475.7851","0.9998394","0.999826","27.96","25.82",NA,NA,NA,NA,NA,NA,"6376.832","3530.802","20.68362",NA,"-17.35811","3530.802","19107.93","28.14743","l4","1.248137","0.9970809","21.53995","0","25","1.879605","158.3851","27.25839","4.897691","0.0004852537","1.009318","0.691697","0","S_C_3","S","C",3,"Actin"
"1.257911","7495.345","477.325","476.1822","0.9998298","0.9998156","30.28","28.15",NA,NA,NA,NA,NA,NA,"6594.112","3536.168","10.32789",NA,"-18.78908","3536.168","20014.66","30.45547","l4","1.252703","0.995484","12.04726","0","28","1.83431","216.2754","111.4813","9.976818","0.0002225795","1.11608","0.3693243","0","H_T_3","H","T",3,"Actin"
"1.254291","7028.217","474.7511","473.6082","0.9998581","0.9998463","29.19","27.02",NA,NA,NA,NA,NA,NA,"6684.749","3598.654","14.66757",NA,"-17.83314","3598.654","20400.77","29.37731","l4","1.252476","0.9965847","15.76988","0","27","1.831566","220.4321","172.0457","12.36647","0.0004605842","1.133499","0.2950911","0","N_T_3","N","T",3,"Actin"
"1.24393","3763.373","449.7664","448.6235","0.9998924","0.9998834","31.16","28.97",NA,NA,NA,NA,NA,NA,"6290.058","3447.424","11.2827",NA,"-18.87615","3447.424","18793.97","31.33501","l4","1.246404","0.9966828","10.97084","0","28","1.886902","170.8699","22.0262","4.434665","5.935526e-05","1.129297","0.2868418","0","S_T_3","S","T",3,"Actin"
"1.174608","299.7651","348.5635","347.4206","0.9996123","0.99958","40","37.97",NA,NA,NA,NA,NA,NA,"5131.369","3412.029","11.38681",NA,"-25.725","3412.029","12366.73","40.15142","l4","1.207595","0.9981765","4.029801","0","37","1.880832","313.1678","243.3395","14.95357","1.273154e-07","1.012779","0.7347073","0","NT_C_3","NT","C",3,"Actin"
"1.261962","10398.45","490.42","489.2771","0.9998158","0.9998004","27.79","25.65",NA,NA,NA,NA,NA,NA,"6737.255","3606.115","17.24417",NA,"-17.27551","3606.115","20737.46","27.97293","l4","1.257424","0.9972017","19.4703","0","25","1.838013","237.1871","637.4286","23.68411","0.001013686","1.046079","0.6103399","0","H_C_4","H","C",4,"Actin"
"1.268692","9363.979","486.2285","485.0857","0.9998536","0.9998414","27.86","25.73",NA,NA,NA,NA,NA,NA,"7066.584","3725.887","15.48302",NA,"-17.40082","3725.887","21987.64","28.04092","l4","1.263297","0.9972505","17.79324","0","25","1.877795","160.7963","30.01838","5.139667","0.0006151804","1.042846","0.6305805","0","N_C_4","N","C",4,"Actin"
