"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"H_C_1","1.21244","83012.81","573.5135","572.3707","0.9988644","0.9987698","28.56","25.58",NA,NA,NA,NA,NA,NA,"7392.271","3738.086","53.54893",NA,"-12.76687","3738.086","24880.26","28.91741","l4","1.259294","0.9945625","19.51457","0","25","1.867939","253.2993","1214.306","32.68928","0.0006810127","1.488414","0.8497426","0","H_C_1"
"N_C_1","1.212836","76968.71","570.4897","569.3468","0.9989203","0.9988303","28.96","26.06",NA,NA,NA,NA,NA,NA,"7548.823","3871.162","49.43087",NA,"-13.29198","3871.162","24920.69","29.28885","l4","1.2576","0.9938006","18.79429","0","26","1.879361","199.0906","102.9624","9.543696","0.0004331913","1.427435","0.6783673","0","N_C_1"
"S_C_1","1.211658","72282.5","567.977","566.8342","0.9988583","0.9987632","29.48","26.54",NA,NA,NA,NA,NA,NA,"7229.719","3683.535","44.28027",NA,"-13.35618","3683.535","23976.22","29.81101","l4","1.256205","0.9938209","16.39358","0","26","1.897736","173.5314","38.52535","5.837818","0.0002480502","1.495451","0.8717155","0","S_C_1"
"H_T_1","1.211795","57662.74","558.9382","557.7953","0.9989315","0.9988424","29.81","26.95",NA,NA,NA,NA,NA,NA,"6894.411","3567.708","38.91218",NA,"-13.86839","3567.708","22445.56","30.11979","l4","1.255466","0.9944635","14.67025","0","26","1.921492","141.802","11.36975","3.171413","0.000133117","1.440381","0.7291876","0","H_T_1"
"N_T_1","1.217566","50214.19","553.4056","552.2628","0.9989851","0.9989006","30.99","28.23",NA,NA,NA,NA,NA,NA,"6989.119","3603.314","26.9753",NA,"-14.89942","3603.314","22563.15","31.2746","l4","1.254878","0.9923737","11.41525","0","28","1.871712","197.7637","57.55413","7.168515","0.000117718","1.405508","0.6013492","0","N_T_1"
"S_T_1","1.199596","52471.25","555.1643","554.0215","0.9989163","0.998826","28.96","26.05",NA,NA,NA,NA,NA,NA,"6545.352","3511.311","57.15671",NA,"-13.23008","3511.311","20878.05","29.29378","l4","1.2438","0.9931762","21.85693","0","26","1.869959","195.5607","89.89098","8.91734","0.0004064861","1.404591","0.6367381","0","S_T_1"
"NT_C_1","1.114124","80.97704","296.2101","295.0673","0.9994496","0.9994038","40","38.9",NA,NA,NA,NA,NA,NA,"4692.867","3544.286","70.10155",NA,"-24.44012","3544.286","9553.201","41.26519","l4","1.098986","0.9624593","121.4186","0","38","1.809795","256.2646","43.7127","6.345211","2.034727e-07",NA,NA,NA,"NT_C_1"
"H_C_2","1.216399","73142.92","568.4503","567.3075","0.9988938","0.9988016","30.06","27.18",NA,NA,NA,NA,NA,NA,"7546.245","3813.776","36.75899",NA,"-13.87164","3813.776","24975.33","30.37368","l4","1.256801","0.9931891","14.87662","0","27","1.843079","271.2729","1130.881","31.70533","0.0003678719","1.411114","0.6368953","0","H_C_2"
"N_C_2","1.214302","115470.8","586.7144","585.5716","0.9988534","0.9987579","27.24","24.2",NA,NA,NA,NA,NA,NA,"8141.387","4063.791","74.12895",NA,"-11.95068","4063.791","27988.73","27.62655","l4","1.260407","0.9923394","29.22097","0","24","1.892389","197.6751","181.0516","12.58651","0.001297792","1.535971","0.9291877","0","N_C_2"
"S_C_2","1.225375","110297.6","584.881","583.7382","0.998863","0.9987683","28.11","25.15",NA,NA,NA,NA,NA,NA,"8025.78","3887.959","48.36422",NA,"-12.64416","3887.959","27851.97","28.46785","l4","1.271595","0.9935982","18.50278","0","25","1.886036","204.4011","171.7431","12.29365","0.0007865707","1.562833","0.9381025","0","S_C_2"
"H_T_2","1.224881","81570.09","572.8122","571.6694","0.9989073","0.9988163","29.8","26.94",NA,NA,NA,NA,NA,NA,"7706.976","3802.554","32.63165",NA,"-13.86737","3802.554","25999.27","30.11367","l4","1.269279","0.9949466","12.17658","0","26","1.929063","169.5413","33.04437","5.406621","0.0001420997","1.464526","0.7642425","0","H_T_2"
"N_T_2","1.227853","52710.33","555.3462","554.2033","0.9990034","0.9989203","31.87","29.18",NA,NA,NA,NA,NA,NA,"7437.623","3751.278","18.62685",NA,"-15.71936","3751.278","24207.49","32.13219","l4","1.262863","0.9934901","8.143518","0","29","1.865374","201.4771","51.57026","6.799662","7.865003e-05","1.4287","0.6634224","0","N_T_2"
"S_T_2","1.209896","73612.67","568.7064","567.5636","0.9988834","0.9987904","28.46","25.5",NA,NA,NA,NA,NA,NA,"7103.213","3642.182","55.12862",NA,"-12.8","3642.182","23623.69","28.81196","l4","1.256","0.9936098","20.42228","0","25","1.891849","160.6093","29.79467","5.12048","0.0004979904","1.497984","0.8664188","0","S_T_2"
"NT_C_2","1.137855","169.0803","325.6585","324.5156","0.9996241","0.9995928","39.88","37.96",NA,NA,NA,NA,NA,NA,"4855.431","3596.535","36.07242",NA,"-27.5613","3596.535","10113.57","39.98085","l4","1.152136","0.9790903","23.20957","0","37","1.883223","241.6768","35.24307","5.690828","8.530858e-08",NA,NA,NA,"NT_C_2"
"H_C_3","1.233234","103688","582.4092","581.2663","0.9989118","0.9988211","29.81","26.94",NA,NA,NA,NA,NA,NA,"8449.023","4028.63","29.78783",NA,"-13.82774","4028.63","29127.12","30.11997","l4","1.276927","0.9954098","11.31765","0","26","1.866371","268.6376","1494.052","36.35466","0.0003689343","1.473933","0.7762085","0","H_C_3"
"N_C_3","1.22508","151624.6","597.6101","596.4672","0.9988532","0.9987576","28.43","25.48",NA,NA,NA,NA,NA,NA,"9511.955","4618.578","53.93163",NA,"-12.83806","4618.578","32859.89","28.77802","l4","1.270812","0.993437","20.25644","0","25","1.913176","212.3431","235.9642","14.41001","0.0005447308","1.525166","0.8875787","0","N_C_3"
"S_C_3","1.221532","88728.52","576.177","575.0341","0.9989514","0.998864","27.96","25.06",NA,NA,NA,NA,NA,NA,"7674.774","3831.537","50.96053",NA,"-12.83894","3831.537","26011.19","28.30331","l4","1.266805","0.9935236","19.9213","0","25","1.871772","192.0436","104.7631","9.601643","0.0009235226","1.435795","0.6626431","0","S_C_3"
"H_T_3","1.205173","70587.25","567.0277","565.8849","0.9988444","0.9987481","29.05","26.11",NA,NA,NA,NA,NA,NA,"7155.922","3738.997","54.76024",NA,"-13.14685","3738.997","23351.26","29.39053","l4","1.249871","0.9931367","20.73187","0","26","1.880331","199.6129","105.0516","9.640033","0.0003851145","1.40771","0.6372016","0","H_T_3"
"N_T_3","1.221519","64966.15","563.7084","562.5655","0.9989265","0.9988371","30.47","27.66",NA,NA,NA,NA,NA,NA,"7340.038","3705.027","28.97582",NA,"-14.44707","3705.027","24201.42","30.75943","l4","1.262786","0.9942218","11.23966","0","27","1.919017","205.0055","97.16461","9.293468","9.491235e-05","1.491315","0.8393334","0","N_T_3"
"S_T_3","1.201778","69075.85","566.1619","565.0191","0.9988224","0.9987243","28.79","25.81",NA,NA,NA,NA,NA,NA,"6979.167","3664.674","60.74887",NA,"-12.85257","3664.674","22759.12","29.14177","l4","1.249228","0.9951952","21.69611","0","25","1.925248","179.7485","64.06497","7.508473","0.0002608002","1.444121","0.7823083","0","S_T_3"
"NT_C_3","1.210372","90.77319","300.7781","299.6352","0.9995469","0.9995092","40","40",NA,NA,NA,NA,NA,NA,"5993.036","3650.362","2.889952",NA,"-24.45023","3650.362","39190.08","44.58113","l4","1.057227","0.8703989","535.2318","0","40","1.838156","312.2314","127.2138","10.84771","1.150816e-07",NA,NA,NA,"NT_C_3"
"H_C_4","1.234869","115850.6","586.8458","585.7029","0.9988784","0.998785","29.05","26.14",NA,NA,NA,NA,NA,NA,"8398.689","3953.124","33.82536",NA,"-13.29486","3953.124","29387.42","29.37692","l4","1.277803","0.9941997","13.45541","0","26","1.83483","271.5272","1669.681","38.43209","0.0009080671","1.443586","0.6735398","0","H_C_4"
"N_C_4","1.224167","123993.2","589.5628","588.4199","0.9988656","0.9987711","28.24","25.31",NA,NA,NA,NA,NA,NA,"8661.704","4255.388","51.80308",NA,"-12.8708","4255.388","29721.15","28.58091","l4","1.267293","0.992064","20.58935","0","25","1.901035","209.3409","209.2632","13.57025","0.0006312148","1.542344","0.9139683","0","N_C_4"
"S_C_4","1.22758","74612.25","569.2459","568.1031","0.9990406","0.9989607","28.62","25.88",NA,NA,NA,NA,NA,NA,"7654.602","3870.002","37.95929",NA,"-13.88299","3870.002","25351.64","28.92119","l4","1.268563","0.9954705","15.83476","0","25","1.943533","211.7355","230.2985","14.23596","0.0002300912","1.461073","0.7483997","0","S_C_4"
"H_T_4","1.209067","68027.66","565.5503","564.4074","0.9988465","0.9987503","30.2","27.26",NA,NA,NA,NA,NA,NA,"7278.72","3733.655","41.15867",NA,"-13.68427","3733.655","23927.12","30.52214","l4","1.250358","0.992187","16.24771","0","27","1.868274","188.8146","53.34292","6.885923","0.0002345939","1.519693","0.9253603","0","H_T_4"
"N_T_4","1.220583","56531.63","558.1457","557.0029","0.9989424","0.9988542","31.17","28.43",NA,NA,NA,NA,NA,NA,"7281.602","3737.452","25.18369",NA,"-15.12849","3737.452","23585.24","31.44752","l4","1.256964","0.9922466","10.63868","0","28","1.891258","204.0147","71.95035","8.015072","8.280809e-05","1.06412","0.5325133","0","N_T_4"
"S_T_4","1.212716","86250.41","575.0439","573.9011","0.9988486","0.9987527","28.65","25.71",NA,NA,NA,NA,NA,NA,"7575.94","3857.498","53.20935",NA,"-12.97198","3857.498","25263.84","28.99451","l4","1.260028","0.9950514","19.19946","0","25","1.913801","176.4541","56.15515","7.029689","0.0003574292","1.474564","0.8175524","0","S_T_4"
"NT_C_4","1.138962","87.64405","299.3749","298.232","0.9987867","0.9986856","40","40",NA,NA,NA,NA,NA,NA,"5240.893","3828.453","28.77617",NA,"-24.25576","3828.453","61402.19","46.5588","l4","1.034087","0.8606258","1202.625","0","40","1.854697","299.6038","92.7753","9.263755","4.885938e-08",NA,NA,NA,"NT_C_4"
"H_C_5","1.223269","114082.1","586.2305","585.0876","0.9988675","0.9987732","28.15","25.18",NA,NA,NA,NA,NA,NA,"8236.916","4005.77","51.51806",NA,"-12.60044","4005.77","28482.7","28.51099","l4","1.26631","0.9930041","20.97097","0","25","1.826489","262.2315","1735.787","39.08315","0.001705974","1.547669","0.9346368","0","H_C_5"
"N_C_5","1.216547","111307.9","585.2457","584.1029","0.9988773","0.9987838","28.51","25.59",NA,NA,NA,NA,NA,NA,"8591.688","4337.622","56.96763",NA,"-13.00604","4337.622","28803.54","28.84747","l4","1.26267","0.994948","21.1496","0","25","1.905588","177.5943","58.77571","7.191844","0.0004887698","1.493726","0.8559209","0","N_C_5"
"S_C_5","1.229773","97082.82","579.7763","578.6334","0.9989066","0.9988154","29.17","26.3",NA,NA,NA,NA,NA,NA,"8027.307","3898.06","34.84798",NA,"-13.55617","3898.06","27509.84","29.48887","l4","1.269628","0.9916367","14.77309","0","26","1.875474","192.2555","79.16024","8.368176","0.0004451057","1.55096","0.9209352","0","S_C_5"
"H_T_5","1.208622","83286.5","573.6452","572.5023","0.9988166","0.998718","28.72","25.74",NA,NA,NA,NA,NA,NA,"7421.059","3806.167","56.53376",NA,"-12.85064","3806.167","24654.61","29.06634","l4","1.256134","0.9953493","20.24393","0","25","1.894436","162.0379","31.54685","5.268892","0.0004369504","1.461419","0.8031535","0","H_T_5"
"N_T_5","1.222815","87279.17","575.5182","574.3753","0.9988556","0.9987602","29.16","26.27",NA,NA,NA,NA,NA,NA,"7593.048","3755.962","38.49863",NA,"-13.42219","3755.962","25677.41","29.48651","l4","1.264344","0.9920876","15.69952","0","26","1.889782","204.8447","128.4675","10.66041","0.0003484093","1.545046","0.9242485","0","N_T_5"
"S_T_5","1.223403","74269.33","569.0617","567.9188","0.998903","0.9988116","30.74","27.93",NA,NA,NA,NA,NA,NA,"7807.177","3907.069","27.96884",NA,"-14.56151","3907.069","25877.91","31.03137","l4","1.264845","0.9952685","10.79855","0","27","1.92935","204.3956","94.99449","9.189099","7.538194e-05","1.457715","0.7713874","0","S_T_5"
"H_C_6","1.242622","76304.6","570.1431","569.0002","0.9990389","0.9989588","31.85","29.2",NA,NA,NA,NA,NA,NA,"8742.719","4237.387","15.37958",NA,"-15.97031","4237.387","29166.89","32.09854","l4","1.273851","0.9939417","7.391905","0","29","1.837339","307.9392","2026.474","42.62439","0.0001455602","1.437636","0.6659893","0","H_C_6"
"N_C_6","1.214136","150388","597.2825","596.1396","0.9988675","0.9987731","26.57","23.55",NA,NA,NA,NA,NA,NA,"9215.197","4641.102","95.50127",NA,"-11.73188","4641.102","31613.27","26.96478","l4","1.26395","0.9954251","35.32984","0","23","1.920454","185.1473","148.999","11.38263","0.001600424","1.490278","0.8571799","0","N_C_6"
"S_C_6","1.223493","85455.7","574.6737","573.5308","0.9989041","0.9988128","28.74","25.88",NA,NA,NA,NA,NA,NA,"7589.779","3784.912","41.03049",NA,"-13.38541","3784.912","25560.2","29.06257","l4","1.268298","0.9953286","15.69336","0","25","1.903635","181.2854","68.12702","7.742853","0.0003762524","1.461915","0.7581031","0","S_C_6"
"H_T_6","1.226267","108060","584.0612","582.9183","0.9988472","0.9987512","28.7","25.79",NA,NA,NA,NA,NA,NA,"8136.386","3965.464","42.24964",NA,"-13.135","3965.464","27892.59","29.03198","l4","1.272811","0.9957816","15.57975","0","25","1.920374","175.133","53.26475","6.846384","0.0003530749","1.482645","0.8134981","0","H_T_6"
"N_T_6","1.221496","61478.47","561.5012","560.3584","0.9989393","0.9988509","30.54","27.77",NA,NA,NA,NA,NA,NA,"7274.498","3710.167","28.10646",NA,"-14.69992","3710.167","23767.11","30.8202","l4","1.262477","0.9952635","10.97996","0","27","1.91401","196.5936","71.15465","7.952897","9.308478e-05","1.473644","0.809923","0","N_T_6"
