"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","exp.eff","LRE.eff","sli.rsq","sli.init","sli.base","LRE.rsq","LRE.base","exp.point","exp.AIC","exp.resVar","exp.RMSE","exp.init","Names"
"S_T_4","1.298105","420.8483","362.1344","360.9916","0.496743","0.4548049","24.46","22.97",NA,NA,NA,NA,NA,NA,"19.53629","11.67563","0.04876621",NA,"-21.80114","11.67563","53.32037","24.55884","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_T_4"
"**NT_C_4**","0.6070771","148.1417","320.3703","319.2274","0.1127461","0.03880828","82","2",NA,NA,NA,NA,NA,NA,"41.52644","81.10156","112.6774",NA,"2.720216","17.4061","81.10156","1.667162","l4",NA,"0.9389309",NA,NA,NA,NA,NA,NA,"2","-Inf","0","0","4.260164","**NT_C_4**"
"H_C_5","1.251383","96.0044","303.0193","301.8764","0.5806536","0.5457081","28.46","27.61",NA,NA,NA,NA,NA,NA,"18.54618","13.69569","0.0379588",NA,"-44.37355","13.69569","37.95906","28.48655","l4",NA,"1.009496",NA,NA,NA,NA,NA,NA,"27","204.818","96.49216","9.261253","11.77087","H_C_5"
"N_C_5","1.301764","134.6965","316.5645","315.4216","0.5221222","0.482299","28.39","27.73",NA,NA,NA,NA,NA,NA,"18.69609","13.59155","0.01246737",NA,"-56.78176","13.59155","38.8538","28.40892","l4",NA,"1.010947",NA,NA,NA,NA,NA,NA,"27","213.3048","132.1302","10.83739","8.400483","N_C_5"
"S_C_5","1.330101","511.2366","369.9168","368.774","0.5377097","0.4991855","22.63","20.95",NA,NA,NA,NA,NA,NA,"19.63179","10.48009","0.04983957",NA,"-17.86153","10.48009","60.16754","22.77036","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_C_5"
"H_T_5","1.269083","301.6596","348.8155","347.6726","0.5328337","0.4939032","26.83","25.82",NA,NA,NA,NA,NA,NA,"25.10466","17.57693","0.05341275",NA,"-35.14326","17.57693","55.74311","26.87215","l4",NA,"1.003772",NA,NA,NA,NA,NA,NA,"25","201.0079","149.9456","11.48704","41.45751","H_T_5"
"N_T_5","1.337229","309.5785","349.852","348.7091","0.5294365","0.4902229","26.83","25.85",NA,NA,NA,NA,NA,NA,"21.55498","14.00825","0.01177962",NA,"-36.41278","14.00825","52.34457","26.86771","l4",NA,"1.003897",NA,NA,NA,NA,NA,NA,"25","195.4716","120.1597","10.28302","39.35075","N_T_5"
"S_T_5","1.297854","300.2251","348.6248","347.482","0.5194668","0.4794224","26.62","25.54",NA,NA,NA,NA,NA,NA,"21.6408","14.34223","0.02776422",NA,"-32.42619","14.34223","51.42468","26.67201","l4",NA,"1.003252",NA,NA,NA,NA,NA,NA,"25","188.4002","90.55549","8.92686","41.68498","S_T_5"
"H_C_6","1.250205","102.3682","305.5866","304.4437","0.5475314","0.5098257","28.35","27.74",NA,NA,NA,NA,NA,NA,"20.43808","15.74632","0.04170387",NA,"-61.41515","15.74632","38.84732","28.36439","l4",NA,"1.017902",NA,NA,NA,NA,NA,NA,"27","203.7652","92.80199","9.082437","3.29549","H_C_6"
"N_C_6","1.450938","330.0362","352.4116","351.2688","0.4885891","0.4459715","26.71","26.09",NA,NA,NA,NA,NA,NA,"20.36047","13.07785","0.001234163",NA,"-57.11089","13.07785","48.89652","26.7214","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_C_6"
