"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"N_C_7","1.254225","5484.301","464.8293","463.6865","0.9998963","0.9998877","29.65","27.48",NA,NA,NA,NA,NA,NA,"7045.981","3792.388","13.95038",NA,"-18.14443","3792.388","21434.53","29.8264","l4","1.257842","0.9958682","13.10552","0","27","1.890711","198.0089","74.98387","8.164088","0.0001587932","1.063749","0.5443633","0","N_C_7"
"S_C_7","1.206435","2275.125","429.6351","428.4923","0.999914","0.9999068","31.58","29.3",NA,NA,NA,NA,NA,NA,"6255.556","3714.281","25.59766",NA,"-18.3752","3714.281","17454.41","31.763","l4","1.222251","0.9956563","17.67616","0","29","1.86648","198.5105","46.55569","6.460618","5.464621e-05","1.042361","0.5331855","0","S_C_7"
"H_T_7","1.24281","6001.962","468.4372","467.2943","0.9998788","0.9998687","29.48","27.26",NA,NA,NA,NA,NA,NA,"6904.86","3784.57","18.43665",NA,"-17.62715","3784.57","20814.77","29.67231","l4","1.24708","0.9944771","17.03454","0","27","1.874362","207.3499","105.9783","9.705818","0.0002176075","1.088784","0.4390807","0","H_T_7"
"N_T_7","1.225016","4236.17","454.5001","453.3573","0.9998819","0.9998721","30.59","28.27",NA,NA,NA,NA,NA,NA,"6362.21","3567.8","20.50423",NA,"-17.52347","3567.8","18850.86","30.79157","l4","1.235462","0.9949904","16.30896","0","28","1.860521","213.0702","99.42353","9.421837","0.000125287","1.075228","0.4597372","0","N_T_7"
"S_T_7","1.22972","4064.415","452.8445","451.7017","0.9998873","0.9998779","29.51","27.28",NA,NA,NA,NA,NA,NA,"6143.213","3480.855","21.80113",NA,"-17.56669","3480.855","18040.36","29.70683","l4","1.238295","0.9951726","18.30225","0","27","1.867301","184.4664","45.40839","6.353189","0.0002020251","1.069157","0.4832492","0","S_T_7"
"H_C_8","1.228564","4179.042","453.957","452.8142","0.9998798","0.9998698","30.45","28.21",NA,NA,NA,NA,NA,NA,"6289.035","3552.526","18.90933",NA,"-18.00714","3552.526","18421.44","30.64216","l4","1.236356","0.9946554","16.02751","0","28","1.820977","273.4016","857.5517","27.67076","0.0002267937","1.075906","0.4546403","0","H_C_8"
"N_C_8","1.24046","2510.322","433.5702","432.4273","0.9999235","0.9999171","32.2","29.98",NA,NA,NA,NA,NA,NA,"6476.661","3545.359","10.13301",NA,"-19.23007","3545.359","19325.78","32.3748","l4","1.249176","0.9957843","8.406973","0","29","1.881738","254.7572","323.8211","17.03885","3.3486e-05","1.124158","0.2921604","0","N_C_8"
"S_C_8","1.233566","2595.519","434.9052","433.7623","0.9999177","0.9999108","31.65","29.44",NA,NA,NA,NA,NA,NA,"6309.502","3526.576","13.06697",NA,"-18.93293","3526.576","18509.21","31.83017","l4","1.243515","0.9959622","10.45464","0","29","1.872225","230.2921","139.2914","11.17506","5.077197e-05","1.050778","0.5552897","0","S_C_8"
"H_T_8","1.218502","3214.025","443.4547","442.3118","0.9998907","0.9998816","30.66","28.38",NA,NA,NA,NA,NA,NA,"6001.036","3454.7","22.00264",NA,"-17.84893","3454.7","17291.81","30.84965","l4","1.231144","0.9959438","16.63594","0","28","1.86842","201.0381","64.69406","7.600168","9.563298e-05","1.048323","0.540327","0","H_T_8"
"N_T_8","1.223728","2663.154","435.9342","434.7913","0.9999061","0.9998982","32.57","30.25",NA,NA,NA,NA,NA,NA,"6354.765","3548.126","14.14587",NA,"-18.57024","3548.126","18703.49","32.76228","l4","1.2353","0.9947833","10.72454","0","30","1.844054","229.1784","103.5545","9.653965","4.719748e-05","1.076019","0.4543041","0","N_T_8"
"S_T_8","1.221201","2835.018","438.4357","437.2928","0.9999027","0.9998946","30.89","28.62",NA,NA,NA,NA,NA,NA,"5982.674","3419.811","19.63567",NA,"-18.01552","3419.811","17343.43","31.08604","l4","1.234922","0.9967296","14.49563","0","28","1.891403","186.8518","38.97876","5.899361","5.995998e-05","1.017452","0.6396272","0","S_T_8"
