"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"H_T_3","1.2437","2611.466","435.1502","434.0073","0.9998711","0.9998604","34.99","32.99",NA,NA,NA,NA,NA,NA,"6724.517","3843.016","5.046471",NA,"-23.16263","3843.016","19019.26","35.12252","l4","1.251369","0.9935032","4.252027","0","32","1.916616","206.7544","32.18942","5.401079","2.701166e-06","1.099812","0.382617","0","H_T_3"
"*N_T_3*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*N_T_3*"
"S_T_3","1.229408","3792.811","450.078","448.9352","0.9998094","0.9997936","34.11","32.01",NA,NA,NA,NA,NA,NA,"6253.363","3618.559","8.41284",NA,"-21.52104","3618.559","17575.67","34.25369","l4","1.242532","0.9934447","6.150393","0","32","1.878136","240.8144","93.31802","9.196165","8.322791e-06","1.090157","0.3944499","0","S_T_3"
"NT_C_3","1.283725","56.42588","281.7606","280.6178","0.9999303","0.9999245","40","39.92",NA,NA,NA,NA,NA,NA,"8169.228","3747.67","0.3819233",NA,"-24.3186","3747.67","26883.41","42.36007","l4","1.159193","0.9360708","20.74661","0","39","1.830946","274.0689","58.23265","7.331659","2.877754e-07",NA,NA,NA,"NT_C_3"
"H_C_4","1.241385","3331.918","444.8957","443.7528","0.9998395","0.9998261","34.93","32.88",NA,NA,NA,NA,NA,NA,"6727.97","3818.274","5.498434",NA,"-22.57514","3818.274","19152.38","35.06369","l4","1.25137","0.9948586","4.334841","0","32","1.89041","290.0765","435.0469","19.85601","4.487372e-06","1.117701","0.3026529","0","H_C_4"
"N_C_4","1.24253","3093.237","441.9224","440.7796","0.9999078","0.9999001","31.86","29.82",NA,NA,NA,NA,NA,NA,"6736.761","3845.169","10.38047",NA,"-20.71175","3845.169","19244.99","32.00499","l4","1.253836","0.995078","8.117179","0","29","1.930086","172.6533","19.08727","4.136753","1.732319e-05","1.125611","0.2745591","0","N_C_4"
"S_C_4","1.250492","3236.192","443.7296","442.5868","0.999889","0.9998797","33.24","31.21",NA,NA,NA,NA,NA,NA,"6696.391","3742.478","6.250989",NA,"-21.66852","3742.478","19407.96","33.38441","l4","1.256667","0.9925156","5.41997","0","31","1.885748","215.676","52.62186","6.894159","1.382273e-05","1.074436","0.4957223","0","S_C_4"
"H_T_4","1.228548","4335.414","455.4264","454.2836","0.9998491","0.9998365","32.09","30.01",NA,NA,NA,NA,NA,NA,"6537.315","3819.236","13.57501",NA,"-20.40149","3819.236","18318.92","32.24678","l4","1.242032","0.9927076","10.05349","0","30","1.873916","220.3319","77.10853","8.330527","3.209262e-05","1.082239","0.4204359","0","H_T_4"
"N_T_4","1.247673","6153.842","469.4368","468.2939","0.9998348","0.999821","32.26","30.13",NA,NA,NA,NA,NA,NA,"6949.431","3824.892","8.839633",NA,"-20.12055","3824.892","20550.73","32.41511","l4","1.257174","0.9925249","7.218797","0","30","1.881019","214.4909","63.46647","7.557766","3.076244e-05","1.092292","0.4361506","0","N_T_4"
"S_T_4","1.242678","3991.064","452.116","450.9732","0.9998874","0.9998781","32.08","29.94",NA,NA,NA,NA,NA,NA,"6786.516","3761.876","10.15192",NA,"-19.79609","3761.876","19950.52","32.24902","l4","1.254538","0.9949382","7.803361","0","29","1.913876","178.7389","23.54395","4.594385","2.130391e-05","1.119354","0.317516","0","S_T_4"
"NT_C_4","1.088667","74.03486","292.625","291.4821","0.997791","0.9976069","40","40",NA,NA,NA,NA,NA,NA,"4859.068","3918.38","162.4637",NA,"-21.56346","3918.38","97626983","68.34087","l4","1.022978","0.8749416","1796.705","0","40","1.745634","281.3424","58.77082","7.373128","3.457851e-07",NA,NA,NA,"NT_C_4"
"H_C_5","1.249561","3276.723","444.2275","443.0846","0.9999229","0.9999165","30.87","28.82",NA,NA,NA,NA,NA,NA,"7008.089","3928.098","11.40375",NA,"-19.96719","3928.098","20429.16","31.02476","l4","1.257738","0.9953579","9.687222","0","28","1.883405","266.8374","678.3374","24.61013","6.968236e-05","1.132951","0.2624716","0","H_C_5"
"N_C_5","1.248481","3553.092","447.4665","446.3236","0.9999228","0.9999164","31.06","28.96",NA,NA,NA,NA,NA,NA,"7271.347","4026.447","11.75975",NA,"-19.57487","4026.447","21432.55","31.22399","l4","1.257148","0.9948646","9.86692","0","28","1.922792","167.7326","19.69147","4.19305","3.839928e-05","1.118161","0.334888","0","N_C_5"
"S_C_5","1.256237","3412.127","445.8472","444.7043","0.9999131","0.9999059","31.8","29.79",NA,NA,NA,NA,NA,NA,"7002.634","3889.895","7.832816",NA,"-20.93854","3889.895","20464.23","31.94794","l4","1.264019","0.9953794","6.673873","0","29","1.892112","212.7633","76.10578","8.260313","3.321867e-05","1.141088","0.2421873","0","S_C_5"
"H_T_5","1.24109","3096.748","441.9678","440.825","0.9998679","0.9998569","34.78","32.7",NA,NA,NA,NA,NA,NA,"6982.426","3939.302","5.979099",NA,"-22.18257","3939.302","20034.55","34.91844","l4","1.252627","0.9959366","4.504824","0","32","1.882731","222.638","52.8787","6.922523","5.950888e-06","1.148753","0.1774151","0","H_T_5"
"N_T_5","1.239234","4995.155","461.0925","459.9496","0.9998359","0.9998223","33.04","30.9",NA,NA,NA,NA,NA,NA,"6778.977","3798.219","8.968716",NA,"-20.4994","3798.219","19728.56","33.1954","l4","1.252816","0.9948306","6.537323","0","30","1.895109","189.3016","27.40893","4.966693","1.488114e-05","1.11878","0.3071182","0","N_T_5"
"S_T_5","1.241452","2874.66","438.9911","437.8482","0.9998483","0.9998357","35.31","33.25",NA,NA,NA,NA,NA,NA,"6678.356","3777.622","5.029172",NA,"-22.70929","3777.622","19072.59","35.44581","l4","1.249126","0.9931095","4.148322","0","33","1.864785","222.24","42.50218","6.215975","5.366571e-06","1.062997","0.519641","0","S_T_5"
"H_C_6","1.25164","1523.684","413.599","412.4561","0.9997361","0.9997141","39.04","37.01",NA,NA,NA,NA,NA,NA,"7421.038","4094.834","1.831246",NA,"-25.42569","4094.834","21425.86","39.16283","l4","1.269616","0.9976975","1.091195","0","37","1.83688","371.3272","1171.845","32.8151","1.020472e-06","1.116337","0.3199512","0","H_C_6"
