,sig.eff,sig.resVar,sig.AICc,sig.AIC,sig.Rsq,sig.Rsq.ad,sig.cpD1,sig.cpD2,sig.cpE,sig.cpR,sig.cpT,sig.Cy0,sig.cpCQ,sig.cpMR,sig.fluo,sig.init1,sig.init2,sig.cf,sig.b,sig.c,sig.d,sig.e,sig.model,sli.eff,sli.rsq,sli.init,sli.base,exp.point,exp.eff,exp.AIC,exp.resVar,exp.RMSE,exp.init,LRE.eff,LRE.rsq,LRE.base,Names
H_T_7,1.227542,9540.496,486.9755,485.8327,0.9996671,0.9996393,33.96,31.58,NA,NA,NA,NA,NA,NA,6893.269,3748.388,10.63298,NA,-18.944,3748.388,20751.6,34.15173,l4,1.246295,0.9964438,6.615106,0,31,1.838869,286.6664,519.6445,21.66463,2.51E-05,1.033985,0.6014158,0,H_T_7
N_T_7,1.213747,11444.89,494.2555,493.1126,0.9995872,0.9995528,33.21,30.72,NA,NA,NA,NA,NA,NA,6537.558,3619.984,17.02134,NA,-17.73372,3619.984,19515.58,33.41737,l4,1.237027,0.9967327,9.530235,0,30,1.856349,234.4816,123.5779,10.54609,2.99E-05,1.007127,0.6656562,0,N_T_7
S_T_7,1.213191,8076.806,480.3136,479.1707,0.9996606,0.9996323,33.99,31.57,NA,NA,NA,NA,NA,NA,6578.229,3695.345,14.73901,NA,-18.62278,3695.345,19299.45,34.18956,l4,1.233987,0.9965866,8.663303,0,31,1.837031,247.3755,146.3052,11.4955,2.40E-05,1.023304,0.6109839,0,S_T_7
H_C_8,1.219783,12995.52,499.3379,498.1951,0.9995916,0.9995576,32.56,30.09,NA,NA,NA,NA,NA,NA,6560.817,3576.804,16.62317,NA,-17.44834,3576.804,19839.54,32.77787,l4,1.239921,0.9947469,10.26483,0,30,1.808333,297.6634,1015.291,30.2285,9.31E-05,1.386495,0.6956362,0,H_C_8
N_C_8,1.233169,956.2906,394.966,393.8231,0.9999219,0.9999154,36.58,34.43,NA,NA,NA,NA,NA,NA,6394.133,3603.786,4.697563,NA,-22.54046,3603.786,18331.18,36.7233,l4,1.242104,0.995982,3.718831,0,34,1.844631,305.6181,406.6567,19.25553,3.63E-06,1.045494,0.55887,0,N_C_8
S_C_8,1.219532,7711.06,478.46,477.3171,0.9996846,0.9996584,34.18,31.76,NA,NA,NA,NA,NA,NA,6619.083,3648.596,12.11454,NA,-18.74384,3648.596,19732.56,34.37842,l4,1.239066,0.9967402,7.377338,0,31,1.867558,251.5605,167.4517,12.29824,1.36E-05,1.008774,0.6639903,0,S_C_8
H_T_8,1.22247,9688.159,487.5899,486.447,0.9996563,0.9996277,33.73,31.32,NA,NA,NA,NA,NA,NA,6783.416,3719.693,12.56466,NA,-18.58658,3719.693,20299.96,33.92373,l4,1.240097,0.9949314,8.029918,0,31,1.853138,242.9922,127.0144,10.71087,2.27E-05,1.358061,0.5782209,0,H_T_8
N_T_8,1.236897,4734.855,458.9518,457.8089,0.9997971,0.9997801,35.12,32.83,NA,NA,NA,NA,NA,NA,6922.945,3728.131,6.441391,NA,-20.28964,3728.131,20769.3,35.29074,l4,1.249959,0.9965801,4.62716,0,32,1.868921,249.9118,124.0033,10.60085,7.37E-06,1.008228,0.682726,0,N_T_8
S_T_8,1.223905,535.4138,371.7651,370.6223,0.9999339,0.9999284,37.33,35.22,NA,NA,NA,NA,NA,NA,6188.002,3611.462,5.024279,NA,-23.49191,3611.462,17187.06,37.46456,l4,1.232954,0.9950076,3.935366,0,35,1.819313,295.6066,237.2384,14.72765,3.28E-06,1.05639,0.5124503,0,S_T_8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rep1,Rep2,Rep.Diff,Opti.Corr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H_C_1,32.05,25.31,6.74,37.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N_C_1,33.22,16.63,16.59,28.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S_C_1,30.59,16.09,14.5,28.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H_T_1,31.17,40,-8.83,52.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N_T_1,32.03,16.33,15.7,28.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S_T_1,32.74,15.79,16.95,27.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H_C_2,31.69,40,-8.31,52.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N_C_2,32.78,16.78,16,28.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S_C_2,29.52,16.53,12.99,28.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
