Filename: "C:\Documents and Settings\Steven\Desktop\Jake Data\OlyRNA5415.csv"

Wellset: "Default"

Step,Cycle,Dye,Temp.,C11,C12,D11,D12,E11,E12,F11,F12,G11,G12,H11,H12,
4, 40, SBGnew, 55.0, 0.0385,1.0018,0.7600,0.5239,0.3930,0.3670,0.0353,0.3543,0.2878,0.1883,0.3063,0.1618,
6, 1, SBGnew, 72.0, 0.0046,0.0004,0.0065,0.0110,0.0078,0.0076,0.0074,0.0038,0.0052,0.0044,0.0063,0.0057,
6, 2, SBGnew, 72.0, 0.0044,0.0007,0.0066,0.0112,0.0072,0.0080,0.0073,0.0039,0.0053,0.0045,0.0062,0.0060,
6, 3, SBGnew, 72.0, 0.0041,0.0011,0.0065,0.0110,0.0069,0.0083,0.0071,0.0040,0.0055,0.0043,0.0060,0.0061,
6, 4, SBGnew, 72.0, 0.0038,0.0017,0.0059,0.0108,0.0066,0.0087,0.0066,0.0042,0.0055,0.0040,0.0057,0.0063,
6, 5, SBGnew, 72.0, 0.0036,0.0018,0.0054,0.0101,0.0062,0.0078,0.0060,0.0044,0.0054,0.0039,0.0058,0.0063,
6, 6, SBGnew, 72.0, 0.0035,0.0022,0.0050,0.0097,0.0059,0.0076,0.0053,0.0041,0.0051,0.0040,0.0061,0.0060,
6, 7, SBGnew, 72.0, 0.0034,0.0020,0.0046,0.0092,0.0062,0.0077,0.0050,0.0041,0.0051,0.0039,0.0057,0.0053,
6, 8, SBGnew, 72.0, 0.0031,0.0018,0.0040,0.0087,0.0059,0.0074,0.0048,0.0040,0.0051,0.0043,0.0054,0.0050,
6, 9, SBGnew, 72.0, 0.0031,0.0013,0.0043,0.0081,0.0056,0.0070,0.0047,0.0037,0.0048,0.0045,0.0054,0.0045,
6, 10, SBGnew, 72.0, 0.0029,0.0009,0.0042,0.0075,0.0052,0.0059,0.0044,0.0034,0.0036,0.0041,0.0050,0.0041,
6, 11, SBGnew, 72.0, 0.0029,0.0002,0.0038,0.0062,0.0044,0.0059,0.0044,0.0036,0.0032,0.0035,0.0048,0.0037,
6, 12, SBGnew, 72.0, 0.0030,0.0001,0.0032,0.0052,0.0040,0.0051,0.0040,0.0036,0.0027,0.0031,0.0044,0.0035,
6, 13, SBGnew, 72.0, 0.0034,0.0000,0.0033,0.0050,0.0043,0.0049,0.0036,0.0032,0.0025,0.0028,0.0035,0.0035,
6, 14, SBGnew, 72.0, 0.0032,0.0001,0.0031,0.0042,0.0041,0.0048,0.0036,0.0034,0.0026,0.0026,0.0028,0.0033,
6, 15, SBGnew, 72.0, 0.0030,0.0000,0.0026,0.0045,0.0035,0.0052,0.0034,0.0031,0.0029,0.0029,0.0021,0.0033,
6, 16, SBGnew, 72.0, 0.0028,0.0000,0.0026,0.0040,0.0035,0.0044,0.0030,0.0027,0.0028,0.0028,0.0014,0.0031,
6, 17, SBGnew, 72.0, 0.0025,0.0002,0.0022,0.0039,0.0026,0.0039,0.0028,0.0020,0.0026,0.0025,0.0012,0.0033,
6, 18, SBGnew, 72.0, 0.0017,0.0004,0.0017,0.0029,0.0019,0.0033,0.0027,0.0015,0.0019,0.0021,0.0011,0.0025,
6, 19, SBGnew, 72.0, 0.0014,0.0020,0.0010,0.0024,0.0012,0.0025,0.0023,0.0006,0.0013,0.0017,0.0009,0.0024,
6, 20, SBGnew, 72.0, 0.0008,0.0061,0.0009,0.0016,0.0014,0.0015,0.0020,0.0004,0.0016,0.0013,0.0010,0.0015,
6, 21, SBGnew, 72.0, 0.0004,0.0132,0.0005,0.0011,0.0011,0.0010,0.0017,0.0001,0.0013,0.0010,0.0008,0.0010,
6, 22, SBGnew, 72.0, 0.0000,0.0268,0.0003,0.0003,0.0013,0.0005,0.0010,0.0003,0.0012,0.0008,0.0003,0.0006,
6, 23, SBGnew, 72.0, 0.0001,0.0501,0.0000,0.0004,0.0012,0.0004,0.0003,0.0000,0.0012,0.0006,0.0000,0.0008,
6, 24, SBGnew, 72.0, 0.0001,0.0851,0.0001,0.0007,0.0011,0.0000,0.0001,0.0003,0.0011,0.0005,0.0000,0.0003,
6, 25, SBGnew, 72.0, 0.0004,0.1333,0.0002,0.0002,0.0006,0.0001,0.0004,0.0002,0.0004,0.0008,0.0000,0.0007,
6, 26, SBGnew, 72.0, 0.0006,0.1947,0.0001,0.0001,0.0005,0.0000,0.0001,0.0006,0.0004,0.0005,0.0000,0.0004,
6, 27, SBGnew, 72.0, 0.0009,0.2626,0.0016,0.0000,0.0002,0.0004,0.0005,0.0005,0.0000,0.0005,0.0004,0.0001,
6, 28, SBGnew, 72.0, 0.0011,0.3343,0.0038,0.0001,0.0000,0.0005,0.0007,0.0010,0.0001,0.0004,0.0012,0.0000,
6, 29, SBGnew, 72.0, 0.0012,0.4028,0.0082,0.0006,0.0002,0.0005,0.0004,0.0016,0.0003,0.0004,0.0012,0.0002,
6, 30, SBGnew, 72.0, 0.0012,0.4642,0.0162,0.0016,0.0013,0.0003,0.0000,0.0022,0.0012,0.0000,0.0016,0.0001,
6, 31, SBGnew, 72.0, 0.0013,0.5168,0.0317,0.0038,0.0018,0.0007,0.0003,0.0026,0.0020,0.0004,0.0019,0.0008,
6, 32, SBGnew, 72.0, 0.0016,0.5594,0.0564,0.0082,0.0031,0.0020,0.0002,0.0044,0.0037,0.0009,0.0032,0.0011,
6, 33, SBGnew, 72.0, 0.0016,0.5934,0.0960,0.0160,0.0057,0.0046,0.0004,0.0077,0.0071,0.0023,0.0063,0.0021,
6, 34, SBGnew, 72.0, 0.0021,0.6205,0.1494,0.0294,0.0119,0.0105,0.0006,0.0147,0.0134,0.0044,0.0131,0.0040,
6, 35, SBGnew, 72.0, 0.0025,0.6394,0.2149,0.0534,0.0221,0.0216,0.0014,0.0278,0.0256,0.0089,0.0260,0.0074,
6, 36, SBGnew, 72.0, 0.0036,0.6507,0.2874,0.0942,0.0415,0.0420,0.0024,0.0502,0.0480,0.0174,0.0488,0.0149,
6, 37, SBGnew, 72.0, 0.0057,0.6615,0.3611,0.1536,0.0713,0.0763,0.0043,0.0870,0.0846,0.0320,0.0828,0.0282,
6, 38, SBGnew, 72.0, 0.0100,0.6662,0.4293,0.2320,0.1133,0.1294,0.0082,0.1394,0.1396,0.0577,0.1285,0.0502,
6, 39, SBGnew, 72.0, 0.0141,0.6680,0.4813,0.3044,0.1520,0.1795,0.0121,0.1876,0.1915,0.0823,0.1708,0.0712,
6, 40, SBGnew, 72.0, 0.0182,0.6695,0.5174,0.3657,0.1856,0.2248,0.0155,0.2297,0.2373,0.1047,0.2066,0.0907,
10, 1, SBGnew, 65.0, 0.0031,0.0000,0.0169,0.0000,0.0000,0.0063,0.0062,0.0000,0.0000,0.0075,0.0000,0.0078,
10, 2, SBGnew, 65.5, 0.0000,0.0154,0.0324,0.0023,0.0024,0.0059,0.0046,0.0061,0.0083,0.0085,0.0011,0.0109,
10, 3, SBGnew, 66.0, 0.0031,0.0218,0.0541,0.0049,0.0107,0.0000,0.0050,0.0049,0.0166,0.0064,0.0090,0.0101,
10, 4, SBGnew, 66.5, 0.0052,0.0236,0.0455,0.0061,0.0178,0.0037,0.0037,0.0068,0.0193,0.0043,0.0060,0.0108,
10, 5, SBGnew, 67.0, 0.0046,0.0418,0.0386,0.0164,0.0249,0.0026,0.0032,0.0103,0.0199,0.0024,0.0111,0.0088,
10, 6, SBGnew, 67.5, 0.0013,0.0459,0.0271,0.0147,0.0236,0.0050,0.0027,0.0096,0.0243,0.0000,0.0049,0.0043,
10, 7, SBGnew, 68.0, 0.0000,0.0643,0.0133,0.0217,0.0184,0.0144,0.0009,0.0092,0.0251,0.0042,0.0096,0.0069,
10, 8, SBGnew, 68.5, 0.0006,0.0771,0.0000,0.0131,0.0090,0.0104,0.0000,0.0087,0.0188,0.0016,0.0049,0.0000,



Analysis Options
Step 4: Quantitation
Subtract Blanks,no
Subtract Baseline,yes: Global minimum
Baseline Start (cycle),0
Baseline End (cycle),40
Supressed pre-threshold data,no

Step 6: Quantitation
Subtract Blanks,no
Subtract Baseline,yes: Global minimum
Baseline Start (cycle),0
Baseline End (cycle),40
Supressed pre-threshold data,no

Step 10: Melting Curve
Subtract Blanks,no
Subtract Baseline,yes: Global minimum
Baseline Start (temp),65.0 C
Baseline End (temp),69.0 C

