"","Name","Pop.EF1d","Treat.EF1d","Sample.EF1d","rep1.eff.EF1d","rep1.ct.EF1d","rep2.eff.EF1d","rep2.ct.EF1d","repdiff.EF1d","opticorr.EF1d","avgct.EF1d","Pop.p29ING","Treat.p29ING","Sample.p29ING","rep1.eff.p29ING","rep1.ct.p29ING","rep2.eff.p29ING","rep2.ct.p29ING","repdiff.p29ING","opticorr.p29ING","avgct.p29ING","norm","log","rep1.eff.HSP70.x","rep1.ct.HSP70.x","rep2.eff.HSP70.x","rep2.ct.HSP70.x","repdiff.HSP70.x","opticorr.HSP70.x","avgct.HSP70.x","norm.HSP70.x","log.HSP70.x","rep1.eff.HSPb11.x","rep1.ct.HSPb11.x","rep2.eff.HSPb11.x","rep2.ct.HSPb11.x","repdiff.HSPb11.x","opticorr.HSPb11.x","avgct.HSPb11.x","norm.HSPb11.x","log.HSPb11.x","rep1.eff.BMP2","rep1.ct.BMP2","rep2.eff.BMP2","rep2.ct.BMP2","repdiff.BMP2","avgct.BMP2","norm.BMP2","log.BMP2","rep1.eff.CARM","rep1.ct.CARM","rep2.eff.CARM","rep2.ct.CARM","repdiff.CARM","avgct.CARM","norm.CARM","log.CARM","rep1.eff.GABABR","rep1.ct.GABABR","rep2.eff.GABABR","rep2.ct.GABABR","repdiff.GABABR","opticorr.GABABR","avgct.GABABR","norm.GABABR","log.GABABR","rep1.eff.GRB2","rep1.ct.GRB2","rep2.eff.GRB2","rep2.ct.GRB2","repdiff.GRB2","opticorr.GRB2","avgct.GRB2","norm.GRB2","log.GRB2","rep1.eff.H33","rep1.ct.H33","rep2.eff.H33","rep2.ct.H33","repdiff.H33","avgct.H33","norm.H33","log.H33","rep1.eff.PGEEP4","rep1.ct.PGEEP4","rep2.eff.PGEEP4","rep2.ct.PGEEP4","repdiff.PGEEP4","opticorr","avgct.PGEEP4","norm.PGEEP4","log.PGEEP4","rep1.eff.H2A","rep1.ct.H2A","rep2.eff.H2A","rep2.ct.H2A","repdiff.H2A","avgct.H2A","norm.H2A","log.H2A","rep1.eff.H2AV","rep1.ct.H2AV","rep2.eff.H2AV","rep2.ct.H2AV","repdiff.H2AV","avgct.H2AV","norm.H2AV","log.H2AV","rep1.eff.HSP70.y","rep1.ct.HSP70.y","rep2.eff.HSP70.y","rep2.ct.HSP70.y","repdiff.HSP70.y","opticorr.HSP70.y","avgct.HSP70.y","norm.HSP70.y","log.HSP70.y","rep1.eff.HSPb11.y","rep1.ct.HSPb11.y","rep2.eff.HSPb11.y","rep2.ct.HSPb11.y","repdiff.HSPb11.y","opticorr.HSPb11.y","avgct.HSPb11.y","norm.HSPb11.y","log.HSPb11.y","rep1.eff.CRAF","rep1.ct.CRAF","rep2.eff.CRAF","rep2.ct.CRAF","rep3.eff.CRAF","rep3.ct.CRAF","repdiff.CRAF","avgct.CRAF","norm.CRAF","log.CRAF","rep1.eff.PGRP","rep1.ct.PGRP","rep2.eff.PGRP","rep2.ct.PGRP","repdiff.PGRP","avgct.PGRP","norm.PGRP","log.PGRP","rep1.eff.Actin","rep1.ct.Actin","rep2.eff.Actin","rep2.ct.Actin","rep3.eff.Actin","rep3.ct.Actin","repdiff.Actin","avgct.Actin","norm.Actin","log.Actin","rep1.eff.TLR","rep1.ct.TLR","rep2.eff.TLR","rep2.ct.TLR","repdiff.TLR","avgct.TLR","norm.TLR","log.TLR"
"27","N_T_3","N","T","3","1.165531",29.67,"1.521326",18.3,11.37,29.4385416666667,29.5542708333333,"N","T","3","1.227337",32.74,"1.152238",16.11,16.63,31.0795833333333,31.9097916666667,2.35552083333333,0.856761863667066,NA,40,"1.113627",18.31,21.69,28.9308333333333,34.4654166666667,4.91114583333334,1.59150728185819,"1.158989",26.7,"1.299792",18.5,8.2,28.9235416666667,27.8117708333333,1.7425,0.555320863652542,"1.202688",32.95,"1.204444",31.76,1.19,32.355,2.80072916666667,1.02987979994529,"1.205132",30.58,"1.229975",28.5,2.08,29.54,0.0142708333333346,-4.24953745162772,NA,40,"1.333837",23.54,16.46,30.7735416666667,35.3867708333333,5.8325,1.76344572491345,"1.18378",28.61,"1.654904",14.86,13.75,28.4135416666667,28.5117708333333,1.0425,0.0416216746908199,"1.221519",27.66,"1.215782",28.17,-0.510000000000002,27.915,1.63927083333333,0.494251529144938,"1.214253",30.25,NA,40,-9.75,45.4372916666667,37.8436458333333,8.289375,2.11497457426648,"1.201767",31.86,"1.206442",30.51,1.35,31.185,1.63072916666667,0.48902725630458,"1.24889",28.37,"1.237699",28.52,-0.149999999999999,28.445,1.10927083333333,0.103702892559456,NA,40,"1.113627",18.31,21.69,28.9308333333333,34.4654166666667,4.91114583333334,1.59150728185819,"1.158989",26.7,"1.299792",18.5,8.2,28.9235416666667,27.8117708333333,1.7425,0.555320863652542,"1.206007",27.76,"1.205132",30.58,"1.254291",27.02,24.2,28.4533333333333,1.1009375,0.0961620895534202,"1.25733",39.55,"1.000241",40,-0.450000000000003,39.775,10.2207291666667,2.32441792926244,"1.206007",27.76,"1.254291",27.02,"1.220728",27.07,27.81,27.2833333333333,2.2709375,0.820192741828819,NA,40,"1.262573",36.05,3.95,38.025,8.47072916666666,2.13661659311286
"28","N_T_4","N","T","4","1.167933",31.7,"1.474244",20.82,10.88,31.9585416666667,31.8292708333333,"N","T","4","1.247338",33.82,"1.239565",15.53,18.29,30.4995833333333,32.1597916666667,0.330520833333331,-1.10708558587274,"1.247673",30.13,"1.182713",16.4,13.73,27.0208333333333,28.5754166666667,3.25385416666667,1.17984019115662,"1.18302",30.78,"1.23431",20.87,9.91,31.2935416666667,31.0367708333333,0.792499999999997,-0.232562773230705,"1.201453",33.37,"1.215079",32.72,0.649999999999999,33.045,1.21572916666667,0.195344033956428,"1.232143",35.52,"1.247726",32.87,2.65000000000001,34.195,2.36572916666667,0.861086290139666,"1.187535",35.59,"1.305561",25.61,9.98,32.8435416666667,34.2167708333333,2.3875,0.870246793372749,"1.208972",33.32,"1.460688",18.1,15.22,31.6535416666667,32.4867708333333,0.657500000000006,-0.419310514930208,"1.220583",28.43,"1.223099",29.13,-0.699999999999999,28.78,3.04927083333333,1.11490249099903,"1.222114",32.25,"1.117516",16.13,16.12,21.5672916666667,26.9086458333333,4.920625,1.59343555495659,NA,40,NA,40,0,40,8.17072916666667,2.10055815417544,"1.258792",29.67,"1.240037",29.35,0.32,29.51,2.31927083333333,0.841252840299874,"1.247673",30.13,"1.182713",16.4,13.73,27.0208333333333,28.5754166666667,3.25385416666667,1.17984019115662,"1.18302",30.78,"1.23431",20.87,9.91,31.2935416666667,31.0367708333333,0.792499999999997,-0.232562773230705,"1.233559",29.77,"1.232143",35.52,"1.250245",28.75,23,31.3466666666667,0.482604166666665,-0.728558492039283,"1.270829",39.55,"1.000158",1,38.55,20.275,11.5542708333333,2.44705513773982,"1.233559",29.77,"1.250245",28.75,"1.248314",29.08,30.1,29.2,2.62927083333333,0.966706558065731,"0.01856133",1,"1.280419",40,-39,20.5,11.3292708333333,2.42738971580503
"29","N_T_5","N","T","5","1.165327",28.72,"1.745512",18.18,10.54,29.3185416666667,29.0192708333333,"N","T","5","1.227873",30.94,"1.214803",15.65,15.29,30.6195833333333,30.7797916666667,1.76052083333333,0.565609693302301,"1.239234",30.9,"1.136171",17.7,13.2,28.3208333333333,29.6104166666667,0.591145833333332,-0.525692535106326,"1.176243",27.73,"1.273225",19.42,8.31,29.8435416666667,28.7867708333333,0.232499999999998,-1.45886505395473,"1.200012",31.76,"1.210114",30.47,1.29,31.115,2.09572916666667,0.73990154373331,"1.203696",32.58,"1.234495",31.4,1.18,31.99,2.97072916666666,1.08880743334397,"1.23179",39.01,"1.337229",25.85,13.16,33.0835416666667,36.0467708333333,7.0275,1.94983102379855,"1.198667",28.98,"1.627326",16.49,12.49,30.0435416666667,29.5117708333333,0.492499999999996,-0.708260818370001,"1.222815",26.27,"1.209106",27.53,-1.26,26.9,2.11927083333333,0.751072082979863,"1.20373",30.06,"1.120867",17.15,12.91,22.5872916666667,26.3236458333333,2.695625,0.991630088419972,"1.209679",31.65,"1.203667",30.27,1.38,30.96,1.94072916666667,0.663063761564427,"1.250968",27.84,"1.243339",28.81,-0.969999999999999,28.325,0.694270833333334,-0.364893144843117,"1.239234",30.9,"1.136171",17.7,13.2,28.3208333333333,29.6104166666667,0.591145833333332,-0.525692535106326,"1.176243",27.73,"1.273225",19.42,8.31,29.8435416666667,28.7867708333333,0.232499999999998,-1.45886505395473,"1.201327",28.32,"1.203696",32.58,"1.247955",27.87,23.61,29.59,0.570729166666666,-0.560840495917513,"1.231896",36.77,"1.26155",38.05,-1.27999999999999,37.41,8.39072916666666,2.12712742572142,"1.201327",28.32,"1.247955",27.87,"1.213887",27.95,28.4,28.0466666666667,0.972604166666667,-0.0277780969720017,NA,40,NA,40,0,40,10.9807291666667,2.39614184249817
"30","N_T_6","N","T","6","1.161279",31.17,"1",8.4,22.77,19.5385416666667,25.3542708333333,"N","T","6","1.226781",30.76,"1.220255",15.71,15.05,30.6795833333333,30.7197916666667,5.36552083333333,1.67999345120918,"1.247499",25.4,"1.219538",14.32,11.08,24.9408333333333,25.1704166666667,0.183854166666666,-1.69361240808853,"1.175206",28.78,"1.300304",18.96,9.82,29.3835416666667,29.0817708333333,3.7275,1.31573776765676,"1.198355",34.03,"1.198011",30.99,3.04,32.51,7.15572916666666,1.96791331790212,"1.197312",31.5,"1.234628",29.64,1.86,30.57,5.21572916666667,1.65167889970777,"1.181294",34.63,"1.310246",23.41,11.22,30.6435416666667,32.6367708333333,7.2825,1.98547420985145,"1.193771",30.2,"1.498214",17.88,12.32,31.4335416666667,30.8167708333333,5.4625,1.69790656042171,"1.221496",27.77,"1.216055",27.02,0.75,27.395,2.04072916666667,0.713307178632104,"1.201068",30.85,NA,40,-9.15,45.4372916666667,38.1436458333333,12.789375,2.54861474809496,"1.23353",34.16,"1.204549",30.16,4,32.16,6.80572916666666,1.91776478196732,"1.252097",27.55,"1.233435",27.3,0.25,27.425,2.07072916666667,0.727900799678594,"1.247499",25.4,"1.219538",14.32,11.08,24.9408333333333,25.1704166666667,0.183854166666666,-1.69361240808853,"1.175206",28.78,"1.300304",18.96,9.82,29.3835416666667,29.0817708333333,3.7275,1.31573776765676,"1.208162",26.91,"1.197312",31.5,"1.24301",27.83,23.24,28.7466666666667,3.39239583333333,1.22153640726899,"1.242592",36.09,"1.2395",36.53,-0.439999999999998,36.31,10.9557291666667,2.39386253100279,"1.208162",26.91,"1.24301",27.83,"1.226555",27.67,26.75,27.47,2.11572916666666,0.749399512735557,"1.290682",40,"1.269018",37.91,2.09,38.955,13.6007291666667,2.61012340650084
"31","N_T_7","N","T","7","1.155639",30.1,"1.486099",19.17,10.93,30.3085416666667,30.2042708333333,"N","T","7","1.213747",30.72,"1.164923",16.73,13.99,31.6995833333333,31.2097916666667,1.00552083333333,0.00550564939268605,"1.235054",32.39,"1.156648",16.74,15.65,27.3608333333333,29.8754166666667,0.32885416666667,-1.11214088889793,"1.175523",29.73,"1.230619",20.84,8.89,31.2635416666667,30.4967708333333,0.2925,-1.22929061231022,NA,40,"1.202067",32.16,7.84,36.08,5.87572916666666,1.77083016580396,"1.191991",30.74,"1.217982",29.43,1.31,30.085,0.119270833333335,-2.12635846146757,"1.164349",36.69,"1.226305",29.76,6.93,36.9935416666667,36.8417708333333,6.63749999999999,1.89273538656806,"1.186063",30.1,"1.516386",17.51,12.59,31.0635416666667,30.5817708333333,0.377499999999998,-0.974184710293064,"1.222395",27.71,"1.201375",25.84,1.87,26.775,3.42927083333334,1.23234765354443,"1.205352",31.4,"1.222731",25.03,6.37,30.4672916666667,30.9336458333333,0.729374999999997,-0.31556727594132,NA,40,"1.197062",29.37,10.63,34.685,4.48072916666667,1.49978579359952,"1.225016",28.27,"1.227781",27.51,0.759999999999998,27.89,2.31427083333334,0.839094663121201,"1.235054",32.39,"1.156648",16.74,15.65,27.3608333333333,29.8754166666667,0.32885416666667,-1.11214088889793,"1.175523",29.73,"1.230619",20.84,8.89,31.2635416666667,30.4967708333333,0.2925,-1.22929061231022,"1.19809",26.44,"1.191991",30.74,"1.236341",26.08,21.78,27.7533333333333,2.45093750000001,0.896470604424851,"1.218413",37.96,"1.283304",39.74,-1.78,38.85,8.64572916666667,2.15706546105746,"1.19809",26.44,"1.236341",26.08,"1.226613",27.71,28.07,26.7433333333333,3.46093750000001,1.24153950612552,NA,40,"1.275507",39.26,0.740000000000002,39.63,9.42572916666666,2.24344309550512
"32","N_T_8","N","T","8","1.15058",30.6,"1.466477",20.41,10.19,31.5485416666667,31.0742708333333,"N","T","8","1.236897",32.83,"1.179155",16.67,16.16,31.6395833333333,32.2347916666667,1.16052083333333,0.148868898603389,"1.226849",35.54,NA,40,-4.46,50.6208333333333,43.0804166666667,12.0061458333333,2.48541867146031,"1.17847",30.61,"1.210985",20.16,10.45,30.5835416666667,30.5967708333333,0.477499999999999,-0.739191119061354,"1.190158",35.72,"1.202003",33.7,2.02,34.71,3.63572916666667,1.29080968692564,"1.201571",33.01,"1.212178",30.81,2.2,31.91,0.835729166666663,-0.179450681702276,"1.16052",34.44,"1.271163",24.46,9.98,31.6935416666667,33.0667708333333,1.9925,0.689390131682235,"1.187595",33.25,"1.617613",19.24,14.01,32.7935416666667,33.0217708333333,1.9475,0.666546498762767,"1.207547",29.42,"1.19422",25.27,4.15,27.345,3.72927083333333,1.31621272750364,"1.203948",32.57,NA,40,-7.43,45.4372916666667,39.0036458333333,7.929375,2.07057421791273,"1.221336",35.63,NA,40,-4.37,37.815,6.74072916666666,1.90816810403802,"1.223728",30.25,"1.214561",28.16,2.09,29.205,1.86927083333333,0.625548426125781,"1.226849",35.54,NA,40,-4.46,50.6208333333333,43.0804166666667,12.0061458333333,2.48541867146031,"1.17847",30.61,"1.210985",20.16,10.45,30.5835416666667,30.5967708333333,0.477499999999999,-0.739191119061354,"1.213114",26.67,"1.201571",33.01,"1.219835",27.68,21.34,29.12,1.95427083333333,0.670017148587683,"1.25837",39.69,"1.00036",40,-0.310000000000002,39.845,8.77072916666667,2.1714199462194,"1.213114",26.67,"1.219835",27.68,"1.220809",28.07,27.06,27.4733333333333,3.6009375,1.2811942282262,"1.273131",38.25,"1.000135",40,-1.75,39.125,8.05072916666667,2.08576266703852
"33","S_C_1","S","C","1","1.157148",28.63,"1.625313",18.37,10.26,29.5085416666667,29.0692708333333,"S","C","1","1.230418",30.59,"1.160199",16.09,14.5,31.0595833333333,30.8247916666667,1.75552083333334,0.562765584020094,"1.234118",30.54,"1.189426",16.89,13.65,27.5108333333333,29.0254166666667,0.0438541666666694,-3.12688554377348,"1.199268",29.29,"1.469214",18.13,11.16,28.5535416666667,28.9217708333333,0.147500000000001,-1.91392710320226,"1.190889",30.42,"1.19571",29.28,1.14,29.85,0.780729166666667,-0.247526966919229,"1.231802",31.24,"1.215189",29.79,1.45,30.515,1.44572916666667,0.368613807899912,NA,40,"1.305853",21.88,18.12,29.1135416666667,34.5567708333333,5.4875,1.70247277840129,"1.195644",28.57,"1.643896",15.25,13.32,28.8035416666667,28.6867708333333,0.3825,-0.961026625715546,"1.211658",26.54,"1.197611",26.58,-0.0399999999999991,26.56,2.50927083333334,0.91999220629097,"1.207703",30.17,"1.165204",15.59,14.58,21.0272916666667,25.5986458333333,3.470625,1.24433469301373,NA,40,NA,40,0,40,10.9307291666667,2.39157801237559,"1.221527",28.58,"1.238775",28.49,0.0899999999999999,28.535,0.534270833333338,-0.626852390066651,"1.234118",30.54,"1.189426",16.89,13.65,27.5108333333333,29.0254166666667,0.0438541666666694,-3.12688554377348,"1.199268",29.29,"1.469214",18.13,11.16,28.5535416666667,28.9217708333333,0.147500000000001,-1.91392710320226,"1.213014",25.65,"1.231802",31.24,"1.252867",25.96,20.37,27.6166666666667,1.45260416666667,0.373357922605664,NA,40,"1.226042",35.29,4.71,37.645,8.57572916666666,2.14893602345042,"1.213014",25.65,"1.252867",25.96,"1.232068",26.06,25.75,25.89,3.17927083333333,1.15665187280543,NA,40,"1.249148",36.1,3.9,38.05,8.98072916666666,2.1950810779783
"34","S_C_2","S","C","2","1.152585",28.27,"1.572793",17.92,10.35,29.0585416666667,28.6642708333333,"S","C","2","1.227821",29.52,"1.274691",16.53,12.99,31.4995833333333,30.5097916666667,1.84552083333333,0.612761532144509,"1.250231",29.67,"1.198942",16.29,13.38,26.9108333333333,28.2904166666667,0.373854166666668,-0.983889486308318,"1.208237",27.72,"1.470958",16.6,11.12,27.0235416666667,27.3717708333333,1.2925,0.256578327400447,"1.182286",30.38,"1.204744",27.7,2.68,29.04,0.375729166666666,-0.97888669655239,"1.236775",29.57,"1.226448",28.96,0.609999999999999,29.265,0.600729166666667,-0.509611083840514,NA,40,"1.30234",19.29,20.71,26.5235416666667,33.2617708333333,4.5975,1.52551267749634,"1.18985",27.55,"1.52017",15.81,11.74,29.3635416666667,28.4567708333333,0.2075,-1.57262393931139,"1.225375",25.15,"1.212583",25.5,-0.350000000000001,25.325,3.33927083333333,1.20575246978152,"1.204502",28.74,"1.210092",16.16,12.58,21.5972916666667,25.1686458333333,3.495625,1.25151218659372,"1.213082",32.53,"1.208884",31.82,0.710000000000001,32.175,3.51072916666666,1.25582375569392,"1.249225",27.56,"1.234793",27.97,-0.41,27.765,0.899270833333333,-0.106171029220406,"1.250231",29.67,"1.198942",16.29,13.38,26.9108333333333,28.2904166666667,0.373854166666668,-0.983889486308318,"1.208237",27.72,"1.470958",16.6,11.12,27.0235416666667,27.3717708333333,1.2925,0.256578327400447,"1.203237",24.21,"1.236775",29.57,"1.260846",26.84,21.48,26.8733333333333,1.7909375,0.582739225763919,NA,40,"1.243235",34.52,5.48,37.26,8.59572916666667,2.15126547138148,"1.203237",24.21,"1.260846",26.84,"1.239989",25.05,22.42,25.3666666666667,3.29760416666667,1.19319619469846,"1.011457",3.48,NA,40,-36.52,21.74,6.92427083333333,1.935032751704
"35","S_C_3","S","C","3","1.16746",27.76,"1.50208",17.09,10.67,28.2285416666667,27.9942708333333,"S","C","3","1.230819",30.97,"1.290227",16.81,14.16,31.7795833333333,31.3747916666667,3.38052083333334,1.21802979032604,"1.218813",30.19,"1.294831",17.93,12.26,28.5508333333333,29.3704166666667,1.37614583333334,0.319286717422428,"1.231384",29.15,"1.383083",17.76,11.39,28.1835416666667,28.6667708333333,0.672500000000003,-0.396753167506138,"1.199975",31.14,"1.201426",29.54,1.6,30.34,2.34572916666667,0.852596298838413,"1.219544",31.82,"1.238473",30.58,1.24,31.2,3.20572916666667,1.16493957359673,NA,40,"1.359045",22.44,17.56,29.6735416666667,34.8367708333333,6.8425,1.9231531619327,"1.194394",27.54,"1.523052",15.95,11.59,29.5035416666667,28.5217708333333,0.5275,-0.639606413631916,"1.221532",25.06,"1.213133",26.81,-1.75,25.935,2.05927083333333,0.722351955740009,"1.222947",29.52,"1.275481",16.13,13.39,21.5672916666667,25.5436458333333,2.450625,0.896343094064459,"1.209223",31.89,NA,40,-8.11,35.945,7.95072916666667,2.07326364353787,"1.252517",27.25,"1.251259",28.71,-1.46,27.98,0.014270833333331,-4.24953745162797,"1.218813",30.19,"1.294831",17.93,12.26,28.5508333333333,29.3704166666667,1.37614583333334,0.319286717422428,"1.231384",29.15,"1.383083",17.76,11.39,28.1835416666667,28.6667708333333,0.672500000000003,-0.396753167506138,"1.199198",24.42,"1.219544",31.82,"1.248525",25.82,18.42,27.3533333333333,0.640937499999996,-0.444823330715443,NA,40,"1.234276",36.32,3.68,38.16,10.1657291666667,2.31902217757861,"1.199198",24.42,"1.248525",25.82,"1.247294",25.16,23.76,25.1333333333333,2.8609375,1.05114936832079,NA,40,"1.266176",35.94,4.06,37.97,9.97572916666667,2.3001550595195
"36","S_C_4","S","C","4","1.175724",26.98,"1.290326",14.41,12.57,25.5485416666667,26.2642708333333,"S","C","4","1.241804",30.84,"1.32039",16.69,14.15,31.6595833333333,31.2497916666667,4.98552083333333,1.60653787806312,"1.250492",31.21,"1.173768",16.12,15.09,26.7408333333333,28.9754166666667,2.71114583333333,0.997371362257972,"1.229899",28.87,"1.340189",17.99,10.88,28.4135416666667,28.6417708333333,2.3775,0.866049515437407,"1.201075",30.86,"1.213522",29.17,1.69,30.015,3.75072916666667,1.32195026552489,"1.246704",30.05,"1.239867",29.6,0.449999999999999,29.825,3.56072916666667,1.26996534598814,NA,40,"1.255677",20.43,19.57,27.6635416666667,33.8317708333333,7.5675,2.02386276191374,"1.2053",29.31,"1.513468",17.14,12.17,30.6935416666667,30.0017708333333,3.7375,1.3184169387168,"1.22758",25.88,"1.18238",25.94,-0.0600000000000023,25.91,0.354270833333334,-1.03769359244873,"1.225155",30.19,"1.137553",15.87,14.32,21.3072916666667,25.7486458333333,0.515625,-0.662375521893192,"1.212397",32.2,NA,40,-7.8,36.1,9.83572916666667,2.28602158906907,"1.249866",27.74,"1.25843",28.1,-0.360000000000003,27.92,1.65572916666667,0.504241495888976,"1.250492",31.21,"1.173768",16.12,15.09,26.7408333333333,28.9754166666667,2.71114583333333,0.997371362257972,"1.229899",28.87,"1.340189",17.99,10.88,28.4135416666667,28.6417708333333,2.3775,0.866049515437407,"1.199854",24.41,"1.246704",30.05,"1.253339",26.69,21.05,27.05,0.785729166666666,-0.241143117602297,"1.272619",36.43,"1.256627",35.42,1.01,35.925,9.66072916666666,2.26806912846751,"1.199854",24.41,"1.253339",26.69,"1.241939",27.01,24.73,26.0366666666667,0.227604166666669,-1.48014726992623,NA,40,"1.278201",36.63,3.37,38.315,12.0507291666667,2.48912516986247
"37","S_C_5","S","C","5","1.165049",28.71,"1.38658",16.69,12.02,27.8285416666667,28.2692708333333,"S","C","5","1.238344",31.29,"1.307065",16.61,14.68,31.5795833333333,31.4347916666667,3.16552083333333,1.15231760235247,"1.256237",29.79,"1.216491",16.01,13.78,26.6308333333333,28.2104166666667,0.0588541666666664,-2.83269264630949,"1.225414",28.98,"1.321597",17.88,11.1,28.3035416666667,28.6417708333333,0.372499999999999,-0.987518241162526,"1.196467",30.55,"1.213469",28.48,2.07,29.515,1.24572916666667,0.21972103451288,"1.212063",30.68,"1.232078",30,0.68,30.34,2.07072916666667,0.727900799678594,NA,40,"1.330101",20.95,19.05,28.1835416666667,34.0917708333333,5.8225,1.76172972277636,"1.193207",29.07,"1.569725",16.32,12.75,29.8735416666667,29.4717708333333,1.2025,0.18440272299778,"1.229773",26.3,"1.212921",26.19,0.109999999999999,26.245,2.02427083333333,0.705209553408775,"1.21231",29.64,"1.140144",16.79,12.85,22.2272916666667,25.9336458333333,2.335625,0.848279521257611,"1.20752",32.48,"1.202096",31.35,1.13,31.915,3.64572916666667,1.29355639117888,"1.255436",28.91,"1.245272",28.29,0.620000000000001,28.6,0.330729166666668,-1.10645546612913,"1.256237",29.79,"1.216491",16.01,13.78,26.6308333333333,28.2104166666667,0.0588541666666664,-2.83269264630949,"1.225414",28.98,"1.321597",17.88,11.1,28.3035416666667,28.6417708333333,0.372499999999999,-0.987518241162526,"1.194905",26.84,"1.212063",30.68,"1.25388",26.42,22.58,27.98,0.289270833333333,-1.24039189014913,NA,40,NA,40,0,40,11.7307291666667,2.46221182327955,"1.194905",26.84,"1.25388",26.42,"1.224671",25.49,25.91,26.25,2.01927083333333,0.702736472649102,"1.279502",36.54,"1.277386",36.48,0.0600000000000023,36.51,8.24072916666666,2.1090888311066
"38","S_C_6","S","C","6","1.169955",28.11,"1.54972",16.89,11.22,28.0285416666667,28.0692708333333,"S","C","6","1.232405",31.06,"1.281849",18.31,12.75,33.2795833333333,32.1697916666667,4.10052083333333,1.41111399816264,"1.247682",32.7,"1.152612",16.54,16.16,27.1608333333333,29.9304166666667,1.86114583333333,0.621192337477239,"1.221545",29.05,"1.410442",18.14,10.91,28.5635416666667,28.8067708333333,0.737499999999997,-0.304489190768166,"1.191402",31.36,"1.201302",29.74,1.62,30.55,2.48072916666666,0.908552535779032,"1.225727",30.74,"1.236147",29.69,1.05,30.215,2.14572916666667,0.763479432454141,NA,40,"1.320417",20.89,19.11,28.1235416666667,34.0617708333333,5.9925,1.7905086873264,"1.18975",28.89,"1.586458",16.75,12.14,30.3035416666667,29.5967708333333,1.5275,0.423632412063613,"1.223493",25.88,"1.216481",26.27,-0.390000000000001,26.075,1.99427083333333,0.690278486455468,"1.218176",29.8,"1.192373",15.44,14.36,20.8772916666667,25.3386458333333,2.730625,1.00453052072356,"1.210185",32.1,"1.199169",30.49,1.61,31.295,3.22572916666667,1.17115902288261,"1.24728",27.55,"1.256409",27,0.550000000000001,27.275,0.794270833333336,-0.230330775980312,"1.247682",32.7,"1.152612",16.54,16.16,27.1608333333333,29.9304166666667,1.86114583333333,0.621192337477239,"1.221545",29.05,"1.410442",18.14,10.91,28.5635416666667,28.8067708333333,0.737499999999997,-0.304489190768166,"1.212893",26.03,"1.225727",30.74,"1.244861",25.94,21.23,27.57,0.499270833333338,-0.694606578296288,NA,40,"1.239179",35.21,4.79,37.605,9.53572916666667,2.25504570877314,"1.212893",26.03,"1.244861",25.94,"1.227491",26.2,26.29,26.0566666666667,2.01260416666667,0.699429488805456,"1.286632",34.74,"1.281317",35.54,-0.799999999999997,35.14,7.07072916666667,1.95596360990393
"39","S_C_7","S","C","7","1.157066",27.21,"1.6811",15.96,11.25,27.0985416666667,27.1542708333333,"S","C","7","1.23869",32.91,"1.235395",17.16,15.75,32.1295833333333,32.5197916666667,5.36552083333333,1.67999345120918,"1.243505",31.45,"1.186396",21.61,9.84,32.2308333333333,31.8404166666667,4.68614583333333,1.54461046067121,"1.1876",28.2,"1.433399",18.86,9.34,29.2835416666667,28.7417708333333,1.5875,0.462160451784709,"1.197299",32.33,"1.205615",30.48,1.85,31.405,4.25072916666667,1.44709053684756,"1.214161",29.97,"1.228253",29.35,0.619999999999997,29.66,2.50572916666667,0.918579776677626,"1.195594",33.89,"1.265153",20.38,13.51,27.6135416666667,30.7517708333333,3.5975,1.28023915977938,"1.190301",29.48,"1.609506",16.88,12.6,30.4335416666667,29.9567708333333,2.80249999999999,1.03051187596418,"1.230384",27.39,"1.194097",26.85,0.539999999999999,27.12,0.0342708333333341,-3.37346062669053,"1.216971",30.69,"1.148213",18.23,12.46,23.6672916666667,27.1786458333333,0.0243749999999991,-3.71419726209826,NA,40,NA,40,0,40,12.8457291666667,2.55301139552653,"1.206435",29.3,"1.221204",27.96,1.34,28.63,1.47572916666667,0.389152217923424,"1.243505",31.45,"1.186396",21.61,9.84,32.2308333333333,31.8404166666667,4.68614583333333,1.54461046067121,"1.1876",28.2,"1.433399",18.86,9.34,29.2835416666667,28.7417708333333,1.5875,0.462160451784709,"1.190168",23.26,"1.214161",29.97,"1.238323",24.17,17.46,25.8,1.35427083333333,0.303263179106242,"1.267844",39.71,"1.234886",37.75,1.96,38.73,11.5757291666667,2.4489105929486,"1.190168",23.26,"1.238323",24.17,"1.227531",24.9,23.99,24.11,3.04427083333333,1.11326140888434,"1.278669",36.45,"1.255895",36.42,0.0300000000000011,36.435,9.28072916666667,2.22794011770559
