,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC
Cycle,HSPb11_NTC_01,HSPb11_NT1_01,HSPb11_HT1_01,HSPb11_ST1_01,HSPb11_NC1_01,HSPb11_HC1_01,HSPb11_SC1_01,HSPb11_NTC_01,GDF-8_NTC_01,GDF-8_NT1_01,GDF-8_HT1_01,GDF-8_ST1_01,GDF-8_NC1_01,GDF-8_HC1_01,GDF-8_SC1_01,GDF-8_NTC_01,HSP70b_NTC_01,HSP70b_NT1_01,HSP70b_HT1_01,HSP70b_ST1_01,HSP70b_NC1_01,HSP70b_HC1_01,HSP70b_SC1_01,HSP70b_NTC_01,GRF-78_NTC_01,GRF-78_NT1_01,GRF-78_HT1_01,GRF-78_ST1_01,GRF-78_NC1_01,GRF-78_HC1_01,GRF-78_SC1_01,GRF-78_NTC_01,CARM1_NTC_01,CARM1_NT1_01,CARM1_HT1_01,CARM1_ST1_01,CARM1_NC1_01,CARM1_HC1_01,CARM1_SC1_01,CARM1_NTC_01,BMP2_NTC_01,BMP2_NT1_01,BMP2_HT1_01,BMP2_ST1_01,BMP2_NC1_01,BMP2_HC1_01,BMP2_SC1_01,BMP2_NTC_01,PGE/EP4_NTC_01,PGE/EP4_NT1_01,PGE/EP4_HT1_01,PGE/EP4_ST1_01,PGE/EP4_NC1_01,PGE/EP4_HC1_01,PGE/EP4_SC1_01,PGE/EP4_NTC_01,CRAF1_NTC_01,CRAF1_NT1_01,CRAF1_HT1_01,CRAF1_ST1_01,CRAF1_NC1_01,CRAF1_HC1_01,CRAF1_SC1_01,CRAF1_NTC_01,NFKBina_NTC_01,NFKBina_NT1_01,NFKBina_HT1_01,NFKBina_ST1_01,NFKBina_NC1_01,NFKBina_HC1_01,NFKBina_SC1_01,NFKBina_NTC_01,PGRP-S_NTC_01,PGRP-S_NT1_01,PGRP-S_HT1_01,PGRP-S_ST1_01,PGRP-S_NC1_01,PGRP-S_HC1_01,PGRP-S_SC1_01,PGRP-S_NTC_01,TLR2.1_NTC_01,TLR2.1_NT1_01,TLR2.1_HT1_01,TLR2.1_ST1_01,TLR2.1_NC1_01,TLR2.1_HC1_01,TLR2.1_SC1_01,TLR2.1_NTC_01,GDF-8b_NTC_01,GDF-8b_NT1_01,GDF-8b_HT1_01,GDF-8b_ST1_01,GDF-8b_NC1_01,GDF-8b_HC1_01,GDF-8b_SC1_01,GDF-8b_NTC_01
10,0.0026,0.0018,0.0026,0.0054,0.0059,0.0031,0.0021,0.0049,0.0026,0.0062,0.0045,0.0059,0.006,0.004,0.0039,0.0029,0.0041,0.0049,0.0067,0.0072,0.0066,0.0054,0.0068,0.0051,0.0036,0.0081,0.0058,0.0068,0.007,0.0084,0.0099,0.0046,0.0039,0.0037,0.0043,0.0093,0.0061,0.0082,0.0058,0.0052,0.0023,0.0051,0.0035,0.0053,0.0055,0.0059,0.0052,0.0041,0.0031,0.0058,0.0054,0.0054,0.0055,0.0051,0.0055,0.0052,0.0029,0.0043,0.0055,0.0089,0.0069,0.006,0.0064,0.0046,0.005,0.0045,0.0072,0.0096,0.0077,0.0071,0.0084,0.0046,0.0038,0.0034,0.007,0.0062,0.0074,0.0069,0.0082,0.0051,0.0023,0.0043,0.0057,0.006,0.0069,0.007,0.004,0.0043,0.0028,0.0041,0.0035,0.0073,0.0044,0.0043,0.0038,0.0045
11,0.0022,0.0023,0.0026,0.0051,0.0054,0.0032,0.0022,0.005,0.0024,0.0055,0.0039,0.0056,0.0053,0.004,0.0041,0.0027,0.004,0.0041,0.0064,0.0074,0.0071,0.005,0.0058,0.0045,0.0035,0.0074,0.0064,0.0065,0.0065,0.0079,0.0088,0.0043,0.0036,0.0032,0.0041,0.009,0.0064,0.0078,0.0048,0.0054,0.0023,0.0053,0.0037,0.0054,0.005,0.0054,0.0051,0.004,0.0029,0.0054,0.005,0.0051,0.0056,0.0043,0.0046,0.0049,0.0028,0.0044,0.0052,0.0084,0.0064,0.0062,0.0056,0.0043,0.0043,0.0042,0.0064,0.0097,0.0074,0.0066,0.0079,0.0038,0.0036,0.0029,0.0067,0.006,0.0067,0.0062,0.0078,0.005,0.0016,0.004,0.0053,0.0053,0.0062,0.0065,0.0039,0.0043,0.003,0.004,0.0033,0.0067,0.0046,0.0038,0.0037,0.0044
12,0.002,0.0024,0.0025,0.0044,0.0051,0.0031,0.0019,0.0041,0.0022,0.0054,0.0034,0.0046,0.0048,0.004,0.0035,0.0026,0.0039,0.0042,0.0062,0.007,0.0068,0.0042,0.0054,0.0037,0.0033,0.0068,0.0068,0.0061,0.0064,0.0071,0.0076,0.0043,0.0039,0.003,0.004,0.009,0.0055,0.0073,0.004,0.0052,0.0025,0.0043,0.0041,0.0051,0.0047,0.0047,0.0048,0.0037,0.0028,0.0048,0.0043,0.0046,0.0051,0.0043,0.0046,0.0041,0.0024,0.0047,0.0052,0.008,0.0061,0.0055,0.0051,0.004,0.0037,0.0042,0.0069,0.0089,0.0068,0.0064,0.0068,0.0037,0.0031,0.0028,0.0064,0.0053,0.0063,0.0064,0.0071,0.0046,0.0016,0.0038,0.0048,0.0049,0.0059,0.0065,0.0034,0.0041,0.0022,0.0042,0.0032,0.0059,0.0041,0.0037,0.0031,0.004
13,0.0023,0.0025,0.0023,0.0041,0.0047,0.0027,0.0017,0.0036,0.0025,0.0053,0.0039,0.0043,0.0047,0.0038,0.0041,0.0026,0.0035,0.0038,0.0059,0.0072,0.0055,0.0035,0.0044,0.0042,0.003,0.0058,0.0066,0.006,0.0061,0.0066,0.0074,0.0052,0.0039,0.0037,0.0043,0.0086,0.0051,0.0064,0.0038,0.0046,0.0023,0.0042,0.004,0.0051,0.0043,0.0039,0.0045,0.0034,0.0025,0.0041,0.0045,0.0047,0.0044,0.0049,0.004,0.0041,0.0024,0.0045,0.0051,0.0078,0.0053,0.0049,0.0048,0.0039,0.003,0.004,0.0067,0.0079,0.0064,0.0064,0.0066,0.0031,0.0031,0.0029,0.0059,0.0051,0.0058,0.0062,0.0059,0.0045,0.0017,0.0034,0.0043,0.0046,0.0055,0.0064,0.0037,0.0043,0.0023,0.0041,0.0027,0.0055,0.0043,0.004,0.003,0.0038
14,0.0022,0.0021,0.0018,0.0034,0.0038,0.0022,0.0014,0.0035,0.0023,0.0049,0.0033,0.0038,0.0042,0.0037,0.0042,0.0029,0.0034,0.0039,0.0064,0.0063,0.0053,0.0033,0.0041,0.0041,0.003,0.0049,0.0065,0.0059,0.0051,0.0056,0.0068,0.0047,0.0042,0.0041,0.0042,0.0082,0.0051,0.0054,0.0034,0.0049,0.0021,0.0036,0.0039,0.0045,0.0039,0.0035,0.0039,0.0035,0.0021,0.0037,0.004,0.0045,0.0044,0.0051,0.0041,0.0035,0.002,0.0037,0.0044,0.0073,0.0045,0.0045,0.0034,0.0035,0.003,0.0043,0.0061,0.0071,0.0059,0.0055,0.0056,0.0029,0.0037,0.0026,0.0051,0.0051,0.0055,0.0062,0.005,0.0042,0.0015,0.0035,0.0043,0.0042,0.0052,0.0063,0.0032,0.0041,0.0027,0.0039,0.0026,0.0045,0.0043,0.0037,0.0023,0.0032
15,0.0019,0.0018,0.0015,0.0025,0.003,0.0018,0.0011,0.0028,0.0014,0.0037,0.0033,0.003,0.0041,0.0038,0.0041,0.0025,0.0032,0.0028,0.0054,0.0049,0.005,0.0025,0.0036,0.0031,0.0029,0.0038,0.0054,0.0052,0.0046,0.0046,0.0048,0.0036,0.0032,0.0032,0.0032,0.0057,0.0043,0.0043,0.0024,0.0044,0.0018,0.003,0.0035,0.0035,0.003,0.0027,0.0038,0.0036,0.0019,0.0028,0.003,0.0043,0.0033,0.0041,0.0035,0.0026,0.0015,0.0023,0.0035,0.0059,0.0039,0.0037,0.0029,0.003,0.0026,0.0033,0.005,0.0061,0.0052,0.0047,0.0048,0.0024,0.0028,0.0023,0.005,0.0048,0.0042,0.0052,0.0042,0.0037,0.0013,0.0031,0.0037,0.0037,0.0045,0.0056,0.0027,0.0036,0.0023,0.003,0.0026,0.0031,0.0036,0.0029,0.0019,0.0033
16,0.0017,0.0014,0.0011,0.0023,0.0021,0.0012,0.0011,0.0014,0.0012,0.004,0.003,0.0022,0.0032,0.0029,0.0035,0.0025,0.0023,0.0021,0.0044,0.0033,0.0038,0.0019,0.0027,0.0028,0.0029,0.003,0.0038,0.0043,0.0041,0.0028,0.0036,0.0027,0.0028,0.0027,0.003,0.0046,0.003,0.0031,0.0021,0.0037,0.0014,0.0023,0.0029,0.0019,0.0023,0.002,0.0029,0.0031,0.0015,0.0017,0.0023,0.0033,0.0021,0.0036,0.0028,0.0025,0.001,0.0014,0.0022,0.0049,0.0031,0.0029,0.0021,0.002,0.0021,0.0032,0.0048,0.0052,0.0038,0.0036,0.0041,0.0021,0.0025,0.0018,0.0035,0.0035,0.0034,0.0045,0.0042,0.0023,0.0016,0.0023,0.0033,0.003,0.0042,0.0047,0.0024,0.0034,0.0021,0.0021,0.0019,0.0026,0.0027,0.0023,0.0016,0.0031
17,0.0014,0.001,0.0005,0.0013,0.0009,0.0012,0.0011,0.0016,0.0012,0.0033,0.0023,0.0021,0.0023,0.0022,0.0034,0.0018,0.0018,0.001,0.0035,0.0025,0.0027,0.0017,0.0019,0.0025,0.0031,0.0029,0.003,0.0037,0.0031,0.0017,0.0033,0.0025,0.0022,0.0019,0.0017,0.0027,0.0016,0.0019,0.0015,0.0026,0.0013,0.0016,0.0017,0.0012,0.0017,0.0014,0.0017,0.0028,0.0012,0.0009,0.0022,0.0023,0.0018,0.0025,0.0017,0.0023,0.0007,0.0006,0.0014,0.0036,0.0025,0.0023,0.0017,0.0012,0.0017,0.0027,0.0038,0.0044,0.002,0.0026,0.0035,0.0019,0.0027,0.0014,0.0023,0.0031,0.0029,0.0039,0.0038,0.0016,0.0013,0.0016,0.0028,0.0024,0.0036,0.0038,0.0019,0.0035,0.002,0.0014,0.0012,0.0021,0.0021,0.0015,0.0013,0.0026
18,0.0009,0.0005,0.0001,0.0008,0.001,0.001,0.0012,0.0015,0.0008,0.0025,0.0012,0.0017,0.0017,0.002,0.0026,0.0016,0.0013,0.0006,0.0025,0.0013,0.0024,0.0011,0.0011,0.0012,0.0027,0.0019,0.002,0.0027,0.0027,0.0013,0.0027,0.0011,0.0018,0.0007,0.0006,0.0017,0.0005,0.0007,0.0007,0.0028,0.0008,0.0009,0.0015,0.0004,0.0008,0.0007,0.0011,0.0023,0.0005,0.0007,0.0013,0.0014,0.0014,0.0011,0.0012,0.0017,0.0008,0.0001,0.0007,0.0024,0.0016,0.001,0.001,0.0007,0.0013,0.0012,0.0025,0.0036,0.0011,0.002,0.0022,0.0013,0.0016,0.0005,0.0017,0.0022,0.0018,0.0025,0.0037,0.0009,0.0011,0.0011,0.0025,0.0019,0.0024,0.0029,0.0011,0.0026,0.0011,0.0008,0.0017,0.0017,0.0015,0.0007,0.0011,0.002
19,0.0006,0,0.0003,0.0002,0.0001,0.0001,0.0012,0.001,0.0006,0.0018,0.001,0.0012,0.0014,0.0013,0.0015,0.0009,0.0009,0,0.0012,0.001,0.0014,0.0002,0.0004,0.0006,0.0021,0.0009,0.001,0.0022,0.0023,0.0004,0.0023,0.0014,0.0008,0,0.0006,0.0006,0,0.0002,0,0.0019,0.0008,0.0008,0.001,0,0.0002,0,0.0004,0.0013,0.0009,0,0.0009,0.0004,0.0006,0,0.0003,0.0013,0.0006,0.0001,0,0.0011,0.0009,0,0.0006,0.0001,0.0008,0.0003,0.0018,0.0024,0.0001,0.0015,0.0017,0.0006,0.0006,0,0.0008,0.0014,0.0005,0.0017,0.0024,0.0003,0.0005,0.0004,0.0018,0.0012,0.0016,0.0021,0.001,0.002,0.0007,0.0006,0.0011,0.0011,0.0007,0,0.0007,0.0016
