,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC,NTC,NT1,HT1,ST1,NC1,HC1,SC1,NTC
Cycle,HSPb11_NTC_01,HSPb11_NT1_01,HSPb11_HT1_01,HSPb11_ST1_01,HSPb11_NC1_01,HSPb11_HC1_01,HSPb11_SC1_01,HSPb11_NTC_01,GDF-8_NTC_01,GDF-8_NT1_01,GDF-8_HT1_01,GDF-8_ST1_01,GDF-8_NC1_01,GDF-8_HC1_01,GDF-8_SC1_01,GDF-8_NTC_01,HSP70b_NTC_01,HSP70b_NT1_01,HSP70b_HT1_01,HSP70b_ST1_01,HSP70b_NC1_01,HSP70b_HC1_01,HSP70b_SC1_01,HSP70b_NTC_01,GRF-78_NTC_01,GRF-78_NT1_01,GRF-78_HT1_01,GRF-78_ST1_01,GRF-78_NC1_01,GRF-78_HC1_01,GRF-78_SC1_01,GRF-78_NTC_01,CARM1_NTC_01,CARM1_NT1_01,CARM1_HT1_01,CARM1_ST1_01,CARM1_NC1_01,CARM1_HC1_01,CARM1_SC1_01,CARM1_NTC_01,BMP2_NTC_01,BMP2_NT1_01,BMP2_HT1_01,BMP2_ST1_01,BMP2_NC1_01,BMP2_HC1_01,BMP2_SC1_01,BMP2_NTC_01,PGE/EP4_NTC_01,PGE/EP4_NT1_01,PGE/EP4_HT1_01,PGE/EP4_ST1_01,PGE/EP4_NC1_01,PGE/EP4_HC1_01,PGE/EP4_SC1_01,PGE/EP4_NTC_01,CRAF1_NTC_01,CRAF1_NT1_01,CRAF1_HT1_01,CRAF1_ST1_01,CRAF1_NC1_01,CRAF1_HC1_01,CRAF1_SC1_01,CRAF1_NTC_01,NFKBina_NTC_01,NFKBina_NT1_01,NFKBina_HT1_01,NFKBina_ST1_01,NFKBina_NC1_01,NFKBina_HC1_01,NFKBina_SC1_01,NFKBina_NTC_01,PGRP-S_NTC_01,PGRP-S_NT1_01,PGRP-S_HT1_01,PGRP-S_ST1_01,PGRP-S_NC1_01,PGRP-S_HC1_01,PGRP-S_SC1_01,PGRP-S_NTC_01,TLR2.1_NTC_01,TLR2.1_NT1_01,TLR2.1_HT1_01,TLR2.1_ST1_01,TLR2.1_NC1_01,TLR2.1_HC1_01,TLR2.1_SC1_01,TLR2.1_NTC_01,GDF-8b_NTC_01,GDF-8b_NT1_01,GDF-8b_HT1_01,GDF-8b_ST1_01,GDF-8b_NC1_01,GDF-8b_HC1_01,GDF-8b_SC1_01,GDF-8b_NTC_01
20,0.0004,0.0001,0.0002,0.0004,0.0003,0,0.001,0.0012,0.0006,0.0022,0.0001,0.0008,0.0006,0.0013,0.0009,0.0014,0.0006,0.0003,0.0005,0.0012,0.0009,0.0001,0,0.0007,0.0018,0.0008,0.0011,0.0017,0.0015,0,0.0025,0.0013,0.0012,0.0005,0.0009,0.001,0,0,0.0003,0.0016,0.0007,0.0005,0.0004,0.0007,0,0.0001,0,0.0007,0.0004,0.0003,0.0011,0.0002,0.0008,0.0001,0.0002,0.0013,0.0004,0.0005,0.0007,0.0014,0.001,0.0003,0.0004,0.0002,0.0008,0.0006,0.0012,0.0018,0,0.0014,0.0014,0.0003,0.0006,0.0003,0.0002,0.0009,0.0008,0.0016,0.0016,0.0003,0.0005,0.001,0.0018,0.0011,0.0014,0.0017,0.0008,0.0018,0.0005,0,0.0007,0.0012,0.0007,0.0001,0.0002,0.0011
21,0.0004,0,0,0,0,0.0003,0.0008,0.0021,0.0003,0.0013,0,0.0008,0.0003,0.0017,0.0003,0.0008,0.0007,0.0003,0.0003,0.0012,0.0007,0,0.0006,0.0002,0.0016,0.0008,0.0016,0.0012,0.0012,0.0003,0.002,0.0013,0.0012,0.0004,0.0001,0,0.0001,0.0001,0,0.0008,0.0007,0,0,0.001,0.0001,0.0011,0.0007,0.0007,0.0006,0.0007,0.0005,0,0.0004,0.0002,0,0.0007,0.0001,0.0001,0.0009,0.0008,0,0.0005,0.0006,0.001,0.0005,0.0001,0.001,0.0014,0.0001,0.0013,0.001,0.0004,0.0006,0.0004,0.0006,0.0004,0.0004,0.001,0.0006,0.0007,0.0001,0.0011,0.0016,0.0009,0.0009,0.0017,0.0008,0.0018,0.0004,0.0004,0.0006,0.0003,0,0,0,0.0007
22,0.0001,0,0.0004,0.0002,0.0004,0.0004,0.0009,0.0018,0.0001,0.0006,0.0001,0.0008,0.0003,0.0014,0,0.0008,0.0001,0.0006,0,0.0008,0.0003,0.0001,0.0004,0,0.0009,0,0.0007,0.001,0.0005,0.0002,0.0014,0.0013,0.0008,0.0005,0.0005,0.0004,0.0009,0.0005,0.0007,0.0011,0.0005,0.0003,0.0006,0.0011,0.0001,0.0014,0.0012,0.0006,0.0008,0.0007,0.0003,0.001,0,0.0005,0.0007,0.0006,0.0002,0.0004,0.0008,0.0009,0.0002,0.0007,0.0001,0.0013,0,0.0001,0.0008,0.0007,0.001,0.0014,0.0002,0,0,0,0.0008,0.0002,0.0004,0.0004,0,0.0002,0.0003,0.001,0.0014,0.0005,0.0005,0.0019,0.0007,0.0014,0.0007,0.001,0.0007,0.0005,0.0003,0.0001,0.0003,0.0012
23,0.0005,0.0001,0.0004,0.0003,0.0003,0.0006,0.0011,0.0015,0.0003,0.0004,0.0003,0.0003,0.0002,0.0009,0.0003,0.0004,0.0001,0.0006,0.0001,0,0,0.0005,0.0009,0.0007,0.0009,0.0005,0.0008,0.0009,0,0.0003,0.0001,0.0016,0.0005,0.0009,0.0007,0.0004,0.0016,0.0021,0.0015,0.0004,0.0004,0.0006,0.0004,0.0015,0.0002,0.0022,0.0033,0.0001,0.0009,0.0008,0.0002,0.0008,0.0001,0.0005,0.0013,0.0009,0.0003,0,0.0004,0.0002,0,0.0013,0,0.0012,0.0003,0.0007,0.0008,0.0001,0.0012,0.0004,0.0004,0.0001,0.0005,0.0006,0.0004,0,0,0.0003,0,0,0.0001,0.0008,0.0012,0,0.0002,0.0017,0.0004,0.0013,0.0009,0.0012,0,0,0.0002,0.0002,0,0.0012
24,0.0006,0.0007,0.0001,0.0008,0.002,0.0022,0.0019,0.0014,0,0.0001,0.0004,0,0,0.0003,0.0007,0.0008,0,0.0007,0.0003,0.0005,0.0007,0.0028,0.0019,0.0009,0.0008,0.0007,0.001,0.0003,0,0.0001,0,0.0008,0.0004,0.0009,0,0.0005,0.0036,0.0039,0.0045,0.0001,0.0003,0.0009,0.0004,0.0025,0.0013,0.0042,0.007,0.0002,0.0007,0.0012,0,0.0008,0.0006,0.0006,0.0018,0.0009,0.0005,0.0003,0.0005,0,0.0004,0.0026,0.0007,0.0013,0.0002,0.0006,0.0001,0.0008,0.001,0,0.0002,0,0.0004,0.0005,0,0,0.0006,0.0001,0.0005,0.0002,0.0004,0.0009,0.0007,0.0005,0,0.0014,0.0001,0.0014,0.0009,0.0006,0,0.0002,0.0007,0.0004,0,0.0011
25,0.0006,0.0011,0.0004,0.0017,0.0036,0.0052,0.0039,0.0008,0.0002,0,0.0008,0.0004,0,0,0.0009,0.0003,0.0002,0.001,0.0016,0.001,0.002,0.0069,0.0038,0.001,0.0006,0.0014,0.0008,0,0.0003,0.0002,0.0002,0.0009,0.0003,0.0014,0.0004,0.0005,0.0079,0.0088,0.0091,0.0001,0,0.0019,0.0007,0.0034,0.0036,0.0085,0.0134,0.0002,0.0009,0.0011,0,0.0009,0.001,0.0014,0.0032,0.0008,0.0002,0.0007,0.0001,0.0003,0,0.0041,0.0024,0.0012,0.0001,0.0007,0.0004,0.0006,0.001,0.0002,0,0.0004,0.0005,0.0006,0.0003,0.0003,0.0004,0,0.001,0.0003,0.0005,0.0003,0.0001,0.0001,0.0001,0.0011,0.0001,0.0012,0.0011,0.001,0.0002,0.0001,0.001,0.0002,0.0007,0.0009
26,0.0003,0.0026,0.0014,0.0041,0.0091,0.0104,0.0076,0.001,0.0007,0.0003,0.0006,0.0001,0.0007,0.0001,0.0012,0.0001,0.0007,0.0014,0.0026,0.0022,0.0052,0.0152,0.0069,0.0014,0,0.0016,0,0.0006,0.0001,0.0003,0.0002,0.0003,0,0.0028,0.0015,0.0018,0.0163,0.0174,0.02,0,0.0002,0.004,0.0018,0.0059,0.0082,0.0151,0.0264,0.0001,0.0008,0.0016,0.0002,0.0014,0.0027,0.0033,0.0077,0.0008,0.0008,0.001,0.0002,0.0007,0.0011,0.0073,0.0062,0.0006,0,0.0004,0.0005,0.0001,0.0009,0.0009,0.0004,0.0004,0.0006,0.0006,0.0001,0.0007,0.0008,0.0008,0.0019,0.0002,0.0004,0.0001,0,0.0004,0.0005,0.0006,0,0.0005,0.0009,0.001,0.0004,0.0006,0.0018,0.0006,0.0012,0.001
27,0.0003,0.0049,0.0028,0.0086,0.0188,0.0207,0.0149,0.0007,0.0007,0.0009,0.0001,0.0002,0.002,0.0013,0.0016,0.0001,0.0013,0.0027,0.0061,0.0063,0.0108,0.0321,0.0147,0.0028,0.0002,0.0021,0.0004,0,0.0005,0.0011,0.0007,0,0,0.0059,0.0034,0.0034,0.0318,0.0349,0.0396,0,0.0004,0.0078,0.0031,0.0101,0.0173,0.0308,0.0508,0,0.0004,0.0028,0,0.0011,0.0056,0.0067,0.0148,0.0005,0.0006,0.0021,0.0009,0.0026,0.0019,0.014,0.0127,0.0004,0.0007,0,0.0002,0.0005,0.0011,0.0012,0.0006,0.0003,0.0009,0.0009,0.0004,0.0011,0.0005,0.0003,0.0023,0.0003,0.0005,0,0.0001,0.0009,0.001,0,0,0.0005,0.0003,0.0004,0.0002,0.0003,0.0018,0.0013,0.0019,0.0003
28,0.0004,0.0099,0.0072,0.0176,0.0378,0.0405,0.0281,0.0003,0.0006,0.0014,0,0.0008,0.0038,0.0028,0.0023,0,0.0024,0.0061,0.0126,0.0144,0.0214,0.0634,0.0293,0.0055,0,0.0017,0.0003,0.0006,0.0006,0.0013,0.0018,0.0003,0.0006,0.0112,0.0068,0.0063,0.0629,0.0675,0.0769,0.0001,0.0009,0.0148,0.0061,0.0185,0.035,0.0606,0.0952,0.0005,0.0005,0.0043,0.0006,0.0027,0.0099,0.0152,0.0294,0,0.0003,0.0037,0.0027,0.0074,0.004,0.0283,0.0257,0,0.0009,0.0008,0.0002,0.0004,0.0028,0.004,0.0009,0.0007,0.0011,0.0011,0.0012,0.0021,0.001,0.001,0.0028,0.0004,0.0008,0.0002,0,0.0022,0.0019,0,0.0007,0.0003,0.0001,0.0002,0.0006,0.0012,0.0032,0.0027,0.004,0
29,0,0.0189,0.0163,0.0348,0.0733,0.0757,0.0534,0.0004,0.0007,0.0028,0.0002,0.0016,0.0075,0.007,0.0036,0.0004,0.0046,0.014,0.0254,0.0292,0.0415,0.1198,0.0576,0.0094,0.0002,0.002,0.0002,0.001,0.0006,0.003,0.0034,0.0006,0.0008,0.0225,0.0149,0.0133,0.1206,0.1281,0.1436,0.001,0.001,0.0291,0.0127,0.0358,0.0685,0.1159,0.1723,0.0009,0.0001,0.0081,0.0012,0.0052,0.0193,0.0308,0.059,0.0004,0,0.0071,0.0058,0.0156,0.009,0.0547,0.0494,0.0003,0.0013,0.0016,0,0,0.0069,0.0084,0.0016,0.0007,0.0008,0.0012,0.002,0.0039,0.002,0.0006,0.0038,0.0005,0.0001,0.0005,0.0002,0.0031,0.0036,0.0006,0.0019,0,0,0.0013,0.0005,0.0036,0.0061,0.0056,0.0078,0.0003
30,0.0003,0.037,0.0335,0.0672,0.1351,0.1335,0.0965,0.0009,0.0005,0.0055,0.0011,0.0031,0.016,0.0142,0.0065,0.0009,0.0084,0.0292,0.0501,0.0588,0.0794,0.2185,0.1103,0.0172,0.0004,0.0022,0.0005,0.0021,0.0022,0.0053,0.007,0.0012,0.0011,0.0439,0.0296,0.027,0.2202,0.232,0.2538,0.0014,0.0016,0.0549,0.0258,0.0673,0.1284,0.2055,0.2907,0.0015,0,0.0158,0.002,0.0097,0.0375,0.0593,0.1108,0.0003,0.0003,0.0136,0.013,0.0294,0.0177,0.1017,0.0907,0,0.0012,0.003,0.0005,0.0001,0.0135,0.016,0.0012,0.0006,0.0011,0.0024,0.002,0.0068,0.0039,0.0008,0.0047,0.0004,0.0001,0.0016,0.0006,0.0057,0.0065,0.0009,0.0044,0.0004,0.0002,0.0026,0.0008,0.0075,0.0119,0.0118,0.0155,0.0007
31,0.0009,0.0692,0.0654,0.122,0.2315,0.2166,0.1609,0.0011,0.0006,0.0106,0.0025,0.006,0.0312,0.0281,0.0123,0.0015,0.015,0.0596,0.0952,0.1139,0.1462,0.3692,0.1984,0.0318,0.001,0.0027,0.0019,0.0028,0.0041,0.0105,0.0148,0.0022,0.0015,0.0843,0.0572,0.0538,0.3747,0.3928,0.4103,0.0027,0.0015,0.1021,0.0493,0.123,0.2287,0.3443,0.4477,0.0018,0.0004,0.0311,0.0041,0.0184,0.0712,0.1089,0.1968,0.0008,0.0004,0.0268,0.0271,0.0575,0.0343,0.1797,0.1586,0.0001,0.002,0.0054,0.0002,0.0008,0.0279,0.0304,0.0008,0.0008,0.0009,0.0049,0.0025,0.0122,0.0077,0.0005,0.0071,0.0009,0.0003,0.0033,0.0004,0.0103,0.0113,0.0017,0.0092,0.0006,0.0004,0.005,0.0017,0.0157,0.0234,0.0234,0.0308,0.0006
32,0.0015,0.1215,0.1189,0.2069,0.3649,0.3252,0.2473,0.0018,0.0014,0.02,0.0065,0.0117,0.0597,0.0549,0.022,0.0023,0.029,0.1099,0.1716,0.2037,0.2516,0.5717,0.331,0.0554,0.0019,0.004,0.0037,0.0044,0.0056,0.0204,0.0282,0.0032,0.0028,0.1526,0.1074,0.1027,0.5829,0.6069,0.6104,0.0038,0.0016,0.1824,0.0921,0.2155,0.3788,0.5269,0.6361,0.0023,0.0017,0.0587,0.007,0.0358,0.1327,0.1928,0.324,0.0017,0.0008,0.0523,0.0531,0.1085,0.066,0.2881,0.2581,0.0004,0.0021,0.0097,0.0011,0.0018,0.0542,0.058,0.0018,0.0016,0.0009,0.0098,0.0038,0.023,0.0151,0.001,0.0121,0.0013,0.0002,0.0065,0.0005,0.0183,0.022,0.0018,0.0194,0.0006,0.0011,0.0102,0.0033,0.0319,0.0456,0.045,0.0589,0.0014
33,0.0019,0.1983,0.1991,0.3232,0.5293,0.4486,0.3518,0.0033,0.0021,0.0384,0.0121,0.0226,0.1116,0.1032,0.0413,0.0034,0.0513,0.1888,0.2884,0.3368,0.3962,0.811,0.5033,0.0914,0.0033,0.0065,0.0058,0.0065,0.0083,0.0376,0.0541,0.0036,0.0039,0.2554,0.1925,0.1899,0.8322,0.8636,0.84,0.0054,0.0023,0.303,0.1661,0.3488,0.5743,0.7432,0.837,0.0034,0.0034,0.1097,0.0127,0.0672,0.234,0.3143,0.4904,0.0028,0.0014,0.0979,0.1001,0.1952,0.1202,0.4288,0.387,0.0017,0.0023,0.0162,0.0015,0.0032,0.1033,0.1052,0.0026,0.0023,0.0014,0.0197,0.0061,0.0439,0.0301,0.0012,0.0224,0.0014,0,0.0119,0.0006,0.0342,0.0423,0.0022,0.0387,0.001,0.0021,0.0196,0.0059,0.0625,0.0836,0.0848,0.1068,0.0024
34,0.0033,0.2979,0.3071,0.464,0.7118,0.5791,0.4658,0.0045,0.0036,0.0715,0.022,0.0422,0.1983,0.1802,0.0752,0.004,0.0828,0.2957,0.4419,0.5058,0.568,1.0634,0.7015,0.1405,0.0043,0.0112,0.0096,0.009,0.0115,0.0672,0.0987,0.0048,0.0067,0.3926,0.3188,0.33,1.1022,1.1428,1.0773,0.007,0.003,0.4552,0.2781,0.5141,0.799,0.9694,1.0293,0.0043,0.0071,0.1933,0.024,0.1236,0.3812,0.4711,0.6833,0.0038,0.0019,0.1714,0.1746,0.3259,0.2062,0.5892,0.5357,0.0026,0.0025,0.0299,0.0031,0.0047,0.1844,0.1799,0.0033,0.003,0.0022,0.0377,0.0115,0.0828,0.0573,0.0026,0.0406,0.0013,0.0007,0.0221,0.0013,0.0629,0.0804,0.0028,0.0717,0.0017,0.003,0.0366,0.0111,0.1162,0.1466,0.1503,0.1817,0.0037
35,0.0045,0.4112,0.4362,0.6231,0.8986,0.7023,0.577,0.0062,0.0056,0.1286,0.0391,0.0759,0.3244,0.2927,0.1321,0.0051,0.1227,0.4217,0.6188,0.6961,0.7479,1.2994,0.9012,0.198,0.0056,0.0175,0.0144,0.0116,0.0142,0.1212,0.1754,0.006,0.0113,0.5555,0.4851,0.5282,1.3697,1.4175,1.2977,0.011,0.0036,0.6315,0.4268,0.6997,1.0354,1.1876,1.2012,0.005,0.0129,0.3164,0.0451,0.2166,0.5728,0.6501,0.8876,0.0055,0.0027,0.2795,0.2831,0.506,0.3311,0.7599,0.6947,0.0039,0.0034,0.0545,0.0037,0.0075,0.3085,0.2862,0.0048,0.004,0.0033,0.0695,0.0211,0.1514,0.1081,0.0049,0.0747,0.0025,0.0015,0.0403,0.0026,0.1119,0.1467,0.0034,0.1273,0.0025,0.0046,0.0676,0.0207,0.2033,0.243,0.2501,0.2818,0.0055
36,0.0062,0.5309,0.5777,0.7837,1.0715,0.811,0.6782,0.0073,0.0081,0.217,0.0693,0.1361,0.4907,0.4385,0.2162,0.0075,0.1683,0.5527,0.7939,0.8815,0.9089,1.4915,1.0779,0.2592,0.0077,0.0282,0.0202,0.015,0.0173,0.2095,0.298,0.0078,0.0184,0.7286,0.6798,0.7764,1.611,1.6629,1.4932,0.0175,0.0046,0.813,0.6034,0.8902,1.2592,1.3804,1.3474,0.0063,0.0234,0.4771,0.0828,0.3526,0.7975,0.8433,1.0866,0.0074,0.0036,0.4197,0.4234,0.7249,0.4921,0.9206,0.8489,0.0051,0.0039,0.0978,0.0056,0.0098,0.4734,0.4229,0.0071,0.005,0.0043,0.1252,0.0394,0.2597,0.1948,0.0085,0.1327,0.0036,0.0028,0.074,0.0044,0.1892,0.2524,0.0048,0.2091,0.0035,0.0075,0.1183,0.038,0.3307,0.3731,0.3824,0.4031,0.0081
37,0.0076,0.648,0.7192,0.9351,1.2183,0.8989,0.7634,0.0084,0.012,0.3447,0.1198,0.2306,0.6871,0.6096,0.3278,0.0103,0.2104,0.6716,0.9441,1.0375,1.0308,1.6284,1.2157,0.3161,0.0105,0.0446,0.0285,0.0183,0.0212,0.3487,0.4717,0.0101,0.0297,0.8993,0.8846,1.0556,1.8168,1.874,1.6569,0.027,0.0059,0.984,0.793,1.0647,1.456,1.5415,1.4673,0.0078,0.0411,0.6649,0.1464,0.528,1.0314,1.0233,1.2634,0.0092,0.0045,0.5799,0.588,0.9666,0.6785,1.0654,0.985,0.0067,0.005,0.1646,0.0069,0.013,0.6727,0.5781,0.0091,0.0059,0.0054,0.2123,0.0717,0.4112,0.3312,0.0146,0.2207,0.0045,0.0038,0.1315,0.0064,0.2987,0.4003,0.0071,0.3155,0.0045,0.0113,0.1959,0.0676,0.4934,0.5329,0.5388,0.5353,0.0123
38,0.0089,0.7515,0.8471,1.0704,1.3358,0.9651,0.8282,0.0094,0.0178,0.5043,0.1996,0.365,0.8974,0.7889,0.4597,0.0139,0.245,0.7688,1.0583,1.1485,1.1116,1.7166,1.3101,0.3649,0.014,0.0712,0.0418,0.0207,0.0246,0.54,0.6867,0.0136,0.0467,1.053,1.0813,1.3373,1.9867,2.0466,1.7879,0.0428,0.0067,1.1305,0.9741,1.2148,1.6184,1.6705,1.5655,0.0084,0.0718,0.8601,0.2468,0.7324,1.2548,1.183,1.4145,0.0102,0.0055,0.7516,0.758,1.2091,0.8753,1.1818,1.0971,0.008,0.0057,0.2565,0.0088,0.0171,0.8924,0.745,0.0118,0.0074,0.0068,0.3328,0.1266,0.6027,0.5203,0.0236,0.3421,0.0062,0.005,0.222,0.009,0.4336,0.5867,0.0095,0.4384,0.006,0.0184,0.297,0.1145,0.6778,0.7103,0.7049,0.6653,0.0201
39,0.0097,0.8278,0.9429,1.1725,1.4179,1.008,0.871,0.0104,0.0229,0.6484,0.2752,0.4905,1.0711,0.9371,0.5762,0.0173,0.2692,0.8332,1.1292,1.2157,1.1548,1.7649,1.3642,0.3991,0.0178,0.0955,0.0533,0.023,0.0276,0.7178,0.8817,0.0164,0.0625,1.1663,1.2326,1.5625,2.1077,2.168,1.88,0.0584,0.0075,1.2382,1.1138,1.3237,1.7348,1.7629,1.6382,0.009,0.1009,1.0205,0.3416,0.9106,1.4271,1.3002,1.5244,0.0106,0.0068,0.8928,0.8987,1.4036,1.0369,1.2654,1.1779,0.0093,0.0063,0.3414,0.0102,0.0207,1.0781,0.882,0.0141,0.0092,0.0082,0.4454,0.1785,0.775,0.6963,0.0321,0.4554,0.0077,0.006,0.3072,0.0111,0.5553,0.7546,0.0118,0.5464,0.0071,0.0255,0.3897,0.1591,0.8373,0.861,0.8436,0.7666,0.0275
40,0.0102,0.881,1.009,1.2407,1.4689,1.0339,0.8978,0.0103,0.0276,0.7668,0.3429,0.6009,1.2009,1.0462,0.6684,0.0202,0.2835,0.8708,1.1645,1.2467,1.1711,1.7857,1.3914,0.421,0.0212,0.1178,0.0638,0.0247,0.0294,0.8705,1.0424,0.0188,0.0762,1.2435,1.3365,1.7229,2.1873,2.2479,1.9432,0.0719,0.0081,1.3095,1.2101,1.3975,1.8119,1.8265,1.6867,0.0094,0.1275,1.1375,0.4261,1.0499,1.5461,1.3813,1.5994,0.011,0.0077,0.9959,1.0013,1.5424,1.1563,1.3172,1.2297,0.0105,0.0067,0.4145,0.0114,0.0233,1.2179,0.9838,0.0166,0.0105,0.0089,0.5431,0.2264,0.9162,0.8479,0.0393,0.5525,0.0085,0.0065,0.3835,0.0126,0.6554,0.8927,0.014,0.6308,0.0077,0.0315,0.4675,0.1987,0.9619,0.9755,0.9448,0.8384,0.0341
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yes: Global minimum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yes: Global minimum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yes: Global minimum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0 C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.5 C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
