Cycles,CARM_HC_1,CARM_NC_1,CARM_SC_1,CARM_HT_1,CARM_NT_1,CARM_ST_1,CARM_NTC_1,CARM_HC_2,CARM_NC_2,CARM_SC_2,CARM_HT_2,CARM_NT_2,CARM_ST_2,CARM_NTC_2,CARM_HC_3,CARM_NC_3,CARM_SC_3,CARM_HT_3,CARM_NT_3,CARM_ST_3,CARM_NTC_3,CARM_HC_4,CARM_NC_4,CARM_SC_4,CARM_HT_4,CARM_NT_4,CARM_ST_4,CARM_NTC_4,CARM_HC_5,CARM_NC_5,CARM_SC_5,CARM_HT_5,CARM_NT_5,CARM_ST_5,CARM_HC_6,CARM_NC_6,CARM_SC_6,CARM_HT_6,CARM_NT_6,CARM_ST_6,CARM_HC_7,CARM_NC_7,CARM_SC_7,CARM_HT_7,CARM_NT_7,CARM_ST_7,CARM_HC_8,CARM_NC_8,CARM_SC_8,CARM_HT_8,CARM_NT_8,CARM_ST_8
18,3296.685018,3368.565426,3325.771237,3384.755358,3367.127265,3406.909038,3292.254477,3455.217641,3494.290841,3378.344232,3331.744025,3497.481377,3443.344144,3290.836352,3443.990657,3714.884017,3423.004902,3275.344976,3544.873232,3343.253217,3263.856796,3427.102168,3415.791132,3436.411605,3372.818823,3566.400435,3577.888615,3431.125401,3265.326965,3346.902127,3312.197407,3222.417694,3406.376631,3328.043071,3526.22235,3634.809076,3355.419917,3271.383804,3382.274373,3332.619724,3229.194102,3246.739121,3249.491319,3407.409438,3426.653812,3335.15373,3197.053441,3193.800844,3198.085271,3209.094064,3318.660577,3258.956887
19,3303.076705,3366.116079,3328.534054,3386.726538,3365.490579,3408.503945,3302.263067,3460.118176,3498.648957,3381.711545,3329.138541,3503.371724,3448.629995,3294.287702,3443.720066,3720.148904,3429.770935,3276.221267,3546.468164,3342.670347,3269.925222,3428.78113,3418.022535,3434.483684,3376.582448,3568.225535,3573.146459,3432.231885,3266.109185,3347.622301,3314.324705,3226.890843,3409.244527,3332.964595,3526.827474,3638.729857,3360.778807,3276.680618,3377.677317,3330.368527,3232.467319,3250.752923,3252.66143,3409.483732,3427.352987,3333.120726,3205.800997,3191.039204,3200.410704,3211.565612,3316.191186,3259.687062
20,3299.375154,3372.151297,3333.391336,3392.24034,3373.350253,3412.017122,3298.561516,3463.140962,3499.608076,3385.819196,3330.138739,3498.575268,3451.100339,3296.883174,3448.421197,3721.753518,3433.867581,3278.608568,3554.891243,3344.567255,3271.623009,3433.482264,3425.245705,3441.373576,3377.562602,3570.184464,3579.379796,3435.431819,3278.503504,3353.241175,3320.068684,3230.882462,3412.090178,3332.453576,3528.933499,3642.534241,3364.718359,3274.010902,3377.249363,3335.288848,3234.54139,3256.69507,3254.70349,3410.08858,3428.603367,3336.81106,3211.314832,3199.232183,3205.675318,3216.016585,3316.930191,3262.428654
21,3309.884145,3377.490156,3335.924968,3397.579202,3376.687512,3414.446681,3303.263866,3465.85176,3512.232807,3397.109833,3335.13332,3500.973812,3455.989878,3295.070309,3452.61218,3726.382888,3445.377396,3285.103363,3565.629467,3346.704576,3270.706852,3440.508516,3430.500521,3453.081549,3385.985956,3573.062407,3583.72791,3433.221689,3282.841546,3359.693956,3320.976014,3234.615031,3418.418848,3335.268438,3531.779428,3651.573125,3378.011568,3282.497277,3386.538399,3337.781432,3239.045572,3263.920425,3260.698857,3422.88042,3431.814559,3344.442759,3218.258947,3204.779184,3213.16088,3220.18749,3318.995428,3268.424022
22,3317.994029,3384.901471,3348.528426,3398.099023,3387.528569,3420.158634,3302.76287,3474.014637,3528.067818,3404.792357,3345.620097,3506.915914,3458.293096,3295.204831,3473.326098,3739.267506,3457.209222,3292.671803,3587.73046,3350.54102,3273.229272,3452.049095,3445.022487,3466.810885,3388.821594,3581.350364,3585.332548,3434.503099,3300.270889,3367.293413,3338.614502,3239.462313,3423.536332,3334.632318,3532.581433,3664.114465,3392.178279,3289.658409,3383.119041,3338.072077,3251.982322,3282.903014,3268.891823,3437.578553,3441.196433,3347.861878,3234.208116,3211.429914,3220.4051,3227.327621,3323.060087,3272.467678
23,3332.599688,3400.205686,3358.672514,3405.407839,3399.621235,3436.286506,3308.60054,3489.558057,3552.076984,3431.230465,3362.810829,3508.719357,3470.261639,3301.44981,3494.00961,3758.919188,3481.499619,3299.718446,3628.836288,3352.167319,3276.898218,3475.129541,3478.309082,3501.525623,3398.078988,3595.966041,3601.897781,3434.148812,3323.821682,3387.84083,3364.155898,3250.929479,3435.973267,3339.927563,3538.023768,3684.849043,3424.265919,3297.373556,3393.866639,3345.369898,3277.972074,3313.53148,3288.522492,3452.559512,3451.548695,3363.488372,3263.148222,3229.86065,3242.422685,3237.460714,3328.38734,3281.568941
24,3362.206343,3433.857564,3388.362243,3412.923852,3423.172027,3454.060711,3308.44441,3514.838257,3603.763284,3490.277626,3396.097425,3520.958136,3497.616495,3305.911381,3539.98334,3801.901515,3538.534185,3323.748625,3710.921869,3358.713563,3275.365988,3518.862468,3534.604044,3561.646639,3417.219275,3617.264058,3619.588912,3435.326755,3376.57182,3427.081155,3413.747508,3275.929427,3459.335921,3343.93076,3539.942292,3735.983877,3485.116521,3311.874151,3404.062771,3356.921116,3317.837898,3372.558605,3324.343094,3494.822271,3471.157374,3388.404269,3327.688784,3270.591179,3278.639599,3259.520325,3334.455174,3304.0449
25,3407.221299,3497.866695,3442.384393,3431.771913,3479.455994,3489.829269,3312.197407,3563.085776,3702.374026,3594.568929,3459.888364,3537.804598,3540.379653,3304.034882,3632.901547,3879.275324,3643.28484,3361.382687,3868.297562,3370.994367,3277.0133,3606.203222,3647.351076,3684.849043,3458.429191,3662.300027,3664.457756,3441.529707,3478.903551,3499.138707,3510.741968,3318.119129,3499.805255,3348.403326,3543.465125,3828.005372,3607.70442,3345.067654,3429.687241,3374.570221,3406.001331,3487.806658,3399.705287,3578.065758,3515.370665,3433.137995,3445.731061,3343.139112,3351.645906,3309.383148,3349.321051,3338.791646
26,3509.491603,3612.541944,3540.651505,3466.988655,3578.942104,3569.903878,3314.731035,3660.945602,3895.257787,3799.920639,3582.768159,3572.499946,3630.327148,3306.068109,3814.651401,4026.164365,3846.572898,3433.774133,4179.046508,3399.288575,3281.51749,3772.628817,3868.3613,3920.110649,3530.758593,3760.003741,3748.400477,3443.448854,3679.606506,3640.115974,3695.21199,3401.436287,3578.754943,3363.802219,3556.310011,4010.516855,3841.360726,3402.728335,3467.22786,3415.186285,3578.389661,3705.219985,3534.08327,3727.4047,3594.736705,3523.012414,3670.838515,3482.062709,3492.498047,3403.86523,3375.748774,3413.518938
27,3701.603082,3839.723432,3731.971337,3530.820654,3775.974507,3708.993996,3319.651958,3854.381137,4271.058001,4188.336155,3822.605753,3637.781101,3802.089363,3313.302892,4162.752241,4314.66608,4236.592479,3585.76054,4767.225368,3448.150608,3291.837746,4108.021995,4284.464707,4374.96425,3680.18998,3942.607624,3906.026399,3443.876197,4059.169736,3919.319,4048.776424,3557.174715,3733.315428,3387.404081,3579.088217,4356.522271,4289.520992,3518.477786,3559.416496,3487.181788,3903.597457,4112.034966,3800.358977,4031.355524,3745.836417,3702.603882,4104.424883,3762.068378,3763.048165,3585.833596,3428.571979,3553.307612
28,4075.62013,4282.837634,4105.248042,3661.487366,4154.171882,3984.776579,3331.577876,4221.027036,4972.679617,4930.73987,4284.473706,3769.750837,4129.881486,3320.579101,4812.426625,4874.612522,4967.863759,3871.352004,5840.372631,3539.837228,3299.625354,4735.272229,5069.100377,5228.520183,3968.961946,4298.641272,4210.289456,3448.921597,4760.218912,4440.140516,4701.599339,3861.083793,4038.610591,3432.043126,3618.640157,5018.227225,5119.348517,3740.945848,3726.664422,3630.18038,4515.575765,4827.449854,4307.940691,4585.881917,4043.573539,4046.909211,4899.028019,4277.426085,4273.944301,3936.331881,3524.074638,3827.734159
29,4773.875815,5103.701254,4800.522097,3907.9342,4858.463394,4510.467681,3339.990601,4911.016598,6228.432569,6223.512624,5126.240252,4024.808552,4759.3955,3342.961969,5967.589471,5888.714463,6262.960145,4406.759851,7641.269966,3722.421043,3318.671572,5876.297319,6457.470479,6721.754801,4519.557949,4976.859713,4799.113746,3452.695607,5980.871075,5387.886236,5860.305543,4435.323192,4603.072405,3526.441519,3706.241128,6203.933998,6540.181558,4168.319412,4051.757077,3906.88038,5598.825707,5599.472219,5233.356566,5587.598967,4596.286223,4688.848921,6253.380717,5216.092777,5207.555197,4585.808617,3724.578772,4346.534504
