File Name,admin_2015-06-23 11-01-39_CC009827.pcrd
Created By User,admin
Notes,
ID,
Run Started,06/23/2015 18:01:50 UTC
Run Ended,06/23/2015 21:28:20 UTC
Sample Vol,20
Lid Temp,105
Protocol File Name,Jake_CFX_3StepAmp+Melt.prcl
Plate Setup File Name,QuickPlate_96 wells_All Channels_White.pltd
Base Serial Number,CC009827
Optical Head Serial Number,785BR3659
CFX Manager Version,3.1.1517.0823. 
