Sample ID	User ID	Date	Time	ng/ul	A260	A280	260/280	260/230	Constant	Cursor Pos.	Cursor abs.	340 raw	Measurement Type	Serial #	Config.	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299	300	301	302	303	304	305	306	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	322	323	324	325	326	327	328	329	330	331	332	333	334	335	336	337	338	339	340	341	342	343	344	345	346	347	348	349	350
HL10	 Default 	 5/7/2015 	 10:26 AM 	  96.08 	  1.922 	  0.966 	   1.99 	   2.20 	  50.00 	  230 	  0.875 	  0.029 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	1.125	1.055	1.036	0.980	0.942	0.913	0.906	0.884	0.869	0.876	0.875	0.880	0.876	0.887	0.897	0.920	0.952	0.991	1.037	1.113	1.186	1.229	1.291	1.349	1.412	1.477	1.536	1.568	1.621	1.665	1.690	1.735	1.777	1.808	1.853	1.881	1.897	1.919	1.936	1.930	1.922	1.907	1.898	1.876	1.835	1.799	1.736	1.687	1.652	1.608	1.558	1.520	1.466	1.414	1.355	1.311	1.237	1.158	1.102	1.032	0.966	0.924	0.855	0.788	0.740	0.681	0.618	0.572	0.505	0.453	0.396	0.356	0.310	0.264	0.238	0.200	0.166	0.148	0.128	0.108	0.088	0.077	0.061	0.050	0.046	0.033	0.029	0.021	0.020	0.018	0.014	0.012	0.014	0.017	0.012	0.014	0.009	0.010	0.008	0.005	0.007	0.004	0.003	0.006	0.004	0.005	0.008	0.003	0.000	0.001	0.001	0.002	0.003	0.004	0.007	0.006	0.007	0.007	0.005	0.002	0.000	0.000	-0.003	-0.002	-0.005	-0.003	-0.005	-0.003	0.002	0.004	0.004
HL11	 Default 	 5/7/2015 	 10:27 AM 	 192.30 	  3.846 	  1.951 	   1.97 	   2.28 	  50.00 	  230 	  1.689 	  0.081 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	2.063	2.009	1.919	1.869	1.794	1.737	1.723	1.703	1.688	1.687	1.689	1.699	1.700	1.726	1.766	1.814	1.880	1.979	2.070	2.220	2.366	2.437	2.547	2.677	2.791	2.934	3.048	3.119	3.217	3.315	3.373	3.455	3.546	3.598	3.681	3.734	3.774	3.826	3.862	3.858	3.846	3.819	3.799	3.747	3.673	3.589	3.463	3.350	3.281	3.185	3.085	3.015	2.904	2.800	2.680	2.599	2.464	2.320	2.221	2.082	1.951	1.866	1.727	1.591	1.502	1.378	1.254	1.166	1.032	0.924	0.816	0.740	0.638	0.545	0.486	0.405	0.342	0.304	0.258	0.218	0.182	0.158	0.131	0.107	0.095	0.074	0.060	0.041	0.039	0.032	0.023	0.023	0.023	0.027	0.027	0.027	0.019	0.024	0.022	0.015	0.014	0.008	0.007	0.005	-0.002	-0.004	-0.002	-0.005	-0.006	-0.008	-0.009	-0.009	-0.007	-0.006	-0.004	-0.003	-0.003	0.001	-0.001	0.000	0.000	-0.001	-0.004	-0.003	-0.006	-0.008	-0.008	-0.009	-0.008	-0.011	-0.015
HL12	 Default 	 5/7/2015 	 10:28 AM 	  58.12 	  1.162 	  0.584 	   1.99 	   2.15 	  50.00 	  230 	  0.542 	  0.047 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	0.751	0.658	0.621	0.598	0.571	0.547	0.553	0.543	0.528	0.539	0.542	0.535	0.543	0.550	0.549	0.562	0.576	0.600	0.637	0.692	0.736	0.753	0.786	0.819	0.861	0.898	0.929	0.952	0.979	1.003	1.015	1.049	1.067	1.087	1.115	1.125	1.132	1.157	1.172	1.164	1.162	1.143	1.138	1.127	1.104	1.075	1.040	1.011	0.991	0.968	0.944	0.920	0.884	0.852	0.822	0.794	0.748	0.704	0.668	0.623	0.584	0.561	0.514	0.477	0.447	0.405	0.372	0.345	0.303	0.267	0.233	0.205	0.176	0.146	0.130	0.107	0.090	0.081	0.067	0.059	0.048	0.043	0.035	0.028	0.029	0.018	0.014	0.009	0.012	0.014	0.011	0.009	0.010	0.014	0.012	0.011	0.004	0.004	0.006	0.003	0.003	0.002	0.005	0.005	0.005	0.006	0.008	0.005	0.005	0.003	0.003	0.004	0.003	0.005	0.007	0.003	0.005	0.010	0.005	0.003	0.000	-0.002	-0.005	0.000	-0.002	-0.001	0.002	0.002	0.003	-0.001	-0.007
HL13	 Default 	 5/7/2015 	 10:29 AM 	  43.74 	  0.875 	  0.451 	   1.94 	   2.08 	  50.00 	  230 	  0.421 	  0.015 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	0.797	0.691	0.642	0.579	0.531	0.471	0.459	0.444	0.433	0.427	0.421	0.417	0.412	0.415	0.415	0.431	0.435	0.461	0.494	0.528	0.562	0.574	0.599	0.620	0.646	0.677	0.698	0.715	0.736	0.756	0.764	0.784	0.806	0.815	0.829	0.843	0.849	0.865	0.880	0.877	0.875	0.867	0.861	0.853	0.840	0.826	0.800	0.779	0.770	0.755	0.734	0.715	0.689	0.667	0.640	0.620	0.581	0.542	0.517	0.482	0.451	0.430	0.392	0.361	0.339	0.308	0.282	0.265	0.231	0.209	0.187	0.171	0.151	0.131	0.120	0.102	0.090	0.082	0.069	0.061	0.053	0.048	0.038	0.033	0.033	0.023	0.018	0.011	0.010	0.012	0.012	0.015	0.015	0.025	0.025	0.025	0.022	0.023	0.021	0.017	0.016	0.013	0.015	0.012	0.014	0.015	0.015	0.008	0.008	0.007	0.008	0.008	0.009	0.009	0.014	0.012	0.011	0.015	0.007	0.003	0.000	0.000	-0.002	0.002	0.002	0.005	0.010	0.012	0.017	0.012	0.004
HL14	 Default 	 5/7/2015 	 10:30 AM 	 127.92 	  2.558 	  1.275 	   2.01 	   2.35 	  50.00 	  230 	  1.090 	  0.030 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	1.515	1.412	1.349	1.274	1.218	1.169	1.137	1.117	1.091	1.093	1.090	1.091	1.094	1.113	1.126	1.163	1.212	1.283	1.342	1.451	1.543	1.584	1.665	1.743	1.814	1.910	1.987	2.035	2.104	2.168	2.208	2.266	2.323	2.365	2.428	2.472	2.493	2.546	2.565	2.560	2.558	2.535	2.518	2.483	2.429	2.364	2.284	2.218	2.164	2.101	2.038	1.989	1.915	1.851	1.774	1.714	1.624	1.520	1.454	1.362	1.275	1.217	1.126	1.040	0.982	0.905	0.819	0.757	0.667	0.594	0.517	0.465	0.394	0.331	0.295	0.241	0.197	0.170	0.142	0.113	0.091	0.073	0.058	0.049	0.046	0.026	0.014	0.006	0.005	0.000	-0.005	-0.006	-0.005	0.004	0.006	0.006	0.008	0.009	0.006	0.000	-0.003	-0.005	-0.006	-0.007	-0.014	-0.015	-0.015	-0.017	-0.018	-0.020	-0.020	-0.021	-0.019	-0.017	-0.010	-0.009	-0.006	-0.002	-0.003	-0.002	0.000	-0.001	-0.002	0.000	-0.006	-0.009	-0.009	-0.007	-0.004	-0.005	-0.009
HL15	 Default 	 5/7/2015 	 10:31 AM 	  28.71 	  0.574 	  0.305 	   1.88 	   2.01 	  50.00 	  230 	  0.285 	  0.015 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	0.499	0.429	0.421	0.388	0.367	0.320	0.305	0.295	0.285	0.289	0.285	0.281	0.278	0.275	0.283	0.289	0.286	0.298	0.323	0.339	0.369	0.379	0.397	0.405	0.427	0.443	0.452	0.466	0.475	0.487	0.492	0.511	0.523	0.535	0.552	0.559	0.564	0.571	0.579	0.574	0.574	0.566	0.563	0.557	0.550	0.539	0.521	0.506	0.495	0.488	0.473	0.460	0.437	0.428	0.410	0.402	0.373	0.351	0.337	0.319	0.305	0.292	0.272	0.250	0.237	0.215	0.197	0.182	0.154	0.138	0.120	0.107	0.099	0.088	0.082	0.065	0.053	0.047	0.038	0.031	0.025	0.018	0.014	0.015	0.016	0.002	-0.002	-0.008	-0.012	-0.013	-0.015	-0.015	-0.015	-0.003	-0.002	-0.001	-0.001	0.004	0.002	-0.002	-0.002	-0.003	-0.004	-0.002	-0.006	-0.006	-0.006	-0.010	-0.008	-0.011	-0.011	-0.014	-0.009	-0.007	-0.002	-0.001	-0.001	0.004	0.003	0.002	0.000	-0.002	-0.006	-0.006	-0.009	-0.009	-0.010	-0.009	-0.008	-0.008	-0.013
HL16	 Default 	 5/7/2015 	 10:32 AM 	  98.46 	  1.969 	  0.978 	   2.01 	   2.30 	  50.00 	  230 	  0.858 	  0.012 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	1.140	1.049	0.999	0.972	0.918	0.893	0.869	0.860	0.845	0.850	0.858	0.856	0.859	0.863	0.890	0.915	0.953	1.005	1.058	1.137	1.212	1.253	1.312	1.367	1.424	1.499	1.556	1.594	1.643	1.687	1.717	1.768	1.812	1.836	1.887	1.917	1.928	1.962	1.975	1.975	1.969	1.954	1.942	1.922	1.881	1.839	1.777	1.718	1.677	1.632	1.582	1.541	1.481	1.426	1.365	1.323	1.250	1.165	1.112	1.039	0.978	0.933	0.868	0.801	0.758	0.693	0.629	0.586	0.519	0.461	0.401	0.361	0.306	0.261	0.232	0.188	0.157	0.139	0.114	0.095	0.077	0.063	0.053	0.040	0.036	0.021	0.014	0.005	0.003	0.000	-0.005	-0.006	-0.007	0.000	0.001	-0.001	-0.004	-0.001	-0.004	-0.004	-0.002	-0.004	-0.003	-0.001	-0.001	0.001	0.002	-0.002	-0.005	-0.005	-0.008	-0.010	-0.009	-0.006	-0.002	-0.002	0.000	0.003	0.003	0.003	0.000	0.002	-0.001	0.002	-0.004	-0.005	-0.005	-0.002	0.000	-0.003	-0.004
HL17	 Default 	 5/7/2015 	 10:33 AM 	  73.78 	  1.476 	  0.724 	   2.04 	   2.32 	  50.00 	  230 	  0.635 	  0.037 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	0.942	0.851	0.798	0.753	0.707	0.680	0.653	0.637	0.623	0.631	0.635	0.632	0.636	0.644	0.660	0.677	0.696	0.719	0.764	0.832	0.890	0.921	0.964	1.012	1.060	1.118	1.157	1.184	1.223	1.257	1.280	1.318	1.350	1.370	1.407	1.426	1.443	1.470	1.479	1.475	1.476	1.464	1.455	1.435	1.393	1.356	1.306	1.257	1.232	1.194	1.165	1.137	1.097	1.062	1.015	0.984	0.927	0.870	0.826	0.773	0.724	0.691	0.638	0.590	0.555	0.510	0.464	0.429	0.378	0.339	0.299	0.271	0.235	0.198	0.176	0.140	0.113	0.101	0.084	0.067	0.056	0.046	0.039	0.032	0.031	0.020	0.016	0.007	0.002	0.001	-0.003	-0.001	0.001	0.007	0.005	0.004	0.002	0.000	-0.002	-0.004	-0.004	-0.007	-0.006	-0.006	-0.006	-0.003	0.000	-0.007	-0.010	-0.010	-0.010	-0.008	-0.006	-0.006	-0.001	0.001	0.003	0.006	0.002	-0.001	0.000	-0.001	-0.005	-0.008	-0.012	-0.011	-0.010	-0.010	-0.008	-0.008	-0.011
HL18	 Default 	 5/7/2015 	 10:34 AM 	  66.94 	  1.339 	  0.668 	   2.00 	   2.22 	  50.00 	  230 	  0.604 	  0.044 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	0.806	0.778	0.714	0.685	0.665	0.623	0.620	0.615	0.612	0.609	0.604	0.598	0.603	0.617	0.622	0.640	0.663	0.699	0.740	0.786	0.827	0.852	0.896	0.931	0.969	1.013	1.049	1.077	1.116	1.145	1.161	1.197	1.225	1.245	1.277	1.297	1.302	1.325	1.336	1.335	1.339	1.325	1.314	1.297	1.277	1.244	1.197	1.154	1.130	1.098	1.070	1.042	0.998	0.967	0.928	0.901	0.853	0.803	0.765	0.713	0.668	0.640	0.589	0.539	0.507	0.461	0.416	0.388	0.344	0.308	0.272	0.245	0.214	0.186	0.170	0.141	0.116	0.105	0.085	0.071	0.054	0.046	0.038	0.032	0.033	0.024	0.023	0.016	0.019	0.018	0.016	0.015	0.014	0.017	0.015	0.016	0.010	0.012	0.009	0.009	0.008	0.006	0.005	0.004	0.002	0.004	0.004	-0.003	-0.004	-0.006	-0.006	-0.001	-0.002	-0.002	0.001	0.003	0.004	0.009	0.006	0.000	0.000	-0.002	-0.007	-0.004	-0.006	-0.003	-0.002	0.000	0.002	0.003	-0.004
HL19	 Default 	 5/7/2015 	 10:35 AM 	 287.52 	  5.750 	  2.813 	   2.04 	   2.34 	  50.00 	  230 	  2.453 	  0.019 	 Measure 	 USB2G24694BA582 	 0.992095/0.42/128/24 	2.956	2.837	2.750	2.672	2.553	2.469	2.468	2.455	2.444	2.443	2.453	2.478	2.500	2.548	2.623	2.683	2.798	2.951	3.092	3.329	3.536	3.654	3.818	4.022	4.183	4.389	4.560	4.665	4.805	4.949	5.041	5.156	5.291	5.377	5.500	5.595	5.658	5.737	5.775	5.774	5.750	5.704	5.665	5.589	5.463	5.344	5.147	4.992	4.888	4.735	4.586	4.470	4.289	4.122	3.938	3.808	3.601	3.372	3.221	3.008	2.813	2.688	2.487	2.289	2.157	1.980	1.799	1.673	1.490	1.327	1.169	1.056	0.900	0.762	0.677	0.562	0.469	0.416	0.346	0.287	0.233	0.198	0.158	0.121	0.104	0.077	0.054	0.038	0.030	0.024	0.018	0.016	0.014	0.021	0.021	0.018	0.015	0.018	0.013	0.008	0.007	0.004	0.003	0.003	0.003	0.005	0.006	0.002	-0.001	-0.002	0.000	-0.002	0.001	0.002	0.006	0.006	0.011	0.014	0.009	0.006	0.000	0.003	-0.003	-0.001	-0.004	-0.004	-0.003	-0.001	0.003	-0.003	-0.008
