Sample,Number,Size (mm),Weight (g in shell),Observations,Tissue Type,Storage,Room
1219133S5-8,4,12,0.25,,Whole Body,-20 Bottom,FTR 209
1219133S5-8,5,12,0.17,,Whole Body,-20 Bottom,FTR 209
1219133S5-8,6,9,0.11,,Whole Body,-20 Bottom,FTR 209
1219133S5-8,7,13,0.18,,Whole Body,-20 Bottom,FTR 209
1219133S5-8,8,13,0.15,,Whole Body,-20 Bottom,FTR 209
1219133S5-8,9,8,0.09,,Whole Body,-20 Bottom,FTR 209
1219133S5-8,10,18,0.56,,Whole Body,-20 Bottom,FTR 209
1219133S5-8,11,14,0.26,,Whole Body,-20 Bottom,FTR 209
1219133S5-8,12,14,0.23,,Whole Body,-20 Bottom,FTR 209
1219133S5-8,13,15,0.24,,Whole Body,-20 Bottom,FTR 209
1219133S5-8,14,14,0.21,,Whole Body,-20 Bottom,FTR 209
1219133S5-8,15,12,0.25,,Whole Body,-20 Bottom,FTR 209
1219133S5-8,16,10,0.12,,Whole Body,-20 Bottom,FTR 209
1219133S9-12,1,18,0.95,,Whole Body,-20 Bottom,FTR 209
1219133S9-12,2,11,0.13,,Whole Body,-20 Bottom,FTR 209
1219133S9-12,3,16,0.23,,Whole Body,-20 Bottom,FTR 209
1219133S9-12,4,11,0.16,,Whole Body,-20 Bottom,FTR 209
1219133S9-12,5,10,0.1,,Whole Body,-20 Bottom,FTR 209
1219133S9-12,6,19,0.41,,Whole Body,-20 Bottom,FTR 209
1219133S9-12,7,21,0.75,,Whole Body,-20 Bottom,FTR 209
1219133S9-12,8,14,0.2,,Whole Body,-20 Bottom,FTR 209
1219133S9-12,9,12,0.1,,Whole Body,-20 Bottom,FTR 209
1219133S9-12,10,17,0.44,,Whole Body,-20 Bottom,FTR 209
1219133S9-12,11,21,0.49,,Whole Body,-20 Bottom,FTR 209
1219133S9-12,12,8,0.08,,Whole Body,-20 Bottom,FTR 209
1219133S9-12,13,12,0.19,,Whole Body,-20 Bottom,FTR 209
1219133S9-12,14,12,0.17,,Whole Body,-20 Bottom,FTR 209
1219133S9-12,15,7,0.08,,Whole Body,-20 Bottom,FTR 209
1219133S9-12,16,9,0.08,,Whole Body,-20 Bottom,FTR 209
1219133S13-16,1,17,0.97,,Whole Body,-20 Bottom,FTR 209
1219133S13-16,2,19,0.47,,Whole Body,-20 Bottom,FTR 209
1219133S13-16,3,21,0.55,Dead,Whole Body,-20 Bottom,FTR 209
1219133S13-16,4,18,0.3,Dead,Whole Body,-20 Bottom,FTR 209
1219133S13-16,5,21,0.69,,Whole Body,-20 Bottom,FTR 209
1219133S13-16,6,16,0.65,,Whole Body,-20 Bottom,FTR 209
1219133S13-16,7,15,0.45,,Whole Body,-20 Bottom,FTR 209
1219133S13-16,8,14,0.21,,Whole Body,-20 Bottom,FTR 209
1219133S13-16,9,12,0.3,,Whole Body,-20 Bottom,FTR 209
1219133S13-16,10,18,0.35,,Whole Body,-20 Bottom,FTR 209
1219133S13-16,11,15,0.28,,Whole Body,-20 Bottom,FTR 209
1219133S13-16,12,13,0.19,,Whole Body,-20 Bottom,FTR 209
1219133S13-16,13,13,0.15,,Whole Body,-20 Bottom,FTR 209
1219133S13-16,14,13,0.25,,Whole Body,-20 Bottom,FTR 209
1219133S13-16,15,12,0.16,Dead,Whole Body,-20 Bottom,FTR 209
1219133S13-16,16,,,Dead,Whole Body,-20 Bottom,FTR 209
,,,,,,,
1219133H1-4,1,12,0.23,,Whole Body,-20 Bottom,FTR 209
1219133H1-4,2,13,0.14,,Whole Body,-20 Bottom,FTR 209
1219133H1-4,3,11,0.14,,Whole Body,-20 Bottom,FTR 209
1219133H1-4,4,12,0.21,,Whole Body,-20 Bottom,FTR 209
1219133H1-4,5,16,0.34,,Whole Body,-20 Bottom,FTR 209
1219133H1-4,6,11,0.13,,Whole Body,-20 Bottom,FTR 209
1219133H1-4,7,12,0.17,,Whole Body,-20 Bottom,FTR 209
1219133H1-4,8,12,0.18,,Whole Body,-20 Bottom,FTR 209
1219133H1-4,9,10,0.14,,Whole Body,-20 Bottom,FTR 209
1219133H1-4,10,14,0.28,,Whole Body,-20 Bottom,FTR 209
1219133H1-4,11,13,0.23,,Whole Body,-20 Bottom,FTR 209
1219133H1-4,12,12,0.2,,Whole Body,-20 Bottom,FTR 209
1219133H1-4,13,14,0.24,,Whole Body,-20 Bottom,FTR 209
1219133H1-4,14,11,0.12,,Whole Body,-20 Bottom,FTR 209
1219133H1-4,15,9,0.11,,Whole Body,-20 Bottom,FTR 209
1219133H1-4,16,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133H5-8,1,8,0.12,,Whole Body,-20 Bottom,FTR 209
1219133H5-8,2,11,0.15,,Whole Body,-20 Bottom,FTR 209
1219133H5-8,3,8,0.1,,Whole Body,-20 Bottom,FTR 209
1219133H5-8,4,11,0.12,Dead,Whole Body,-20 Bottom,FTR 209
1219133H5-8,5,10,0.12,,Whole Body,-20 Bottom,FTR 209
1219133H5-8,6,11,0.16,,Whole Body,-20 Bottom,FTR 209
1219133H5-8,7,13,0.21,,Whole Body,-20 Bottom,FTR 209
1219133H5-8,8,15,0.17,,Whole Body,-20 Bottom,FTR 209
1219133H5-8,9,9,0.08,,Whole Body,-20 Bottom,FTR 209
1219133H5-8,10,12,0.17,,Whole Body,-20 Bottom,FTR 209
1219133H5-8,11,9,0.09,,Whole Body,-20 Bottom,FTR 209
1219133H5-8,12,12,0.2,,Whole Body,-20 Bottom,FTR 209
1219133H5-8,13,13,0.16,,Whole Body,-20 Bottom,FTR 209
1219133H5-8,14,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133H5-8,15,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133H5-8,16,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133H9-12,1,16,0.4,,Whole Body,-20 Bottom,FTR 209
1219133H9-12,2,13,0.27,,Whole Body,-20 Bottom,FTR 209
1219133H9-12,3,14,0.19,,Whole Body,-20 Bottom,FTR 209
1219133H9-12,4,10,0.1,,Whole Body,-20 Bottom,FTR 209
1219133H9-12,5,14,0.26,,Whole Body,-20 Bottom,FTR 209
1219133H9-12,6,12,0.22,,Whole Body,-20 Bottom,FTR 209
1219133H9-12,7,15,0.19,,Whole Body,-20 Bottom,FTR 209
1219133H9-12,8,11,0.21,,Whole Body,-20 Bottom,FTR 209
1219133H9-12,9,11,0.11,,Whole Body,-20 Bottom,FTR 209
1219133H9-12,10,13,0.22,,Whole Body,-20 Bottom,FTR 209
1219133H9-12,11,17,0.25,,Whole Body,-20 Bottom,FTR 209
1219133H9-12,12,10,0.1,,Whole Body,-20 Bottom,FTR 209
1219133H9-12,13,12,0.12,,Whole Body,-20 Bottom,FTR 209
1219133H9-12,14,12,0.16,,Whole Body,-20 Bottom,FTR 209
1219133H9-12,15,13,0.24,,Whole Body,-20 Bottom,FTR 209
1219133H9-12,16,15,0.21,,Whole Body,-20 Bottom,FTR 209
1219133H13-16,1,7,0.06,,Whole Body,-20 Bottom,FTR 209
1219133H13-16,2,15,0.35,,Whole Body,-20 Bottom,FTR 209
1219133H13-16,3,14,0.26,,Whole Body,-20 Bottom,FTR 209
1219133H13-16,4,13,0.37,,Whole Body,-20 Bottom,FTR 209
1219133H13-16,5,15,0.32,,Whole Body,-20 Bottom,FTR 209
1219133H13-16,6,14,0.26,,Whole Body,-20 Bottom,FTR 209
1219133H13-16,7,20,0.59,,Whole Body,-20 Bottom,FTR 209
1219133H13-16,8,16,0.38,,Whole Body,-20 Bottom,FTR 209
1219133H13-16,9,11,0.1,,Whole Body,-20 Bottom,FTR 209
1219133H13-16,10,18,0.43,,Whole Body,-20 Bottom,FTR 209
1219133H13-16,11,13,0.17,,Whole Body,-20 Bottom,FTR 209
1219133H13-16,12,13,0.21,,Whole Body,-20 Bottom,FTR 209
1219133H13-16,13,18,0.43,,Whole Body,-20 Bottom,FTR 209
1219133H13-16,14,13,0.21,,Whole Body,-20 Bottom,FTR 209
1219133H13-16,15,16,0.28,,Whole Body,-20 Bottom,FTR 209
1219133H13-16,16,13,0.2,,Whole Body,-20 Bottom,FTR 209
Sample,#,Size,Weight,,,,
129143N5-8,1,12,0.23,,Whole Body,-20 Bottom,FTR 209
,2,15,0.38,,Whole Body,-20 Bottom,FTR 209
,3,14,0.27,,Whole Body,-20 Bottom,FTR 209
,4,22,0.53,,Whole Body,-20 Bottom,FTR 209
,5,18,0.61,,Whole Body,-20 Bottom,FTR 209
,6,13,0.20,,Whole Body,-20 Bottom,FTR 209
,7,16,0.37,,Whole Body,-20 Bottom,FTR 209
,8,18,0.53,,Whole Body,-20 Bottom,FTR 209
,9,11,0.15,,Whole Body,-20 Bottom,FTR 209
,10,0,0.00,,Whole Body,-20 Bottom,FTR 209
,,,,,,,
129143N9-12,1,20,0.78,,Whole Body,-20 Bottom,FTR 209
,2,15,0.29,,Whole Body,-20 Bottom,FTR 209
,3,10,0.12,,Whole Body,-20 Bottom,FTR 209
,4,9,0.08,,Whole Body,-20 Bottom,FTR 209
,5,13,0.22,,Whole Body,-20 Bottom,FTR 209
,6,22,1.00,,Whole Body,-20 Bottom,FTR 209
,7,0,0.00,,Whole Body,-20 Bottom,FTR 209
,8,0,0.00,,Whole Body,-20 Bottom,FTR 209
,9,0,0.00,,Whole Body,-20 Bottom,FTR 209
,10,0,0.00,,Whole Body,-20 Bottom,FTR 209
,,,,,,,
129143N13-16,1,21,0.95,,Whole Body,-20 Bottom,FTR 209
,2,16,0.35,,Whole Body,-20 Bottom,FTR 209
,3,19,0.61,,Whole Body,-20 Bottom,FTR 209
,4,15,0.40,,Whole Body,-20 Bottom,FTR 209
,5,15,0.38,,Whole Body,-20 Bottom,FTR 209
,6,18,0.60,,Whole Body,-20 Bottom,FTR 209
,7,15,0.45,,Whole Body,-20 Bottom,FTR 209
,8,,,,Whole Body,-20 Bottom,FTR 209
,9,,,,Whole Body,-20 Bottom,FTR 209
,10,,,,Whole Body,-20 Bottom,FTR 209
,,,,,,,
,,,,,,,
129143S1-4,1,18,0.52,,Whole Body,-20 Bottom,FTR 209
,2,21,0.86,,Whole Body,-20 Bottom,FTR 209
,3,12,0.18,,Whole Body,-20 Bottom,FTR 209
,4,13,0.30,,Whole Body,-20 Bottom,FTR 209
,5,17,0.57,,Whole Body,-20 Bottom,FTR 209
,6,16,0.48,,Whole Body,-20 Bottom,FTR 209
,7,14,0.31,,Whole Body,-20 Bottom,FTR 209
,8,,,,Whole Body,-20 Bottom,FTR 209
,9,15,0.34,,Whole Body,-20 Bottom,FTR 209
,10,11,0.19,,Whole Body,-20 Bottom,FTR 209
,,,,,,,
129143S5-8,1,14,0.18,,Whole Body,-20 Bottom,FTR 209
,2,15,0.40,,Whole Body,-20 Bottom,FTR 209
,3,26,0.75,,Whole Body,-20 Bottom,FTR 209
,4,13,0.35,,Whole Body,-20 Bottom,FTR 209
,5,14,0.35,,Whole Body,-20 Bottom,FTR 209
,6,17,0.35,,Whole Body,-20 Bottom,FTR 209
,7,16,0.39,,Whole Body,-20 Bottom,FTR 209
,8,17,0.52,,Whole Body,-20 Bottom,FTR 209
,9,11,0.25,,Whole Body,-20 Bottom,FTR 209
,10,,,,Whole Body,-20 Bottom,FTR 209
,,,,,,,
129143S9-12,1,13,0.21,,Whole Body,-20 Bottom,FTR 209
,2,17,0.47,,Whole Body,-20 Bottom,FTR 209
,3,9,0.10,,Whole Body,-20 Bottom,FTR 209
,4,12,0.21,,Whole Body,-20 Bottom,FTR 209
,5,11,0.19,,Whole Body,-20 Bottom,FTR 209
,6,,,,Whole Body,-20 Bottom,FTR 209
,7,16,0.52,,Whole Body,-20 Bottom,FTR 209
,8,10,0.16,,Whole Body,-20 Bottom,FTR 209
,9,21,0.45,,Whole Body,-20 Bottom,FTR 209
,10,,,,Whole Body,-20 Bottom,FTR 209
,,,,,,,
129143S13-16,1,16,0.42,,Whole Body,-20 Bottom,FTR 209
,2,11,0.18,,Whole Body,-20 Bottom,FTR 209
,3,17,0.57,,Whole Body,-20 Bottom,FTR 209
,4,14,0.25,,Whole Body,-20 Bottom,FTR 209
,5,14,0.31,,Whole Body,-20 Bottom,FTR 209
,6,11,0.21,,Whole Body,-20 Bottom,FTR 209
,7,13,0.21,,Whole Body,-20 Bottom,FTR 209
,8,,,,Whole Body,-20 Bottom,FTR 209
,9,,,,Whole Body,-20 Bottom,FTR 209
,10,,,,Whole Body,-20 Bottom,FTR 209
,,,,,,,
,,,,,,,
129143H1-4,1,16,0.38,,Whole Body,-20 Bottom,FTR 209
,2,14,0.23,,Whole Body,-20 Bottom,FTR 209
,3,12,0.21,,Whole Body,-20 Bottom,FTR 209
,4,11,0.21,,Whole Body,-20 Bottom,FTR 209
,5,16,0.38,,Whole Body,-20 Bottom,FTR 209
,6,11,0.18,,Whole Body,-20 Bottom,FTR 209
,7,12,0.24,,Whole Body,-20 Bottom,FTR 209
,8,9,0.09,,Whole Body,-20 Bottom,FTR 209
,9,7,0.08,,Whole Body,-20 Bottom,FTR 209
,10,14,0.24,,Whole Body,-20 Bottom,FTR 209
,,,,,,,
129143H5-8,1,11,0.11,,Whole Body,-20 Bottom,FTR 209
,2,16,0.66,,Whole Body,-20 Bottom,FTR 209
,3,14,0.25,,Whole Body,-20 Bottom,FTR 209
,4,11,0.14,,Whole Body,-20 Bottom,FTR 209
,5,12,0.18,,Whole Body,-20 Bottom,FTR 209
,6,11,0.19,,Whole Body,-20 Bottom,FTR 209
,7,14,0.23,,Whole Body,-20 Bottom,FTR 209
,8,13,0.21,,Whole Body,-20 Bottom,FTR 209
,9,13,0.23,,Whole Body,-20 Bottom,FTR 209
,10,,,,Whole Body,-20 Bottom,FTR 209
,,,,,,,
129143H9-12,1,13,0.28,,Whole Body,-20 Bottom,FTR 209
,2,11,0.20,,Whole Body,-20 Bottom,FTR 209
,3,11,0.23,,Whole Body,-20 Bottom,FTR 209
,4,15,0.32,,Whole Body,-20 Bottom,FTR 209
,5,17,0.49,,Whole Body,-20 Bottom,FTR 209
,6,11,0.21,,Whole Body,-20 Bottom,FTR 209
,7,15,0.45,,Whole Body,-20 Bottom,FTR 209
,8,14,0.30,,Whole Body,-20 Bottom,FTR 209
,9,17,0.41,,Whole Body,-20 Bottom,FTR 209
,10,13,0.26,,Whole Body,-20 Bottom,FTR 209
,,,,,,,
129143H13-16,1,16,0.33,,Whole Body,-20 Bottom,FTR 209
,2,15,0.31,,Whole Body,-20 Bottom,FTR 209
,3,12,0.18,,Whole Body,-20 Bottom,FTR 209
,4,15,0.27,,Whole Body,-20 Bottom,FTR 209
,5,13,0.25,,Whole Body,-20 Bottom,FTR 209
,6,11,0.18,,Whole Body,-20 Bottom,FTR 209
,7,17,0.37,,Whole Body,-20 Bottom,FTR 209
,8,12,0.16,,Whole Body,-20 Bottom,FTR 209
,9,15,0.25,,Whole Body,-20 Bottom,FTR 209
,10,13,0.18,,Whole Body,-20 Bottom,FTR 209
Date,Sample,Size.mm,Weight.g,,,,
419143H1-4,1,12,0.2,,Whole Body,-20 Bottom,FTR 209
419143H1-4,2,9,0.18,,Whole Body,-20 Bottom,FTR 209
419143H5-8,1,15,0.45,,Whole Body,-20 Bottom,FTR 209
419143H5-8,2,11,0.09,,Whole Body,-20 Bottom,FTR 209
419143H5-8,3,11,0.17,,Whole Body,-20 Bottom,FTR 209
419143H5-8,4,12,0.3,,Whole Body,-20 Bottom,FTR 209
419143H5-8,5,14,0.32,,Whole Body,-20 Bottom,FTR 209
419143H5-8,6,9,0.11,,Whole Body,-20 Bottom,FTR 209
419143H5-8,7,11,0.18,,Whole Body,-20 Bottom,FTR 209
419143H5-8,8,11,0.12,,Whole Body,-20 Bottom,FTR 209
419143H5-8,9,10,0.16,,Whole Body,-20 Bottom,FTR 209
419143H5-8,10,12,0.17,,Whole Body,-20 Bottom,FTR 209
419143H5-8,11,11,0.16,,Whole Body,-20 Bottom,FTR 209
419143H5-8,12,12,0.28,,Whole Body,-20 Bottom,FTR 209
419143H5-8,13,12,0.32,,Whole Body,-20 Bottom,FTR 209
419143H5-8,14,16,0.36,,Whole Body,-20 Bottom,FTR 209
419143H5-8,15,11,0.2,,Whole Body,-20 Bottom,FTR 209
419143H9-12,1,20,0.59,,Whole Body,-20 Bottom,FTR 209
419143H9-12,2,15,0.37,,Whole Body,-20 Bottom,FTR 209
419143H9-12,3,14,0.39,,Whole Body,-20 Bottom,FTR 209
419143H9-12,4,13,0.22,,Whole Body,-20 Bottom,FTR 209
419143H9-12,5,13,0.25,,Whole Body,-20 Bottom,FTR 209
419143H9-12,6,15,0.45,,Whole Body,-20 Bottom,FTR 209
419143H9-12,7,12,0.19,,Whole Body,-20 Bottom,FTR 209
419143H9-12,8,15,0.29,,Whole Body,-20 Bottom,FTR 209
419143H9-12,9,13,0.29,,Whole Body,-20 Bottom,FTR 209
419143H9-12,10,10,0.12,,Whole Body,-20 Bottom,FTR 209
419143H9-12,11,12,0.16,,Whole Body,-20 Bottom,FTR 209
419143H9-12,12,14,0.29,,Whole Body,-20 Bottom,FTR 209
419143H9-12,13,15,0.5,,Whole Body,-20 Bottom,FTR 209
419143H9-12,14,16,0.3,,Whole Body,-20 Bottom,FTR 209
419143H9-12,15,12,0.1,,Whole Body,-20 Bottom,FTR 209
419143H9-12,16,14,0.29,,Whole Body,-20 Bottom,FTR 209
419143H9-12,17,14,0.23,,Whole Body,-20 Bottom,FTR 209
419143H9-12,18,11,0.11,,Whole Body,-20 Bottom,FTR 209
419143H9-12,19,17,0.44,,Whole Body,-20 Bottom,FTR 209
419143H9-12,20,10,0.11,,Whole Body,-20 Bottom,FTR 209
419143H9-12,21,17,0.5,,Whole Body,-20 Bottom,FTR 209
419143H9-12,22,13,0.21,,Whole Body,-20 Bottom,FTR 209
419143H9-12,23,17,0.4,,Whole Body,-20 Bottom,FTR 209
419143H9-12,24,13,0.33,,Whole Body,-20 Bottom,FTR 209
419143H9-12,25,14,0.15,,Whole Body,-20 Bottom,FTR 209
419143H9-12,26,10,0.2,,Whole Body,-20 Bottom,FTR 209
419143H9-12,27,17,0.44,,Whole Body,-20 Bottom,FTR 209
419143H9-12,28,12,0.25,,Whole Body,-20 Bottom,FTR 209
419143H9-12,29,10,0.13,,Whole Body,-20 Bottom,FTR 209
419143H9-12,30,12,0.18,,Whole Body,-20 Bottom,FTR 209
419143H9-12,31,18,0.37,,Whole Body,-20 Bottom,FTR 209
419143H13-16,1,15,0.35,,Whole Body,-20 Bottom,FTR 209
419143H13-16,2,15,0.5,,Whole Body,-20 Bottom,FTR 209
419143H13-16,3,14,0.15,,Whole Body,-20 Bottom,FTR 209
419143H13-16,4,15,0.35,,Whole Body,-20 Bottom,FTR 209
419143H13-16,5,18,0.46,,Whole Body,-20 Bottom,FTR 209
419143H13-16,6,8,0.01,,Whole Body,-20 Bottom,FTR 209
419143H13-16,7,10,0.1,,Whole Body,-20 Bottom,FTR 209
419143H13-16,8,14,0.27,,Whole Body,-20 Bottom,FTR 209
419143H13-16,9,14,0.24,,Whole Body,-20 Bottom,FTR 209
419143H13-16,10,13,0.13,,Whole Body,-20 Bottom,FTR 209
419143H13-16,11,14,0.22,,Whole Body,-20 Bottom,FTR 209
419143H13-16,12,18,0.65,,Whole Body,-20 Bottom,FTR 209
419143H13-16,13,20,0.55,,Whole Body,-20 Bottom,FTR 209
419143H13-16,14,14,0.23,,Whole Body,-20 Bottom,FTR 209
419143H13-16,15,20,0.58,,Whole Body,-20 Bottom,FTR 209
419143H13-16,16,13,0.18,,Whole Body,-20 Bottom,FTR 209
419143H13-16,17,12,0.16,,Whole Body,-20 Bottom,FTR 209
419143H13-16,18,15,0.3,,Whole Body,-20 Bottom,FTR 209
419143H13-16,19,13,0.24,,Whole Body,-20 Bottom,FTR 209
419143H13-16,20,14,0.46,,Whole Body,-20 Bottom,FTR 209
419143H13-16,21,11,0.15,,Whole Body,-20 Bottom,FTR 209
419143H13-16,22,10,0.12,,Whole Body,-20 Bottom,FTR 209
419143S1-4,1,15,0.38,,Whole Body,-20 Bottom,FTR 209
419143S1-4,2,15,0.31,,Whole Body,-20 Bottom,FTR 209
419143S1-4,3,12,0.34,,Whole Body,-20 Bottom,FTR 209
419143S1-4,4,11,0.29,,Whole Body,-20 Bottom,FTR 209
419143S1-4,5,16,0.64,,Whole Body,-20 Bottom,FTR 209
419143S1-4,6,17,0.66,,Whole Body,-20 Bottom,FTR 209
419143S1-4,7,12,0.21,,Whole Body,-20 Bottom,FTR 209
419143S1-4,8,14,0.5,,Whole Body,-20 Bottom,FTR 209
419143S1-4,9,13,0.28,,Whole Body,-20 Bottom,FTR 209
419143S1-4,10,17,0.59,,Whole Body,-20 Bottom,FTR 209
419143S1-4,11,14,0.39,,Whole Body,-20 Bottom,FTR 209
419143S1-4,12,12,0.3,,Whole Body,-20 Bottom,FTR 209
419143S1-4,13,17,0.53,,Whole Body,-20 Bottom,FTR 209
419143S1-4,14,12,0.18,,Whole Body,-20 Bottom,FTR 209
419143S5-8,1,10,0.15,,Whole Body,-20 Bottom,FTR 209
419143S5-8,2,12,0.16,,Whole Body,-20 Bottom,FTR 209
419143S5-8,3,16,0.5,,Whole Body,-20 Bottom,FTR 209
419143S5-8,4,15,0.48,,Whole Body,-20 Bottom,FTR 209
419143S5-8,5,14,0.34,,Whole Body,-20 Bottom,FTR 209
419143S5-8,6,11,0.15,,Whole Body,-20 Bottom,FTR 209
419143S5-8,7,11,0.22,,Whole Body,-20 Bottom,FTR 209
419143S5-8,8,15,0.29,,Whole Body,-20 Bottom,FTR 209
419143S5-8,9,13,0.23,,Whole Body,-20 Bottom,FTR 209
419143S5-8,10,11,0.13,,Whole Body,-20 Bottom,FTR 209
419143S5-8,11,10,0.13,,Whole Body,-20 Bottom,FTR 209
419143S5-8,12,11,0.17,,Whole Body,-20 Bottom,FTR 209
419143S5-8,13,12,0.29,,Whole Body,-20 Bottom,FTR 209
419143S5-8,14,14,0.35,,Whole Body,-20 Bottom,FTR 209
419143S5-8,15,17,0.35,,Whole Body,-20 Bottom,FTR 209
419143S5-8,16,14,0.46,,Whole Body,-20 Bottom,FTR 209
419143S5-8,17,12,0.23,,Whole Body,-20 Bottom,FTR 209
419143S5-8,18,11,0.17,,Whole Body,-20 Bottom,FTR 209
419143S5-8,19,14,0.44,,Whole Body,-20 Bottom,FTR 209
419143S9-12,1,15,0.46,,Whole Body,-20 Bottom,FTR 209
419143S9-12,2,17,0.45,,Whole Body,-20 Bottom,FTR 209
419143S9-12,3,18,0.63,,Whole Body,-20 Bottom,FTR 209
419143S9-12,4,12,0.21,,Whole Body,-20 Bottom,FTR 209
419143S9-12,5,11,0.18,,Whole Body,-20 Bottom,FTR 209
419143S9-12,6,12,0.27,,Whole Body,-20 Bottom,FTR 209
419143S9-12,7,10,0.19,,Whole Body,-20 Bottom,FTR 209
419143S9-12,8,14,0.22,,Whole Body,-20 Bottom,FTR 209
419143S9-12,9,11,0.14,,Whole Body,-20 Bottom,FTR 209
419143S9-12,10,11,0.12,,Whole Body,-20 Bottom,FTR 209
419143S9-12,11,11,0.11,,Whole Body,-20 Bottom,FTR 209
419143S13-16,1,11,0.21,,Whole Body,-20 Bottom,FTR 209
419143S13-16,2,15,0.46,,Whole Body,-20 Bottom,FTR 209
419143S13-16,3,13,0.2,,Whole Body,-20 Bottom,FTR 209
419143S13-16,4,16,0.53,,Whole Body,-20 Bottom,FTR 209
419143S13-16,5,12,0.2,,Whole Body,-20 Bottom,FTR 209
419143S13-16,6,7,0.12,,Whole Body,-20 Bottom,FTR 209
419143S13-16,8,15,0.46,,Whole Body,-20 Bottom,FTR 209
419143S13-16,9,18,0.63,,Whole Body,-20 Bottom,FTR 209
419143S13-16,10,14,0.34,,Whole Body,-20 Bottom,FTR 209
419143S13-16,11,11,0.24,,Whole Body,-20 Bottom,FTR 209
419143S13-16,12,15,0.52,,Whole Body,-20 Bottom,FTR 209
419143S13-16,13,15,0.86,,Whole Body,-20 Bottom,FTR 209
419143S13-16,14,17,0.6,,Whole Body,-20 Bottom,FTR 209
419143S13-16,15,18,0.64,,Whole Body,-20 Bottom,FTR 209
419143N5-8,1,18,0.53,,Whole Body,-20 Bottom,FTR 209
419143N5-8,2,15,0.33,,Whole Body,-20 Bottom,FTR 209
419143N5-8,3,13,0.18,,Whole Body,-20 Bottom,FTR 209
419143N5-8,4,14,0.23,,Whole Body,-20 Bottom,FTR 209
419143N5-8,5,13,0.28,,Whole Body,-20 Bottom,FTR 209
419143N5-8,6,13,0.21,,Whole Body,-20 Bottom,FTR 209
419143N5-8,7,11,0.15,,Whole Body,-20 Bottom,FTR 209
419143N5-8,8,11,0.1,,Whole Body,-20 Bottom,FTR 209
419143N5-8,9,17,0.44,,Whole Body,-20 Bottom,FTR 209
419143N5-8,10,13,0.27,,Whole Body,-20 Bottom,FTR 209
419143N5-8,11,14,0.28,,Whole Body,-20 Bottom,FTR 209
419143N5-8,12,15,0.35,,Whole Body,-20 Bottom,FTR 209
419143N5-8,13,12,0.19,,Whole Body,-20 Bottom,FTR 209
419143N5-8,14,11,0.25,,Whole Body,-20 Bottom,FTR 209
419143N5-8,15,12,0.22,,Whole Body,-20 Bottom,FTR 209
419143N13-16,1,15,0.48,,Whole Body,-20 Bottom,FTR 209
419143N13-16,2,11,0.19,,Whole Body,-20 Bottom,FTR 209
419143N13-16,3,20,0.77,,Whole Body,-20 Bottom,FTR 209
419143N13-16,4,15,0.36,,Whole Body,-20 Bottom,FTR 209
419143N13-16,5,13,0.26,,Whole Body,-20 Bottom,FTR 209
419143N13-16,6,18,0.54,,Whole Body,-20 Bottom,FTR 209
419143N13-16,7,16,0.26,,Whole Body,-20 Bottom,FTR 209
419143N13-16,8,12,0.18,,Whole Body,-20 Bottom,FTR 209
419143N13-16,9,17,0.5,,Whole Body,-20 Bottom,FTR 209
419143N13-16,10,13,0.24,,Whole Body,-20 Bottom,FTR 209
419143N13-16,11,16,0.32,,Whole Body,-20 Bottom,FTR 209
419143N13-16,12,16,0.35,,Whole Body,-20 Bottom,FTR 209
419143N13-16,13,20,0.52,,Whole Body,-20 Bottom,FTR 209
419143N13-16,14,16,0.4,,Whole Body,-20 Bottom,FTR 209
419143N13-16,15,17,0.56,,Whole Body,-20 Bottom,FTR 209
419143N13-16,16,14,0.25,,Whole Body,-20 Bottom,FTR 209
419143N13-16,17,10,0.17,,Whole Body,-20 Bottom,FTR 209
Sample ID,,,,,,,
523141N,1,,,,Whole Body RNALater,,
523141N,2,,,,Whole Body RNALater,,
523141N,3,,,,Whole Body RNALater,,
523141N,4,,,,Whole Body RNALater,,
523141N,5,,,,Whole Body RNALater,,
523141N,6,,,,Whole Body RNALater,,
523141N,7,,,,Whole Body RNALater,,
523141N,8,,,,Whole Body RNALater,,
523141H,1,,,,Whole Body RNALater,,
523141H,2,,,,Whole Body RNALater,,
523141H,3,,,,Whole Body RNALater,,
523141H,4,,,,Whole Body RNALater,,
523141H,5,,,,Whole Body RNALater,,
523141H,6,,,,Whole Body RNALater,,
523141H,7,,,,Whole Body RNALater,,
523141H,8,,,,Whole Body RNALater,,
523141H,9,,,,Whole Body RNALater,,
523141H,10,,,,Whole Body RNALater,,
523141S,1,,,,Whole Body RNALater,,
523141S,2,,,,Whole Body RNALater,,
523141S,3,,,,Whole Body RNALater,,
523141S,4,,,,Whole Body RNALater,,
ID,Sample,Size.mm,Weight.g,,,,
919141S1-4,1,37,8.16,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S1-4,2,24,2.42,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S1-4,3,32,4.94,,Ctenidia/Whole Body,-20 Bottom,FTR 209
919141S1-4,4,28,3.19,,Ctenidia/Whole Body,-20 Bottom,FTR 209
