Sample,Number,Size (mm),Weight (g in shell),Observations,Tissue Type,Storage,Room
1217134H5-8,5,12,0.15,,Whole Body,-20 Bottom,FTR 209
1217134H5-8,6,10,0.17,,Whole Body,-20 Bottom,FTR 209
1217134H5-8,7,15,0.57,,Whole Body,-20 Bottom,FTR 209
1217134H5-8,8,13,0.24,,Whole Body,-20 Bottom,FTR 209
1217134H1-4,1,17,0.47,,Whole Body,-20 Bottom,FTR 209
1217134H1-4,2,9,0.06,,Whole Body,-20 Bottom,FTR 209
1217134H1-4,3,16,0.45,,Whole Body,-20 Bottom,FTR 209
1217134H1-4,4,17,0.34,,Whole Body,-20 Bottom,FTR 209
1217134H1-4,5,13,0.29,,Whole Body,-20 Bottom,FTR 209
1217134H1-4,6,10,0.12,,Whole Body,-20 Bottom,FTR 209
1217134H1-4,7,18,0.57,,Whole Body,-20 Bottom,FTR 209
1217134H1-4,8,10,0.12,,Whole Body,-20 Bottom,FTR 209
Sample,,Size (mm),Weight (g in shell),Observations,,,
1218132N1-4,1,28,1.49,,Whole Body,-20 Bottom,FTR 209
1218132N1-4,2,21,0.88,,Whole Body,-20 Bottom,FTR 209
1218132N1-4,3,18,0.9,,Whole Body,-20 Bottom,FTR 209
1218132N1-4,4,15,0.32,,Whole Body,-20 Bottom,FTR 209
1218132N1-4,5,15,0.45,,Whole Body,-20 Bottom,FTR 209
1218132N1-4,6,24,1.01,,Whole Body,-20 Bottom,FTR 209
1218132N1-4,7,18,0.85,,Whole Body,-20 Bottom,FTR 209
1218132N1-4,8,18,0.76,,Whole Body,-20 Bottom,FTR 209
1218132N5-8,1,23,1.04,,Whole Body,-20 Bottom,FTR 209
1218132N5-8,2,32,2.25,,Whole Body,-20 Bottom,FTR 209
1218132N5-8,3,29,2.79,,Whole Body,-20 Bottom,FTR 209
1218132N5-8,4,16,0.43,,Whole Body,-20 Bottom,FTR 209
1218132N5-8,5,16,0.62,,Whole Body,-20 Bottom,FTR 209
1218132N5-8,6,20,0.64,,Whole Body,-20 Bottom,FTR 209
1218132N5-8,7,22,1.78,,Whole Body,-20 Bottom,FTR 209
1218132N5-8,8,16,0.7,,Whole Body,-20 Bottom,FTR 209
1218132N9-12,1,18,0.99,,Whole Body,-20 Bottom,FTR 209
1218132N9-12,2,15,0.88,,Whole Body,-20 Bottom,FTR 209
1218132N9-12,3,25,1.22,,Whole Body,-20 Bottom,FTR 209
1218132N9-12,4,30,2.62,,Whole Body,-20 Bottom,FTR 209
1218132N9-12,5,20,1,,Whole Body,-20 Bottom,FTR 209
1218132N9-12,6,17,0.91,,Whole Body,-20 Bottom,FTR 209
1218132N9-12,7,25,1.55,,Whole Body,-20 Bottom,FTR 209
1218132N9-12,8,18,0.68,,Whole Body,-20 Bottom,FTR 209
1218132N13-16,1,12,0.25,,Whole Body,-20 Bottom,FTR 209
1218132N13-16,2,26,1.65,,Whole Body,-20 Bottom,FTR 209
1218132N13-16,3,26,2.24,,Whole Body,-20 Bottom,FTR 209
1218132N13-16,4,23,1.39,,Whole Body,-20 Bottom,FTR 209
1218132N13-16,5,21,0.87,,Whole Body,-20 Bottom,FTR 209
1218132N13-16,6,22,1.33,,Whole Body,-20 Bottom,FTR 209
1218132N13-16,7,22,1.72,,Whole Body,-20 Bottom,FTR 209
1218132N13-16,8,11,0.44,,Whole Body,-20 Bottom,FTR 209
,,,,,,,
1218132S13-16,1,21,1.17,,Whole Body,-20 Bottom,FTR 209
1218132S13-16,2,15,0.32,,Whole Body,-20 Bottom,FTR 209
1218132S13-16,3,25,1.63,,Whole Body,-20 Bottom,FTR 209
1218132S13-16,4,19,0.72,,Whole Body,-20 Bottom,FTR 209
1218132S13-16,5,20,0.95,,Whole Body,-20 Bottom,FTR 209
1218132S13-16,6,16,0.41,,Whole Body,-20 Bottom,FTR 209
1218132S13-16,7,19,1.01,,Whole Body,-20 Bottom,FTR 209
1218132S13-16,8,17,0.52,,Whole Body,-20 Bottom,FTR 209
1218132S9-12,1,15,0.38,,Whole Body,-20 Bottom,FTR 209
1218132S9-12,2,25,1.28,,Whole Body,-20 Bottom,FTR 209
1218132S9-12,3,20,1.4,,Whole Body,-20 Bottom,FTR 209
1218132S9-12,4,15,0.36,,Whole Body,-20 Bottom,FTR 209
1218132S9-12,5,20,1.15,,Whole Body,-20 Bottom,FTR 209
1218132S9-12,6,27,1.56,,Whole Body,-20 Bottom,FTR 209
1218132S9-12,7,18,0.6,,Whole Body,-20 Bottom,FTR 209
1218132S9-12,8,26,2.1,,Whole Body,-20 Bottom,FTR 209
1218132S5-8,1,35,2.72,,Whole Body,-20 Bottom,FTR 209
1218132S5-8,2,17,0.51,,Whole Body,-20 Bottom,FTR 209
1218132S5-8,3,22,1.28,,Whole Body,-20 Bottom,FTR 209
1218132S5-8,4,18,0.62,,Whole Body,-20 Bottom,FTR 209
1218132S5-8,5,31,2.31,,Whole Body,-20 Bottom,FTR 209
1218132S5-8,6,27,2.2,,Whole Body,-20 Bottom,FTR 209
1218132S5-8,7,25,1.54,,Whole Body,-20 Bottom,FTR 209
1218132S5-8,8,20,0.83,,Whole Body,-20 Bottom,FTR 209
1218132S1-4,1,19,0.84,,Whole Body,-20 Bottom,FTR 209
1218132S1-4,2,20,1.09,,Whole Body,-20 Bottom,FTR 209
1218132S1-4,3,16,0.39,,Whole Body,-20 Bottom,FTR 209
1218132S1-4,4,14,0.41,,Whole Body,-20 Bottom,FTR 209
1218132S1-4,5,28,2.32,,Whole Body,-20 Bottom,FTR 209
1218132S1-4,6,17,0.62,,Whole Body,-20 Bottom,FTR 209
1218132S1-4,7,13,0.36,,Whole Body,-20 Bottom,FTR 209
1218132S1-4,8,19,0.82,,Whole Body,-20 Bottom,FTR 209
,,,,,,,
1218132H13-16,1,18,1,,Whole Body,-20 Bottom,FTR 209
1218132H13-16,2,17,0.56,,Whole Body,-20 Bottom,FTR 209
1218132H13-16,3,13,0.46,,Whole Body,-20 Bottom,FTR 209
1218132H13-16,4,10,0.22,,Whole Body,-20 Bottom,FTR 209
1218132H13-16,5,11,0.23,,Whole Body,-20 Bottom,FTR 209
1218132H13-16,6,23,1.48,,Whole Body,-20 Bottom,FTR 209
1218132H13-16,7,22,1.15,,Whole Body,-20 Bottom,FTR 209
1218132H13-16,8,13,0.31,,Whole Body,-20 Bottom,FTR 209
1218132H9-12,1,15,0.4,,Whole Body,-20 Bottom,FTR 209
1218132H9-12,2,14,0.39,,Whole Body,-20 Bottom,FTR 209
1218132H9-12,3,20,0.87,,Whole Body,-20 Bottom,FTR 209
1218132H9-12,4,20,1.07,,Whole Body,-20 Bottom,FTR 209
1218132H9-12,5,21,0.78,,Whole Body,-20 Bottom,FTR 209
1218132H9-12,6,13,0.26,,Whole Body,-20 Bottom,FTR 209
1218132H9-12,7,13,0.28,,Whole Body,-20 Bottom,FTR 209
1218132H9-12,8,22,1.23,,Whole Body,-20 Bottom,FTR 209
1218132H5-8,1,21,0.99,,Whole Body,-20 Bottom,FTR 209
1218132H5-8,2,15,0.45,,Whole Body,-20 Bottom,FTR 209
1218132H5-8,3,15,0.26,,Whole Body,-20 Bottom,FTR 209
1218132H5-8,4,19,0.76,,Whole Body,-20 Bottom,FTR 209
1218132H5-8,5,21,1.05,,Whole Body,-20 Bottom,FTR 209
1218132H5-8,6,16,0.75,,Whole Body,-20 Bottom,FTR 209
1218132H5-8,7,16,0.5,,Whole Body,-20 Bottom,FTR 209
1218132H5-8,8,25,1.35,,Whole Body,-20 Bottom,FTR 209
1218132H1-4,1,12,0.33,,Whole Body,-20 Bottom,FTR 209
1218132H1-4,2,8,0.08,,Whole Body,-20 Bottom,FTR 209
1218132H1-4,3,15,0.38,,Whole Body,-20 Bottom,FTR 209
1218132H1-4,4,20,0.52,,Whole Body,-20 Bottom,FTR 209
1218132H1-4,5,17,0.6,,Whole Body,-20 Bottom,FTR 209
1218132H1-4,6,12,0.25,,Whole Body,-20 Bottom,FTR 209
1218132H1-4,7,19,0.63,,Whole Body,-20 Bottom,FTR 209
1218132H1-4,8,14,0.16,,Whole Body,-20 Bottom,FTR 209
Sample,,Size (mm),Weight (g in shell),Observations,,,
1219131N13-16,1,16,0.59,,Whole Body,-20 Bottom,FTR 209
1219131N13-16,2,25,1.59,,Whole Body,-20 Bottom,FTR 209
1219131N13-16,3,23,1.63,,Whole Body,-20 Bottom,FTR 209
1219131N13-16,4,20,1.05,,Whole Body,-20 Bottom,FTR 209
1219131N13-16,5,20,0.93,,Whole Body,-20 Bottom,FTR 209
1219131N13-16,6,27,1.88,,Whole Body,-20 Bottom,FTR 209
1219131N13-16,7,23,1.13,,Whole Body,-20 Bottom,FTR 209
1219131N13-16,8,23,1.67,,Whole Body,-20 Bottom,FTR 209
1219131N9-12,1,14,0.36,,Whole Body,-20 Bottom,FTR 209
1219131N9-12,2,22,1.42,,Whole Body,-20 Bottom,FTR 209
1219131N9-12,3,30,3.02,,Whole Body,-20 Bottom,FTR 209
1219131N9-12,4,33,3.02,,Whole Body,-20 Bottom,FTR 209
1219131N9-12,5,21,1.66,,Whole Body,-20 Bottom,FTR 209
1219131N9-12,6,21,1.21,,Whole Body,-20 Bottom,FTR 209
1219131N9-12,7,20,1.28,,Whole Body,-20 Bottom,FTR 209
1219131N9-12,8,18,0.82,,Whole Body,-20 Bottom,FTR 209
1219131N5-8,1,27,1.95,,Whole Body,-20 Bottom,FTR 209
1219131N5-8,2,28,2.1,,Whole Body,-20 Bottom,FTR 209
1219131N5-8,3,17,0.61,,Whole Body,-20 Bottom,FTR 209
1219131N5-8,4,25,1.39,,Whole Body,-20 Bottom,FTR 209
1219131N5-8,5,29,1.87,,Whole Body,-20 Bottom,FTR 209
1219131N5-8,6,20,1.22,,Whole Body,-20 Bottom,FTR 209
1219131N5-8,7,21,1.3,,Whole Body,-20 Bottom,FTR 209
1219131N5-8,8,16,0.4,Dead,Whole Body,-20 Bottom,FTR 209
1219131N1-4,1,18,1.02,,Whole Body,-20 Bottom,FTR 209
1219131N1-4,2,32,2.43,,Whole Body,-20 Bottom,FTR 209
1219131N1-4,3,26,2.18,,Whole Body,-20 Bottom,FTR 209
1219131N1-4,4,17,0.57,,Whole Body,-20 Bottom,FTR 209
1219131N1-4,5,28,2.25,,Whole Body,-20 Bottom,FTR 209
1219131N1-4,6,25,1.88,,Whole Body,-20 Bottom,FTR 209
1219131N1-4,7,15,0.61,,Whole Body,-20 Bottom,FTR 209
1219131N1-4,8,19,,Dead,Whole Body,-20 Bottom,FTR 209
,,,,,,,
1219131S1-4,1,17,0.65,,Whole Body,-20 Bottom,FTR 209
1219131S1-4,2,20,0.86,,Whole Body,-20 Bottom,FTR 209
1219131S1-4,3,23,1.73,,Whole Body,-20 Bottom,FTR 209
1219131S1-4,4,20,1.1,,Whole Body,-20 Bottom,FTR 209
1219131S1-4,5,21,1.14,,Whole Body,-20 Bottom,FTR 209
1219131S1-4,6,21,1.32,,Whole Body,-20 Bottom,FTR 209
1219131S1-4,7,24,1.32,,Whole Body,-20 Bottom,FTR 209
1219131S1-4,8,25,1.18,,Whole Body,-20 Bottom,FTR 209
1219131S5-8,1,23,1.27,,Whole Body,-20 Bottom,FTR 209
1219131S5-8,2,26,1.63,,Whole Body,-20 Bottom,FTR 209
1219131S5-8,3,25,2.13,,Whole Body,-20 Bottom,FTR 209
1219131S5-8,4,25,1.5,,Whole Body,-20 Bottom,FTR 209
1219131S5-8,5,29,2.48,,Whole Body,-20 Bottom,FTR 209
1219131S5-8,6,24,1.69,,Whole Body,-20 Bottom,FTR 209
1219131S5-8,7,30,1.59,,Whole Body,-20 Bottom,FTR 209
1219131S5-8,8,28,1.75,,Whole Body,-20 Bottom,FTR 209
1219131S9-12,1,25,1.6,,Whole Body,-20 Bottom,FTR 209
1219131S9-12,2,15,0.66,,Whole Body,-20 Bottom,FTR 209
1219131S9-12,3,26,1.65,,Whole Body,-20 Bottom,FTR 209
1219131S9-12,4,21,1.29,,Whole Body,-20 Bottom,FTR 209
1219131S9-12,5,18,1.05,,Whole Body,-20 Bottom,FTR 209
1219131S9-12,6,27,2.36,,Whole Body,-20 Bottom,FTR 209
1219131S9-12,7,14,0.46,,Whole Body,-20 Bottom,FTR 209
1219131S9-12,8,23,2,,Whole Body,-20 Bottom,FTR 209
1219131S13-16,1,21,0.67,,Whole Body,-20 Bottom,FTR 209
1219131S13-16,2,18,0.58,,Whole Body,-20 Bottom,FTR 209
1219131S13-16,3,27,2.1,,Whole Body,-20 Bottom,FTR 209
1219131S13-16,4,28,2.5,,Whole Body,-20 Bottom,FTR 209
1219131S13-16,5,22,1.41,,Whole Body,-20 Bottom,FTR 209
1219131S13-16,6,24,1.2,,Whole Body,-20 Bottom,FTR 209
1219131S13-16,7,30,2.28,,Whole Body,-20 Bottom,FTR 209
1219131S13-16,8,25,1.31,,Whole Body,-20 Bottom,FTR 209
,,,,,,,
1219131H13-16,1,18,0.67,,Whole Body,-20 Bottom,FTR 209
1219131H13-16,2,24,1.67,,Whole Body,-20 Bottom,FTR 209
1219131H13-16,3,20,0.9,,Whole Body,-20 Bottom,FTR 209
1219131H13-16,4,23,1.54,,Whole Body,-20 Bottom,FTR 209
1219131H13-16,5,20,0.89,,Whole Body,-20 Bottom,FTR 209
1219131H13-16,6,22,0.99,,Whole Body,-20 Bottom,FTR 209
1219131H13-16,7,24,1.63,,Whole Body,-20 Bottom,FTR 209
1219131H13-16,8,26,1.81,,Whole Body,-20 Bottom,FTR 209
1219131H9-12,1,20,1.13,,Whole Body,-20 Bottom,FTR 209
1219131H9-12,2,19,0.92,,Whole Body,-20 Bottom,FTR 209
1219131H9-12,3,16,0.53,,Whole Body,-20 Bottom,FTR 209
1219131H9-12,4,15,0.56,,Whole Body,-20 Bottom,FTR 209
1219131H9-12,5,22,0.73,,Whole Body,-20 Bottom,FTR 209
1219131H9-12,6,26,1.28,,Whole Body,-20 Bottom,FTR 209
1219131H9-12,7,20,1.06,,Whole Body,-20 Bottom,FTR 209
1219131H9-12,8,16,0.5,,Whole Body,-20 Bottom,FTR 209
1219131H5-8,1,20,0.86,,Whole Body,-20 Bottom,FTR 209
1219131H5-8,2,27,2.57,,Whole Body,-20 Bottom,FTR 209
1219131H5-8,3,21,1.23,,Whole Body,-20 Bottom,FTR 209
1219131H5-8,4,18,0.75,,Whole Body,-20 Bottom,FTR 209
1219131H5-8,5,16,0.58,,Whole Body,-20 Bottom,FTR 209
1219131H5-8,6,22,1.22,,Whole Body,-20 Bottom,FTR 209
1219131H5-8,7,21,0.96,,Whole Body,-20 Bottom,FTR 209
1219131H5-8,8,18,0.84,,Whole Body,-20 Bottom,FTR 209
1219131H1-4,1,20,0.75,,Whole Body,-20 Bottom,FTR 209
1219131H1-4,2,18,0.65,,Whole Body,-20 Bottom,FTR 209
1219131H1-4,3,23,1.24,,Whole Body,-20 Bottom,FTR 209
1219131H1-4,4,22,1.42,,Whole Body,-20 Bottom,FTR 209
1219131H1-4,5,21,1.45,,Whole Body,-20 Bottom,FTR 209
1219131H1-4,6,26,1.36,,Whole Body,-20 Bottom,FTR 209
1219131H1-4,7,22,1.5,,Whole Body,-20 Bottom,FTR 209
1219131H1-4,8,22,1.3,,Whole Body,-20 Bottom,FTR 209
Sample,,Size (mm),Weight (g in shell),Observations,,,
1219133N13-16,1,21,0.78,,Whole Body,-20 Bottom,FTR 209
1219133N13-16,2,13,0.26,,Whole Body,-20 Bottom,FTR 209
1219133N13-16,3,15,0.29,,Whole Body,-20 Bottom,FTR 209
1219133N13-16,4,15,0.33,,Whole Body,-20 Bottom,FTR 209
1219133N13-16,5,12,0.18,,Whole Body,-20 Bottom,FTR 209
1219133N13-16,6,11,0.14,,Whole Body,-20 Bottom,FTR 209
1219133N13-16,7,17,0.43,,Whole Body,-20 Bottom,FTR 209
1219133N13-16,8,13,0.18,,Whole Body,-20 Bottom,FTR 209
1219133N13-16,9,23,0.55,,Whole Body,-20 Bottom,FTR 209
1219133N13-16,10,8,0.14,,Whole Body,-20 Bottom,FTR 209
1219133N13-16,11,17,0.42,,Whole Body,-20 Bottom,FTR 209
1219133N13-16,12,17,0.55,,Whole Body,-20 Bottom,FTR 209
1219133N13-16,13,16,0.46,,Whole Body,-20 Bottom,FTR 209
1219133N13-16,14,18,0.47,,Whole Body,-20 Bottom,FTR 209
1219133N13-16,15,16,0.3,,Whole Body,-20 Bottom,FTR 209
1219133N13-16,16,12,0.2,,Whole Body,-20 Bottom,FTR 209
1219133N9-12,1,20,0.76,,Whole Body,-20 Bottom,FTR 209
1219133N9-12,2,19,0.4,,Whole Body,-20 Bottom,FTR 209
1219133N9-12,3,21,0.96,,Whole Body,-20 Bottom,FTR 209
1219133N9-12,4,20,0.6,,Whole Body,-20 Bottom,FTR 209
1219133N9-12,5,17,0.39,Dead,Whole Body,-20 Bottom,FTR 209
1219133N9-12,6,19,0.77,,Whole Body,-20 Bottom,FTR 209
1219133N9-12,7,12,0.14,,Whole Body,-20 Bottom,FTR 209
1219133N9-12,8,20,0.67,,Whole Body,-20 Bottom,FTR 209
1219133N9-12,9,13,0.22,,Whole Body,-20 Bottom,FTR 209
1219133N9-12,10,17,0.48,,Whole Body,-20 Bottom,FTR 209
1219133N9-12,11,9,0.06,,Whole Body,-20 Bottom,FTR 209
1219133N9-12,12,17,0.6,,Whole Body,-20 Bottom,FTR 209
1219133N9-12,13,16,0.22,,Whole Body,-20 Bottom,FTR 209
1219133N9-12,14,13,0.16,,Whole Body,-20 Bottom,FTR 209
1219133N9-12,15,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133N9-12,16,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133N5-8,1,19,0.54,,Whole Body,-20 Bottom,FTR 209
1219133N5-8,2,12,0.22,Dead,Whole Body,-20 Bottom,FTR 209
1219133N5-8,3,20,0.44,,Whole Body,-20 Bottom,FTR 209
1219133N5-8,4,27,1.08,,Whole Body,-20 Bottom,FTR 209
1219133N5-8,5,20,0.79,,Whole Body,-20 Bottom,FTR 209
1219133N5-8,6,17,0.45,,Whole Body,-20 Bottom,FTR 209
1219133N5-8,7,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133N5-8,8,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133N5-8,9,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133N5-8,10,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133N5-8,11,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133N5-8,12,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133N5-8,13,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133N5-8,14,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133N5-8,15,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133N5-8,16,,,Dead,Whole Body,-20 Bottom,FTR 209
1219133N1-4,1,26,0.89,,Whole Body,-20 Bottom,FTR 209
1219133N1-4,2,25,0.9,,Whole Body,-20 Bottom,FTR 209
1219133N1-4,3,17,0.22,,Whole Body,-20 Bottom,FTR 209
1219133N1-4,4,22,1.05,,Whole Body,-20 Bottom,FTR 209
1219133N1-4,5,13,0.19,,Whole Body,-20 Bottom,FTR 209
1219133N1-4,6,15,0.35,,Whole Body,-20 Bottom,FTR 209
1219133N1-4,7,17,0.33,,Whole Body,-20 Bottom,FTR 209
1219133N1-4,8,11,0.18,,Whole Body,-20 Bottom,FTR 209
