Cycles,Actin_HC_1,Actin_NC_1,Actin_SC_1,Actin_HT_1,Actin_NT_1,Actin_ST_1,Actin_NTC_1,Actin_HC_2,Actin_NC_2,Actin_SC_2,Actin_HT_2,Actin_NT_2,Actin_ST_2,Actin_NTC_2,Actin_HC_3,Actin_NC_3,Actin_SC_3,Actin_HT_3,Actin_NT_3,Actin_ST_3,Actin_NTC_3,Actin_HC_4,Actin_NC_4,Actin_SC_4,Actin_HT_4,Actin_NT_4,Actin_ST_4,Actin_NTC_4,Actin_HC_5,Actin_NC_5,Actin_SC_5,Actin_HT_5,Actin_NT_5,Actin_ST_5,Actin_HC_6,Actin_NC_6,Actin_SC_6,Actin_HT_6,Actin_NT_6,Actin_ST_6,Actin_HC_7,Actin_NC_7,Actin_SC_7,Actin_HT_7,Actin_NT_7,Actin_ST_7,Actin_HC_8,Actin_NC_8,Actin_SC_8,Actin_HT_8,Actin_NT_8,Actin_ST_8
15,3335.518638,3473.107557,3369.483759,3289.346743,3469.615754,3389.395663,3257.331176,3491.393161,3491.820504,3532.134692,3425.621624,3586.844413,3377.07283,3298.082725,3493.488829,3616.399029,3540.203149,3480.301292,3386.226138,3332.067883,3307.089921,3479.581723,3530.653528,3486.233032,3468.176616,3516.694379,3551.972561,3391.84464,3291.192211,3311.635545,3392.825404,3318.703202,3421.264139,3349.342669,3459.263489,3590.722511,3335.63372,3526.932538,3424.214494,3317.066885,3407.179889,3346.996801,3275.574754,3307.975638,3302.002849,3289.044499,3344.807064,3389.134468,3324.093495,3331.213196,3352.824455,3323.86333
16,3339.480787,3475.33932,3371.808615,3285.530706,3469.344541,3391.397262,3260.865005,3496.76244,3499.639739,3538.983181,3426.841592,3590.170068,3385.069208,3298.228838,3495.542471,3619.037123,3540.932736,3482.14676,3391.428292,3338.646136,3311.833701,3486.889563,3533.478783,3486.848514,3469.719841,3515.933761,3554.464542,3392.97054,3297.374152,3320.235432,3398.778158,3320.735832,3422.692282,3352.761416,3466.582324,3598.155451,3342.743403,3527.891312,3425.121224,3320.64274,3411.808587,3344.286628,3282.705451,3309.84212,3305.505648,3287.782505,3351.93776,3411.17307,3333.037652,3333.120726,3356.421322,3326.553468
17,3342.3675,3478.695377,3378.375262,3289.679422,3473.200998,3395.492938,3262.971079,3508.833461,3504.862272,3545.853019,3427.69566,3595.736854,3387.747738,3298.436416,3500.09748,3626.000039,3551.753728,3477.652552,3393.408265,3338.270233,3316.013443,3491.111299,3540.265548,3486.951971,3476.693778,3518.737368,3559.373827,3395.221725,3300.041702,3324.426168,3398.235118,3326.959197,3428.540329,3357.066251,3467.352333,3609.465837,3346.485779,3536.001156,3429.968471,3327.022236,3430.771114,3348.893708,3287.928024,3313.427393,3308.246253,3289.126979,3358.140107,3435.775111,3336.915147,3331.849089,3360.882287,3331.160551
18,3352.375493,3483.542266,3387.84083,3294.787506,3482.844687,3402.655641,3262.720879,3516.454539,3515.703939,3554.286757,3433.273112,3597.540297,3387.851825,3306.328706,3508.103875,3629.05448,3563.63822,3482.937779,3396.441694,3337.738803,3316.065487,3499.107676,3551.586602,3493.018829,3482.687579,3524.199738,3564.013519,3397.578588,3305.609137,3328.26224,3411.965078,3328.846691,3429.311941,3359.005788,3471.220413,3618.254839,3349.519208,3542.381252,3437.110161,3337.373521,3451.485657,3356.889108,3299.500254,3315.095718,3307.151385,3292.462651,3367.054209,3485.481803,3352.740775,3342.419543,3361.424713,3332.078276
19,3365.063236,3491.153956,3395.05619,3300.87695,3487.275858,3406.669472,3267.423223,3541.371074,3534.688734,3585.343214,3438.1216,3612.270731,3396.171095,3305.067309,3519.999998,3644.974836,3590.243125,3490.069105,3404.740929,3345.38052,3321.663575,3516.299043,3580.39126,3500.984807,3501.495225,3525.170144,3566.349036,3396.045995,3311.103137,3337.895536,3425.767737,3331.401335,3437.058739,3357.254996,3468.530902,3640.700425,3361.206151,3555.611455,3436.025931,3345.828876,3505.60251,3364.855062,3329.430766,3322.038875,3315.346517,3296.966844,3387.925494,3584.769758,3373.997375,3341.867704,3365.084249,3333.120726
20,3396.46332,3501.443181,3420.576578,3306.235234,3493.999246,3411.121026,3268.079753,3585.989727,3572.05159,3639.063131,3451.257093,3629.607579,3409.567783,3296.873752,3537.930338,3664.448401,3639.240275,3494.510641,3420.805765,3351.615481,3321.934788,3562.147682,3627.825149,3517.591091,3526.713369,3528.474786,3571.999546,3395.462521,3332.412152,3360.184338,3461.139988,3342.69136,3449.588768,3364.250575,3476.21502,3684.703596,3385.048195,3584.207297,3446.243078,3375.977961,3607.976285,3388.853237,3376.510369,3329.785053,3322.758444,3303.920397,3424.25652,3772.326573,3414.821981,3354.627897,3375.0402,3346.902732
21,3446.48166,3525.607845,3471.241426,3316.909178,3511.575642,3426.799925,3270.267923,3677.854442,3648.810249,3731.44925,3474.420967,3660.371485,3428.394216,3307.266467,3575.06336,3712.371024,3736.942651,3504.653121,3441.821932,3356.534821,3327.147336,3630.795861,3730.906824,3543.455107,3580.276508,3536.574612,3587.083947,3398.756531,3366.58484,3402.530541,3525.419707,3353.293218,3460.471838,3366.804009,3471.168369,3763.526872,3428.655411,3643.827265,3463.735431,3429.749302,3805.1331,3433.346169,3473.545268,3347.121296,3339.500219,3319.818484,3494.499015,4141.005605,3498.263007,3373.486348,3389.102825,3361.497769
22,3547.323828,3573.239551,3564.566607,3337.239006,3556.048816,3450.57955,3273.813337,3848.37634,3794.76051,3926.188502,3517.309861,3722.296616,3471.064909,3307.225039,3655.972636,3803.215263,3925.114646,3534.969965,3486.525258,3364.291623,3322.477213,3778.195275,3924.875441,3598.614803,3695.159947,3552.379869,3612.062557,3400.081201,3434.963071,3481.093917,3656.744248,3377.875473,3486.285076,3378.177717,3476.527281,3921.288591,3504.518636,3756.406873,3491.685386,3541.454149,4173.21861,3515.152131,3660.83052,3378.22976,3367.305017,3348.633118,3626.313932,4810.437135,3652.636963,3408.045571,3411.360231,3394.201504
23,3751.820201,3667.743025,3743.521579,3380.825828,3637.207645,3501.391138,3274.679019,4171.884536,4075.588859,4291.970703,3602.575975,3840.25584,3547.709146,3311.645562,3802.506689,3974.540117,4290.646892,3586.553165,3573.99015,3384.484757,3326.834698,4049.985397,4295.869814,3700.946552,3899.719359,3581.757342,3662.258663,3400.685688,3568.475735,3640.001869,3907.527598,3429.489704,3531.122897,3395.920895,3484.064308,4226.971023,3663.343514,3974.915417,3561.480157,3739.164094,4833.799548,3678.688781,4011.392555,3443.385815,3423.588994,3404.887042,3880.120694,5910.910016,3962.54054,3480.103135,3453.14361,3450.360381
24,4129.725111,3850.190083,4083.021061,3458.356134,3783.469802,3609.517881,3278.483469,4787.052355,4608.284576,4968.009871,3769.750837,4068.509471,3701.914675,3309.080904,4092.383519,4303.677521,4959.753277,3690.718721,3743.468859,3422.046128,3328.51244,4567.272816,4981.86371,3896.466056,4295.086186,3632.67236,3761.681404,3403.426276,3813.879099,3940.980613,4370.981275,3529.757155,3622.226028,3435.692037,3496.69877,4796.455861,3960.298044,4389.26541,3673.162707,4123.574202,5934.928131,3981.023581,4642.561952,3561.729713,3533.541183,3506.925932,4351.850762,7504.942333,4516.524276,3615.835915,3541.713726,3566.567561
25,4818.265272,4196.915005,4707.301647,3616.794689,4078.257246,3807.082655,3278.712656,5838.788358,5542.249759,6114.706972,4090.996425,4498.69705,3991.626043,3311.050495,4641.185853,4921.629078,6107.398889,3884.237295,4070.491034,3495.69797,3333.44338,5483.087272,6151.705272,4280.366911,5024.689906,3743.844159,3954.221169,3406.480718,4288.925504,4491.254093,5194.690918,3725.923841,3801.045851,3508.344057,3518.654294,5800.205784,4508.820369,5145.6928,3910.738442,4816.513874,7478.14945,4525.999617,5700.448864,3793.884125,3748.056508,3709.035352,5186.059024,9397.328756,5468.471595,3876.617195,3711.974711,3785.492413
26,5966.014972,4843.972816,5763.822722,3910.300103,4625.569377,4190.159609,3281.547928,7465.754785,7020.586247,7809.414026,4679.060341,5273.326966,4526.928582,3313.62555,5619.57128,5974.948865,7830.305712,4259.005611,4663.41259,3627.314077,3334.642336,6973.173379,7898.548693,4982.354336,6253.619677,3952.281631,4317.146286,3403.019946,5119.860156,5432.421806,6486.138395,4093.144136,4133.353008,3647.96558,3563.220894,7360.12843,5449.383107,6383.046291,4337.067959,5939.774776,9312.416211,5400.71924,7222.893823,4229.210819,4144.654515,4093.873723,6494.072955,11280.83993,6894.92387,4358.325171,4030.375009,4199.344191
27,7609.964201,5953.953581,7318.678333,4455.735491,5584.846769,4888.571425,3284.363165,9552.368599,8982.184686,9878.973204,5699.375253,6541.307457,5461.966399,3315.053692,7188.283172,7579.669009,9972.92324,4954.582155,5659.425865,3890.148999,3333.672567,8993.516002,10052.55911,6153.560758,8066.838866,4346.721665,4995.156553,3406.199487,6420.639304,6851.774173,8192.564281,4759.718512,4740.462898,3915.658387,3641.887728,9396.494105,6871.426099,8140.293529,5109.529151,7496.070013,11108.43172,6633.965446,9032.45335,5010.303416,4861.956418,4771.728104,8215.217628,12924.11234,8654.350584,5207.293757,4616.479109,4933.503308
28,9554.359447,7659.398215,9217.538675,5396.52937,7117.632995,6056.681624,3286.280712,11764.4459,11142.97004,11978.45667,7254.595901,8330.717102,6907.006763,3314.637344,9333.496524,9620.205006,12191.23697,6139.028155,7134.979369,4365.882965,3337.71779,11268.50976,12279.22717,7891.782059,10284.70448,5073.250175,6137.307542,3408.337181,8144.660787,8608.531762,10065.42876,5866.926065,5753.772214,4408.823022,3804.413531,11587.02392,8669.63232,10200.31677,6356.963447,9270.14319,12695.97994,8083.904742,10823.33487,6250.898266,6027.793317,5870.230462,10107.22289,14261.40014,10471.92335,6566.869866,5599.013845,6085.089078
