Filename: "C:\Users\Jake H\Documents\GitHub\Resilience-Project\qPCR data\7292015\EF1drawfluoro.csv"

Wellset: "Default"

Step,Cycle,Dye,Temp.,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6,
4, 11, SBGnew, 60.0, 0.0020,0.0023,0.0018,0.0013,0.0032,0.0015,0.0036,0.0031,0.0017,0.0031,0.0025,0.0031,0.0033,0.0057,0.0036,0.0050,0.0026,0.0045,0.0033,0.0037,0.0050,0.0023,0.0038,0.0024,0.0074,0.0043,0.0015,0.0060,0.0035,0.0028,0.0013,0.0052,0.0052,0.0045,0.0035,0.0027,0.0060,0.0095,0.0061,0.0040,0.0021,0.0034,0.0047,0.0027,0.0050,0.0031,0.0029,0.0021,0.0033,0.0028,0.0039,0.0035,
4, 12, SBGnew, 60.0, 0.0018,0.0019,0.0019,0.0012,0.0034,0.0017,0.0026,0.0022,0.0011,0.0025,0.0024,0.0024,0.0023,0.0052,0.0030,0.0042,0.0019,0.0038,0.0038,0.0032,0.0048,0.0018,0.0029,0.0016,0.0060,0.0036,0.0011,0.0053,0.0030,0.0024,0.0011,0.0044,0.0042,0.0038,0.0027,0.0024,0.0061,0.0073,0.0048,0.0045,0.0011,0.0031,0.0036,0.0018,0.0039,0.0026,0.0023,0.0018,0.0023,0.0018,0.0035,0.0037,
4, 13, SBGnew, 60.0, 0.0022,0.0019,0.0010,0.0012,0.0029,0.0015,0.0020,0.0017,0.0011,0.0019,0.0024,0.0017,0.0019,0.0048,0.0024,0.0029,0.0007,0.0042,0.0026,0.0029,0.0042,0.0014,0.0017,0.0000,0.0054,0.0029,0.0008,0.0044,0.0018,0.0022,0.0009,0.0037,0.0041,0.0035,0.0023,0.0019,0.0051,0.0068,0.0037,0.0031,0.0012,0.0022,0.0031,0.0016,0.0030,0.0025,0.0020,0.0018,0.0022,0.0020,0.0030,0.0032,
4, 14, SBGnew, 60.0, 0.0025,0.0014,0.0010,0.0016,0.0026,0.0008,0.0014,0.0013,0.0005,0.0011,0.0021,0.0011,0.0018,0.0043,0.0022,0.0020,0.0008,0.0033,0.0026,0.0026,0.0041,0.0005,0.0015,0.0004,0.0044,0.0030,0.0004,0.0043,0.0008,0.0017,0.0005,0.0029,0.0025,0.0029,0.0018,0.0015,0.0034,0.0063,0.0035,0.0026,0.0013,0.0020,0.0019,0.0014,0.0024,0.0020,0.0026,0.0012,0.0009,0.0009,0.0032,0.0020,
4, 15, SBGnew, 60.0, 0.0022,0.0013,0.0006,0.0013,0.0027,0.0002,0.0012,0.0006,0.0008,0.0003,0.0016,0.0013,0.0013,0.0035,0.0016,0.0010,0.0010,0.0029,0.0020,0.0019,0.0038,0.0006,0.0003,0.0003,0.0023,0.0022,0.0004,0.0037,0.0003,0.0017,0.0008,0.0023,0.0025,0.0025,0.0014,0.0016,0.0027,0.0051,0.0027,0.0025,0.0011,0.0015,0.0009,0.0009,0.0014,0.0014,0.0015,0.0020,0.0005,0.0002,0.0020,0.0014,
4, 16, SBGnew, 60.0, 0.0019,0.0006,0.0002,0.0013,0.0024,0.0000,0.0015,0.0005,0.0008,0.0002,0.0010,0.0007,0.0010,0.0038,0.0010,0.0011,0.0003,0.0020,0.0013,0.0013,0.0034,0.0007,0.0003,0.0002,0.0018,0.0019,0.0004,0.0033,0.0005,0.0013,0.0016,0.0015,0.0024,0.0020,0.0010,0.0019,0.0021,0.0049,0.0019,0.0017,0.0009,0.0010,0.0011,0.0008,0.0015,0.0010,0.0011,0.0020,0.0003,0.0000,0.0016,0.0008,
4, 17, SBGnew, 60.0, 0.0017,0.0004,0.0001,0.0009,0.0018,0.0002,0.0017,0.0003,0.0005,0.0002,0.0009,0.0011,0.0009,0.0033,0.0007,0.0008,0.0002,0.0012,0.0011,0.0015,0.0028,0.0002,0.0002,0.0004,0.0012,0.0011,0.0004,0.0034,0.0000,0.0012,0.0010,0.0010,0.0023,0.0016,0.0011,0.0021,0.0003,0.0044,0.0011,0.0003,0.0009,0.0005,0.0000,0.0004,0.0009,0.0006,0.0005,0.0021,0.0003,0.0006,0.0011,0.0004,
4, 18, SBGnew, 60.0, 0.0006,0.0001,0.0000,0.0006,0.0014,0.0004,0.0014,0.0002,0.0004,0.0003,0.0000,0.0011,0.0006,0.0037,0.0010,0.0007,0.0007,0.0000,0.0008,0.0007,0.0027,0.0004,0.0002,0.0009,0.0004,0.0008,0.0007,0.0034,0.0007,0.0008,0.0007,0.0005,0.0020,0.0011,0.0012,0.0015,0.0000,0.0035,0.0009,0.0007,0.0004,0.0004,0.0007,0.0002,0.0005,0.0003,0.0004,0.0022,0.0000,0.0006,0.0015,0.0006,
4, 19, SBGnew, 60.0, 0.0000,0.0002,0.0001,0.0001,0.0010,0.0005,0.0012,0.0000,0.0008,0.0001,0.0004,0.0009,0.0004,0.0030,0.0002,0.0009,0.0000,0.0009,0.0005,0.0004,0.0028,0.0005,0.0000,0.0012,0.0005,0.0006,0.0005,0.0027,0.0011,0.0007,0.0005,0.0008,0.0018,0.0008,0.0005,0.0009,0.0003,0.0033,0.0008,0.0009,0.0000,0.0003,0.0012,0.0000,0.0009,0.0000,0.0000,0.0021,0.0013,0.0008,0.0008,0.0010,
4, 20, SBGnew, 60.0, 0.0000,0.0000,0.0000,0.0002,0.0004,0.0005,0.0011,0.0000,0.0001,0.0000,0.0005,0.0004,0.0002,0.0025,0.0000,0.0009,0.0004,0.0004,0.0005,0.0000,0.0023,0.0000,0.0014,0.0023,0.0000,0.0010,0.0000,0.0023,0.0009,0.0000,0.0000,0.0000,0.0006,0.0003,0.0004,0.0005,0.0011,0.0008,0.0003,0.0000,0.0002,0.0000,0.0018,0.0001,0.0009,0.0004,0.0004,0.0019,0.0010,0.0010,0.0006,0.0008,
