File Name,admin_2015-07-24 18-30-45_CC009827_H2AV.pcrd
Created By User,admin
Notes,
ID,
Run Started,07/25/2015 01:31:06 UTC
Run Ended,07/25/2015 04:57:20 UTC
Sample Vol,20
Lid Temp,105
Protocol File Name,Jake_CFX_3StepAmp+Melt.prcl
Plate Setup File Name,platesetup.pltd
Base Serial Number,CC009827
Optical Head Serial Number,785BR3659
CFX Manager Version,3.1.1517.0823. 
